Year,Dakar_VHI_Cumulative,Diourbel_VHI_Cumulative,Fatick_VHI_Cumulative,Kaffrine_VHI_Cumulative,Kaolack_VHI_Cumulative,Kedougou_VHI_Cumulative,Kolda_VHI_Cumulative,Louga_VHI_Cumulative,Matam_VHI_Cumulative,Saint louis_VHI_Cumulative,Sedhiou_VHI_Cumulative,Tambacounda_VHI_Cumulative,Thies_VHI_Cumulative,Ziguinchor_VHI_Cumulative,Corn_Weighted_VHI_Cumulative,Cotton_Weighted_VHI_Cumulative,Millet_Weighted_VHI_Cumulative,Peanut_Weighted_VHI_Cumulative,Rice_Weighted_VHI_Cumulative,Sorghum_Weighted_VHI_Cumulative
1984,6.986,7.696,7.708,8.435,7.364,6.479,6.47,8.4,9.445,8.448,6.085,8.033,7.482,6.534,7.06673557109,6.964630000000001,7.6251739999999995,7.632294300478,6.95243,7.51386
1985,6.453,6.362,6.231,5.446,5.993,5.2780000000000005,4.746,6.243,5.747,6.423,4.763,5.261,6.216,5.065,5.351544456274,4.95431,5.722122,5.646751440026001,5.287930000000002,5.381010000000001
1986,5.051,4.931,4.5489999999999995,4.333,4.636,5.788,5.611,4.877,5.607,5.197,4.958,5.349,4.543,4.803,5.08216112114,5.47594,4.728982,4.847478581810001,5.162929999999999,4.93898
1987,5.771,6.295,6.676,7.131,7.4990000000000006,5.897,6.297000000000001,7.204,6.684,7.309,6.743,6.115,6.041,6.279,6.631673346358,6.285680000000001,6.79976,6.766077155708,6.651690000000001,6.702760000000001
1988,7.444,8.575000000000001,7.705,7.503,7.897,6.485,6.966,9.058,7.751,8.0,7.084,6.856,8.336,7.016,7.332211126704001,6.94698,7.704892000000001,7.631881443529999,7.31048,7.35819
1989,5.87,4.608,5.206,5.537,5.976,4.548,5.113,5.631,5.007,5.479,5.8629999999999995,4.759,4.727,5.31,5.384304454825999,5.02793,5.365068000000001,5.35150858191,5.41993,5.36287
1990,5.7379999999999995,4.597,5.064,3.764,4.309,4.856,5.536,3.6270000000000002,3.608,3.472,6.482,4.792,4.764,6.429,5.23497112019,5.217789999999999,4.648105999999999,4.585810010052,5.358890000000001,4.78343
1991,6.551,5.085,5.666,4.612,5.459,4.6579999999999995,4.187,5.699,5.723,5.351,4.614,4.655,6.003,6.355,4.908556677786001,4.3705,5.115876,5.0862785823820005,5.01912,4.84065
1992,6.398,5.311,5.7940000000000005,5.49,5.159,6.433,5.365,5.779,5.2219999999999995,5.178,5.8309999999999995,6.165,5.443,6.327,5.6353955670180005,5.63793,5.551916,5.5613714402,5.62972,5.643420000000001
1993,7.042,6.623,6.374,6.726,6.65,6.982,6.464,7.143,7.053,7.049,5.609,6.535,6.961,6.712,6.387595569397999,6.519240000000001,6.563556,6.66055144202,6.45312,6.52876
