Year,Dakar_VHI_Cumulative,Diourbel_VHI_Cumulative,Fatick_VHI_Cumulative,Kaffrine_VHI_Cumulative,Kaolack_VHI_Cumulative,Kedougou_VHI_Cumulative,Kolda_VHI_Cumulative,Louga_VHI_Cumulative,Matam_VHI_Cumulative,Saint louis_VHI_Cumulative,Sedhiou_VHI_Cumulative,Tambacounda_VHI_Cumulative,Thies_VHI_Cumulative,Ziguinchor_VHI_Cumulative,Corn_Weighted_VHI_Cumulative,Cotton_Weighted_VHI_Cumulative,Millet_Weighted_VHI_Cumulative,Peanut_Weighted_VHI_Cumulative,Rice_Weighted_VHI_Cumulative,Sorghum_Weighted_VHI_Cumulative
1984,14.353,16.803,16.707,16.358,16.616,15.018,15.931000000000001,15.114,15.831,15.034,15.523,16.298000000000002,16.091,14.697,16.007696697622,15.992090000000001,16.291416,16.133188602074,15.43301,16.052100000000003
1985,12.539,13.508000000000001,13.239,12.476,12.711,12.539,11.997,13.408,11.905,11.988,11.474,12.775,12.87,11.465,12.310750025044001,12.249879999999997,12.696871999999999,12.622002881548001,11.85915,12.37411
1986,12.15,10.592,11.407,12.249,12.063,14.75,14.87,11.72,11.928,11.968,13.14,13.585,10.699,11.851,13.083376690645999,14.365129999999999,12.165164,12.509904310394,13.040450000000002,12.901119999999999
1987,13.878,14.790000000000001,15.266,17.944,17.262,14.531,16.583000000000002,16.488,14.826,13.655,16.604,15.329,15.011,14.456,16.158343363462,16.22143,16.414892,16.39799574364,15.49872,16.47418
1988,15.214,15.009,14.975,16.483999999999998,16.09,15.055,16.113,17.971,17.753,17.23,15.108,16.64,15.568999999999999,14.1,15.84174447653,16.18954,15.910704,16.138477174134,15.78171,16.12305
1989,13.732,13.685,14.409,15.005,15.196,13.108,15.501999999999999,14.127,14.061,12.59,15.497,14.866,14.04,13.888,14.988330027607997,15.171399999999998,14.770268000000002,14.759977170446001,14.47396,14.912790000000001
1990,11.978,9.396,11.087,8.764,11.289,12.705,13.789,8.612,8.949,9.104000000000001,15.044,12.089,10.764,14.007,12.631181132062,13.03526,10.912526000000002,10.971272880338,12.784360000000001,11.531669999999998
1991,11.995,11.182,11.149,9.229,10.994,10.882,10.758,11.989,9.809,10.278,10.945,10.329,10.847,12.33,10.848920021897998,10.58597,10.605048,10.615765736405999,10.958919999999999,10.410580000000001
1992,12.378,9.87,11.967,12.476,12.74,14.448,14.446,11.496,11.1,10.894,13.693,13.982,11.266,12.668,13.290370023688,14.20703,12.441936,12.690805738586002,12.96446,13.09083
1993,14.534,15.6,15.302999999999999,15.746,15.92,15.627,16.301000000000002,16.686,16.361,17.012,15.258000000000001,15.398,15.665,15.703,15.736708920652001,15.992820000000002,15.709894000000002,15.85203431717,16.03929,15.741330000000001
1994,17.885,18.482,19.318,20.003,19.314,17.143,17.963,19.732,19.932,19.816,18.717,18.11,18.542,18.408,18.639238926654,18.0736,19.139238,19.055885751538,18.71867,18.91684
