Year,Dakar_VHI_Cumulative,Diourbel_VHI_Cumulative,Fatick_VHI_Cumulative,Kaffrine_VHI_Cumulative,Kaolack_VHI_Cumulative,Kedougou_VHI_Cumulative,Kolda_VHI_Cumulative,Louga_VHI_Cumulative,Matam_VHI_Cumulative,Saint louis_VHI_Cumulative,Sedhiou_VHI_Cumulative,Tambacounda_VHI_Cumulative,Thies_VHI_Cumulative,Ziguinchor_VHI_Cumulative,Corn_Weighted_VHI_Cumulative,Cotton_Weighted_VHI_Cumulative,Millet_Weighted_VHI_Cumulative,Peanut_Weighted_VHI_Cumulative,Rice_Weighted_VHI_Cumulative,Sorghum_Weighted_VHI_Cumulative
1984,10.247,12.938,12.588,13.076,12.463,10.295,11.245000000000001,12.1,12.776,11.708,11.141,12.31,11.882,10.939,11.775341134658001,11.55694,12.37003,12.213534308584002,11.354149999999999,12.107930000000003
1985,8.905,9.855,9.643,8.575000000000001,9.305,8.678,7.942,9.853,8.71,9.148,7.96,8.576,9.238,8.074,8.586300018008,8.19012,8.992080000000001,8.88495716038,8.352120000000001,8.57915
1986,6.957,5.8870000000000005,5.981,6.142,5.923,9.781,9.267,6.345,7.013,7.34,7.853,8.071,5.919,7.563,7.587277791766,8.79501,6.5709480000000005,6.9028443006839995,7.970409999999999,7.287179999999999
1987,8.242,8.682,9.676,12.132,11.407,9.925,11.084,10.335,10.308,9.761,11.485,10.229,8.552,10.024000000000001,10.758251130658,10.86035,10.68159,10.739001448122,10.61007,11.013770000000001
1988,10.790000000000001,11.901,11.134,11.869,11.937000000000001,11.171,12.08,13.247,12.622,12.186,11.31,12.104,11.902,10.522,11.75931780138,12.01178,11.803512,11.907961451572001,11.64031,11.84849
1989,10.051,10.777,11.055,11.846,11.97,8.866,10.834,11.593,11.083,9.357,11.063,10.993,10.615,9.916,11.046140020911999,10.81992,11.322806,11.238040020318001,10.42452,11.195020000000001
1990,8.446,7.175,8.205,6.466,7.687,8.53,8.976,6.722,6.71,7.057,10.321,8.789,7.749,10.062,8.739831126426001,8.77755,7.8049800000000005,7.779718588086,8.93102,8.122110000000001
1991,9.269,7.754,8.128,6.038,7.698,7.22,6.59,8.127,7.419,7.538,6.891,6.9670000000000005,8.647,8.971,7.240820015774,6.708539999999999,7.301684,7.268400015732001,7.3684400000000005,6.946840000000001
1992,9.371,7.811,9.076,9.692,9.278,11.218,10.552,8.595,8.186,7.642,9.925,10.824,8.516,9.488,9.847378906781998,10.597949999999999,9.384530000000002,9.539132875326,9.45528,9.85169
1993,10.870000000000001,11.414,10.802,11.292,11.227,12.229000000000001,12.037,11.797,11.716,11.578,10.981,11.878,11.473,11.604000000000001,11.463958911993998,11.95286,11.314624,11.460472880112,11.54602,11.49289
1994,12.542,14.458,14.672,15.535,15.026,12.658,13.204,15.234,15.29,15.014,13.8,13.429,14.004,13.132,13.957281139526,13.368219999999999,14.615582000000002,14.485290027683998,13.847760000000001,14.289570000000001
1995,11.051,11.908,12.206,12.596,13.218,13.252,14.939,12.32,12.501,11.4,14.603,13.329,11.557,12.827,13.665342246536,14.29756,12.868322,12.983510025012002,13.483979999999999,13.31455
1996,9.266,8.506,9.247,9.731,9.3,12.887,11.95,9.591,9.532,8.168,10.091,11.172,8.621,11.353,10.41048113059,11.65568,9.691252,10.019124305658,10.34122,10.300050000000002
1997,9.614,9.79,11.328,10.318,11.368,15.501,14.431000000000001,9.711,10.277,9.618,13.973,13.927,9.546,12.173,12.876368910344002,14.12834,11.387896000000001,11.593068594556,12.56706,12.233050000000002
1998,10.315,10.229,10.586,11.92,11.023,13.443,11.99,12.119,11.975,12.361,11.767,12.26,10.142,12.065,11.623754467681998,12.12928,11.300578,11.518997166330001,11.96899,11.78884
1999,13.681,14.05,15.214,15.116,15.846,16.519,15.789,15.147,16.076999999999998,14.951,16.021,16.389,14.377,15.023,15.740051141097998,15.95204,15.322212,15.400524316092,15.485339999999999,15.61121
2000,11.988,12.998,12.903,13.749,13.991,12.951,15.107,13.173,13.23,12.192,15.653,13.600999999999999,12.46,14.089,14.286777803739998,14.52754,13.69444,13.710135740886,14.239060000000002,14.04654
2001,12.914,12.401,12.855,12.664,13.969,12.449,11.763,11.465,11.541,10.351,13.261,11.239,12.242,13.78,12.541664468845998,11.75525,12.680670000000001,12.475541453342002,12.21067,12.4282
2002,10.432,8.34,8.418,7.0120000000000005,7.503,9.422,7.773,8.821,8.059,9.277,10.327,8.026,9.84,11.224,8.585218907206,7.91998,8.166917999999999,8.094270019166,9.37597,8.19799
2003,8.620000000000001,11.357,11.556000000000001,11.415,11.691,10.296,9.2,11.63,11.476,12.177,9.047,11.12,11.02,10.049,10.322563355120002,9.87989,11.066375999999998,10.958918592292,10.13434,10.66404
2004,9.222,11.831,12.137,13.769,13.002,13.203,13.774000000000001,12.433,13.878,14.091,13.886,14.756,11.061,13.198,13.437426691708,13.97839,12.991894,13.104127168374001,13.6551,13.611040000000003
2005,10.209,12.91,12.78,14.252,12.972,14.77,14.825,14.214,13.109,12.826,14.681,14.452,11.072,12.892,13.940027803612,14.67983,13.509252,13.622928597542,13.864840000000001,14.017199999999999
2006,10.771,11.618,11.981,13.837,13.455,12.76,13.523,12.087,11.837,12.948,14.334,13.467,11.221,13.867,13.329643357988,13.486349999999998,12.968125999999998,12.998928596610002,13.532329999999998,13.440730000000002
2007,9.206,9.581,9.185,10.525,9.514,11.059,11.323,10.008,10.761,9.645,9.642,11.184,9.136000000000001,9.667,10.229675575464002,11.197610000000001,9.947156000000001,10.177701448446,10.137920000000001,10.40119
2008,12.197,14.327,13.262,14.68,13.827,13.29,15.032,13.924,15.186,13.621,14.571,15.022,13.265,13.754,14.367752249832,14.890719999999998,14.141826,14.200597170556001,14.288450000000001,14.497060000000001
2009,14.315999999999999,16.78,15.563,16.034,15.5,12.677,15.825,15.405,16.301,14.321,15.445,15.428,15.58,15.941,15.525256697189997,15.54027,15.734801999999998,15.631152887366001,15.37102,15.61588
2010,13.782,14.829,14.573,15.567,15.254999999999999,13.785,14.666,15.48,16.63,15.519,14.903,15.718,14.211,14.481,14.978181140952,14.92945,15.050253999999999,15.067300029694001,14.915010000000002,15.200619999999999
