Year,Dakar_VHI_Cumulative,Diourbel_VHI_Cumulative,Fatick_VHI_Cumulative,Kaffrine_VHI_Cumulative,Kaolack_VHI_Cumulative,Kedougou_VHI_Cumulative,Kolda_VHI_Cumulative,Louga_VHI_Cumulative,Matam_VHI_Cumulative,Saint louis_VHI_Cumulative,Sedhiou_VHI_Cumulative,Tambacounda_VHI_Cumulative,Thies_VHI_Cumulative,Ziguinchor_VHI_Cumulative,Corn_Weighted_VHI_Cumulative,Cotton_Weighted_VHI_Cumulative,Millet_Weighted_VHI_Cumulative,Peanut_Weighted_VHI_Cumulative,Rice_Weighted_VHI_Cumulative,Sorghum_Weighted_VHI_Cumulative
1984,11.584,13.954,13.756,13.709,13.418,11.934,12.549,12.722,13.31,12.44,12.614,13.44,13.069,12.162,12.972762247752,12.802189999999998,13.376729999999998,13.206505739427998,12.53341,13.14591
1985,10.292,11.472,11.132,10.308,10.729,10.133000000000001,9.370000000000001,11.707,10.309000000000001,10.491,9.463,10.328,10.886,9.284,10.095301132196001,9.716700000000003,10.577848,10.461401448983999,9.762070000000001,10.16584
1986,8.84,7.598,7.764,8.271,7.822,11.515,11.051,8.491999999999999,8.989,9.187,9.671,10.061,7.525,9.004,9.430928906538002,10.64625,8.46632,8.809638589944,9.73207,9.214409999999999
1987,10.04,10.516,11.4,14.314,13.336,11.343,12.911,12.45,12.346,11.086,13.457,12.068999999999999,10.516,11.6,12.619980023157998,12.68628,12.62429,12.666540022967999,12.328439999999999,12.95233
1988,12.416,13.168000000000001,12.449,13.673,13.383000000000001,12.323,13.197000000000001,15.401,15.093,14.47,12.43,13.7,13.405,11.603,13.105684471456,13.2883,13.29507,13.444704311858002,13.060680000000001,13.358120000000003
1989,11.091,11.995,12.401,13.436,13.318,10.208,12.315,12.914,12.715,10.885,12.621,12.607,12.022,11.215,12.508895579217997,12.330720000000001,12.763978,12.68506430878,11.896469999999999,12.69843
1990,9.461,8.241,9.311,7.351,9.009,10.088,10.658,7.439,7.553,7.766,12.068,10.026,8.885,11.297,10.156226684018,10.29806,8.97974,8.954341447564,10.28434,9.37503
1991,10.141,8.894,9.033,6.901,8.813,8.088,7.694,9.425,8.129999999999999,8.368,8.193,7.86,9.375,9.879,8.310287795378,7.735669999999999,8.298852,8.252351446198,8.41383,7.945740000000001
1992,10.486,8.354,9.887,10.784,10.431000000000001,12.427,11.821,9.417,9.053,8.489,11.327,11.914,9.368,10.481,11.001905575302,11.809920000000002,10.402562000000001,10.584805734462002,10.58917,10.981530000000001
1993,11.877,12.911999999999999,12.193999999999999,12.776,12.646,13.358,13.457,13.338000000000001,13.127,13.186,12.248000000000001,12.976,12.72,12.635,12.792360025762001,13.276559999999998,12.708426,12.850251454098002,12.89715,12.836470000000004
1994,14.4,16.157,16.346,17.311,16.596,14.147,14.712,17.035,17.075,16.679,15.457,15.057,15.743,14.816,15.572895587414,14.92059,16.292524,16.151270031065998,15.475099999999998,15.95028
1995,12.604,13.382,13.616,14.381,14.719,15.241,16.988,13.853,14.315,12.705,16.496,15.119,12.922,14.232,15.421345583029998,16.25797,14.500754,14.656141456849998,15.1845,15.07846
1996,10.705,9.457,10.389,11.219,10.524,14.684,13.78,10.838,10.88,8.94,11.907,13.08,9.82,12.886,11.998436688762,13.4799,11.07967,11.458631451274,11.84187,11.88507
1997,11.139,11.075,12.812,11.623,12.797,17.06,16.223,11.032,11.435,11.03,15.998,15.56,10.841,13.912,14.545011135366002,15.840959999999999,12.861531999999999,13.070908597614002,14.28597,13.794760000000002
1998,11.838000000000001,11.609,12.01,13.295,12.509,15.276,13.727,13.611,13.467,13.947,13.536,13.98,11.517,13.604,13.257573359592,13.8475,12.791734000000002,13.035591455222,13.626389999999997,13.3656
1999,15.333,16.139,17.059,17.202,17.528,18.174,17.313,17.154,18.105,16.711,17.715,18.204,16.072,16.51,17.4437255892,17.588029999999996,17.168896000000004,17.211241462482,17.13098,17.42032
2000,13.881,15.352,14.789,15.941,15.872,14.538,16.966,15.347,15.654,13.954,17.502,15.717,14.556000000000001,15.445,16.202987807703998,16.451240000000002,15.721844,15.712317173236002,16.01387,16.05295
2001,14.972999999999999,14.638,14.896,14.68,15.863,14.263,13.658,13.682,13.618,12.358,15.238,13.251,14.408,15.504,14.505970028472001,13.6815,14.705332,14.478811457312,14.13928,14.41084
2002,11.117,9.668,9.462,8.262,8.366,10.65,8.648,10.094,9.446,10.187,11.25,9.087,10.972,12.475,9.555130020638,8.88177,9.246010000000002,9.159728592798,10.355839999999999,9.254290000000001
2003,9.306000000000001,12.953,12.574,12.918,12.623,11.666,10.244,13.334,13.396,13.897,9.973,12.932,12.278,11.182,11.483218913540002,11.1561,12.321964000000001,12.237362880678,11.34539,11.990459999999999
2004,10.033,13.455,13.437,15.49,14.322000000000001,14.518,15.253,14.029,15.636,15.438,15.353,16.37,12.234,14.603,14.878143361207998,15.491690000000002,14.466036000000003,14.576800028296,15.08464,15.137220000000001
2005,12.002,15.233,14.763,16.497,15.004,16.203,16.417,16.443,15.169,15.122,16.653,16.325,13.07,14.593,15.824524474296,16.37339,15.557628000000001,15.612717172850001,15.76465,15.994309999999999
2006,12.306000000000001,13.32,13.466,15.731,14.95,14.280000000000001,14.963,14.007,13.595,14.783,15.991999999999999,15.129999999999999,12.935,15.546,14.903882250333998,15.012329999999999,14.62678,14.651351457092,15.17483,15.114829999999996
2007,10.729,10.971,10.368,12.159,10.783,12.638,12.688,11.627,12.528,11.243,11.133,12.921,10.507,11.096,11.664824467444,12.682200000000002,11.375378,11.629804308668001,11.610140000000001,11.92867
2008,13.790000000000001,16.389,15.116,16.93,15.794,15.024,16.594,15.953,17.236,15.232,16.574,16.948,15.086,15.62,16.216268920279997,16.596899999999998,16.117704,16.12483003139,16.056780000000003,16.45294
2009,16.116,18.988,17.4,18.063,17.287,14.382,17.543,17.487,18.437,16.365,17.099,17.353,17.564,17.499,17.316715589978,17.324840000000002,17.639177999999998,17.522578605396,17.142269999999996,17.48704
2010,15.714,17.058,16.707,17.686,17.296,15.656,16.239,17.83,19.068,17.875,16.696,17.871,16.346,16.207,16.892632256319995,16.69951,17.11174,17.098041462363998,16.79647,17.19454
2011,14.821,16.614,16.205000000000002,18.563,16.845,16.344,16.378,17.803,18.444,17.698,17.093,17.133,15.996,16.891,16.786333367372,16.68578,17.088456,17.097582890830004,16.97911,17.28705
2012,15.073,16.38,15.635,16.644,15.785,15.476,13.790000000000001,17.233,18.593,17.259,15.329,16.347,15.881,15.157,15.368606699488,14.708450000000003,15.920206,15.820790032362,15.408120000000002,15.83779
2013,14.352,16.373,16.073,16.692,16.048,15.358,16.791,16.069,16.531,16.337,18.3,16.052,15.699,17.243,16.706206698811997,16.52298,16.435502,16.330681461284,17.05406,16.61239
2014,13.278,13.582,14.118,14.727,14.216,16.204,14.808,14.798,15.062000000000001,14.465,15.863,15.091000000000001,13.673,16.021,14.876628918180003,14.963090000000001,14.496690000000001,14.564110029850001,15.157060000000001,14.865660000000004
2015,12.882,13.648,13.145,13.132,12.94,13.914,12.905,14.233,14.889,14.848,14.288,14.651,13.377,15.516,13.635014472542,13.42757,13.392628,13.40453288571,14.17358,13.650620000000002
2016,14.064,15.421,14.119,14.514,14.175,16.2,15.179,15.907,16.061,16.945,17.015,15.53,15.732,16.816,15.433310031480001,15.30308,14.948512000000001,14.964332889291999,16.287770000000002,15.287090000000003
2017,14.038,16.842,15.725999999999999,16.612,15.699,16.161,15.658,16.402,17.333,15.542,17.29,16.602,16.65,16.364,16.226080032432,15.988609999999998,16.285156,16.140201461020002,16.208289999999998,16.36591
2018,13.309,15.305,14.741,15.165,15.359,14.491,14.612,16.241,16.874,16.99,15.231,15.593,14.828,15.795,15.135095586444,14.891300000000001,15.146348000000001,15.16633431657,15.53705,15.226509999999998
2019,13.134,15.03,13.422,15.045,13.428,15.0,14.255,16.177,15.153,15.967,14.251,15.24,14.198,14.916,14.279034474360003,14.577140000000002,14.364799999999999,14.472788600986002,14.769169999999999,14.6304
2020,14.316,15.11,14.092,14.638,14.683,14.384,14.211,17.063,15.839,16.972,14.464,15.196,15.152000000000001,14.13,14.628333363911999,14.496229999999999,14.732632000000002,14.81341860149,14.95234,14.75746
2021,15.004,16.487000000000002,15.352,16.703,15.753,14.896,15.106,17.782,16.322,17.812,16.756,14.878,16.064,16.542,15.758233366136,15.13922,16.056632,15.978474318234003,16.42539,15.97427
2022,16.075,18.747,18.52,18.737000000000002,19.15,17.414,16.631,19.027,19.321,18.672,19.283,18.627,18.219,18.599,18.308353369958002,17.33399,18.599172000000003,18.344062893746003,18.23317,18.43803
2023,15.422,17.852,16.76,17.94,17.032,15.933,16.576999999999998,17.826999999999998,19.387999999999998,18.163,18.923000000000002,17.322,17.512,18.382,17.421627812981995,16.82077,17.463966,17.312591464018002,17.8734,17.573980000000002
2024,11.456,11.64,11.954,11.173,11.584,10.507,10.381,12.011,12.314,12.629,12.449,11.12,12.112,12.96,11.498872245956,10.64562,11.572592,11.420862881129999,11.92581,11.3968
