Year,Dakar_VHI_Cumulative,Diourbel_VHI_Cumulative,Fatick_VHI_Cumulative,Kaffrine_VHI_Cumulative,Kaolack_VHI_Cumulative,Kedougou_VHI_Cumulative,Kolda_VHI_Cumulative,Louga_VHI_Cumulative,Matam_VHI_Cumulative,Saint louis_VHI_Cumulative,Sedhiou_VHI_Cumulative,Tambacounda_VHI_Cumulative,Thies_VHI_Cumulative,Ziguinchor_VHI_Cumulative,Corn_Weighted_VHI_Cumulative,Cotton_Weighted_VHI_Cumulative,Millet_Weighted_VHI_Cumulative,Peanut_Weighted_VHI_Cumulative,Rice_Weighted_VHI_Cumulative,Sorghum_Weighted_VHI_Cumulative
1984,5.6259999999999994,6.163,6.151,6.817,5.852,5.562,5.373,6.726,7.707,6.755,4.8580000000000005,6.672,6.014,5.051,5.731520012538,5.780930000000001,6.140442,6.172311440492001,5.59237,6.10297
1985,5.356,5.357,5.246,4.554,4.9799999999999995,4.923,4.404,5.219,4.982,5.329,4.32,4.7,5.083,4.381,4.699831121152,4.52156,4.860942,4.826338581328001,4.64642,4.670560000000001
1986,4.027,3.871,3.528,3.469,3.777,4.316,4.457,3.806,4.595,4.148,4.106,4.368,3.463,3.74,4.08685556343,4.36658,3.764312,3.8513285796580004,4.13305,3.9721800000000003
1987,4.766,5.215,5.479,5.987,6.17,4.836,5.3100000000000005,5.819,5.579,5.605,5.531,5.271,4.909,5.121,5.506675566186,5.316470000000001,5.634504000000001,5.611705724758,5.4092199999999995,5.5935000000000015
1988,6.224,7.101,6.414,6.392,6.723000000000001,5.574,5.929,7.444,6.4879999999999995,6.537,5.88,5.796,6.802,5.912,6.167857790772,5.905049999999999,6.467740000000001,6.420785726776,6.10447,6.21044
1989,4.742,3.785,4.157,4.544,4.731,3.641,4.061,4.573,4.164,4.374,4.714,3.833,3.826,4.291,4.310018897319999,4.01618,4.3244240000000005,4.308967151346,4.343770000000001,4.326490000000001
1990,4.318,3.581,3.981,3.018,3.386,4.182,4.68,2.723,2.871,2.598,5.29,3.931,3.62,5.227,4.256332229364,4.37293,3.7007519999999996,3.6724528651620005,4.35009,3.87713
1991,5.036,3.9859999999999998,4.53,3.5540000000000003,4.312,4.045,3.661,4.454,4.53,4.181,3.855,3.81,4.717,5.236,4.032881119942,3.72439,4.077756000000001,4.0782442945340005,4.13954,3.91066
1992,5.156,4.194,4.338,3.809,3.688,4.93,4.08,4.57,3.804,3.955,4.626,4.436,4.225,4.894,4.254100008786001,4.20799,4.115188,4.1165171518740005,4.34274,4.16484
1993,5.746,5.171,4.9879999999999995,5.411,5.288,5.7540000000000004,5.525,5.628,5.633,5.445,4.662,5.384,5.333,5.393,5.230068899892,5.48679,5.252402,5.365802867944001,5.26139,5.32045
1994,6.585,7.948,7.7330000000000005,8.149,7.938,6.069,6.595,8.235,7.992,8.166,6.843,6.779,7.398,6.635,7.138737792705999,6.70305,7.648914,7.550564300068,7.097779999999998,7.358409999999999
1995,5.585,5.4670000000000005,5.56,5.84,6.0760000000000005,6.638,7.413,5.7299999999999995,6.015,5.045,7.334,6.3870000000000005,5.576,6.687,6.612538900574,7.01719,6.05435,6.147135726506,6.60357,6.38398
1996,4.7540000000000004,3.76,4.165,4.059,3.938,5.761,5.785,3.7039999999999997,3.965,3.171,4.307,4.889,4.151,5.427,4.663944453056001,5.44001,4.240686000000001,4.42712143747,4.6361,4.52447
1997,5.4030000000000005,4.567,4.685,4.54,4.587,6.699,5.479,5.031,4.5280000000000005,4.64,5.091,5.667,5.019,5.079,5.132195565668001,5.53945,4.832498,4.943654296002,5.09278,5.04506
1998,5.334,4.422,4.915,4.781000000000001,4.743,6.417,5.141,5.277,5.3,5.329,5.269,5.225,4.569,5.576,5.105604454890001,5.21786,4.884332,4.975525725042,5.2796899999999996,5.05194
1999,6.764,6.058,6.5040000000000004,6.513,6.557,7.022,6.913,6.656000000000001,7.059,6.699,7.069,6.869,6.353,7.237,6.809184457858,6.886539999999999,6.583192,6.6480000136880015,6.92901,6.74534
2000,6.816,7.38,7.439,8.032,8.237,7.891,8.97,7.12,7.1419999999999995,6.46,9.041,8.128,6.867,7.914,8.336483347916,8.641240000000002,7.9272659999999995,7.941072872184,8.120110000000002,8.19756
2001,6.377,7.141,7.179,6.847,7.557,6.553,6.312,6.851,6.474,5.951,6.898,6.005,7.135,7.001,6.743663346740001,6.294769999999999,6.971182000000001,6.843144298970001,6.5393099999999995,6.68912
