Year,Dakar_VHI_Cumulative,Diourbel_VHI_Cumulative,Fatick_VHI_Cumulative,Kaffrine_VHI_Cumulative,Kaolack_VHI_Cumulative,Kedougou_VHI_Cumulative,Kolda_VHI_Cumulative,Louga_VHI_Cumulative,Matam_VHI_Cumulative,Saint louis_VHI_Cumulative,Sedhiou_VHI_Cumulative,Tambacounda_VHI_Cumulative,Thies_VHI_Cumulative,Ziguinchor_VHI_Cumulative,Corn_Weighted_VHI_Cumulative,Cotton_Weighted_VHI_Cumulative,Millet_Weighted_VHI_Cumulative,Peanut_Weighted_VHI_Cumulative,Rice_Weighted_VHI_Cumulative,Sorghum_Weighted_VHI_Cumulative
2012,16.821,17.903,17.172,18.358,17.207,17.578,15.593,18.79,20.659,19.022,17.029,18.478,17.493,16.975,17.099296703022002,16.6021,17.55912,17.503945750281996,17.17279,17.60809
2013,15.908,17.847,17.666,18.505,17.835,17.474,18.657,17.521,18.16,17.731,20.178,18.155,17.361,19.086,18.532618924353997,18.45991,18.176668,18.088454321824,18.80079,18.456270000000004
2014,14.575000000000001,14.668,15.539,16.258,15.803,18.061,16.812,15.896,16.532,15.466,17.924,17.0,15.100999999999999,18.015,16.661468921016,16.90727,16.058658,16.155000032926,16.89949,16.58439
2015,14.719,15.333,15.122,15.277,15.015,16.018,14.927,15.825000000000001,16.783,16.841,16.158,17.02,15.226,17.542,15.655108920792001,15.546400000000002,15.392516,15.421765746684,16.14491,15.724839999999999
2016,15.25,16.496,15.59,16.176000000000002,15.654,17.793,16.659,17.072,17.551000000000002,18.423,18.65,17.349,16.94,18.526,16.975483367606,16.88525,16.435586,16.459510035054002,17.83636,16.873199999999997
2017,14.985,17.757,16.673,17.687,16.771,17.656,16.854,17.169,18.451,16.419,18.496,18.181,17.77,17.711000000000002,17.409621145689997,17.29111,17.364854,17.23844289185,17.35152,17.558600000000002
2018,14.709,17.125,16.486,17.194,17.211,16.307,16.608999999999998,17.873,18.434,18.483,17.23,17.674,16.533,17.819,17.050697812105998,16.898609999999998,17.029964,17.042765748602,17.404690000000002,17.174860000000002
2019,14.81,16.577,14.922,16.752,15.128,17.194,16.112,17.955,16.722,17.481,15.817,17.330000000000002,15.92,16.896,16.026154477846,16.500629999999997,16.051465999999998,16.212392890142002,16.48677,16.408250000000002
2020,15.601,16.444,15.63,16.376,16.153,15.937,15.8,18.912,17.467,19.022,15.981,17.07,16.665,15.713000000000001,16.219247811585998,16.159860000000002,16.328400000000002,16.443430033189998,16.62272,16.41184
2021,16.547,17.684,16.971,18.499,17.409,17.137999999999998,17.245,19.262,17.873,19.527,18.865,17.095,17.505,18.616,17.696913369477997,17.28162,17.790271999999998,17.7658986075,18.40673,17.89254
2022,17.824,20.834,20.606,21.096,21.256,19.444,19.029,20.991,21.912,20.563,21.691,21.061,20.311,20.882,20.590128929745998,19.71414,20.817439999999998,20.5680500409,20.47891,20.745009999999997
2023,17.026,19.369,18.672,20.145,19.269,17.974,18.869,19.155,21.076999999999998,19.684,21.318,19.67,19.292,20.655,19.612715594306,19.10784,19.522282,19.371555753458,19.975900000000003,19.760960000000004
2024,11.456,11.64,11.954,11.173,11.584,10.507,10.381,12.011,12.314,12.629,12.449,11.12,12.112,12.96,11.498872245956,10.64562,11.572592,11.420862881129999,11.92581,11.3968
