Year,Dakar_VHI_Cumulative,Diourbel_VHI_Cumulative,Fatick_VHI_Cumulative,Kaffrine_VHI_Cumulative,Kaolack_VHI_Cumulative,Kedougou_VHI_Cumulative,Kolda_VHI_Cumulative,Louga_VHI_Cumulative,Matam_VHI_Cumulative,Saint louis_VHI_Cumulative,Sedhiou_VHI_Cumulative,Tambacounda_VHI_Cumulative,Thies_VHI_Cumulative,Ziguinchor_VHI_Cumulative,Corn_Weighted_VHI_Cumulative,Cotton_Weighted_VHI_Cumulative,Millet_Weighted_VHI_Cumulative,Peanut_Weighted_VHI_Cumulative,Rice_Weighted_VHI_Cumulative,Sorghum_Weighted_VHI_Cumulative
1984,1.24,1.274,1.159,1.335,1.104,1.039,1.042,1.435,1.534,1.486,0.807,1.309,1.295,1.0090000000000001,1.0893177803660001,1.12149,1.195916,1.216017145254,1.09869,1.1817
1985,1.3820000000000001,1.6059999999999999,1.645,1.596,1.759,1.662,1.574,1.499,1.496,1.451,1.522,1.5790000000000002,1.468,1.475,1.59099000303,1.5829600000000004,1.606782,1.5960871458840002,1.51762,1.58452
1986,0.951,1.108,0.85,0.874,0.998,1.116,1.214,1.097,1.162,1.255,1.0190000000000001,1.08,0.992,0.97,1.05976333545,1.1535100000000003,0.979818,1.010790002166,1.11611,1.0252100000000002
1987,1.421,1.196,1.2730000000000001,1.3940000000000001,1.4060000000000001,1.081,1.508,1.3399999999999999,1.209,1.201,1.516,1.215,1.3079999999999998,1.284,1.393761113652,1.40249,1.3572920000000002,1.3632228596880003,1.3842500000000002,1.3731900000000001
1988,1.549,1.9140000000000001,1.582,1.506,1.584,1.2309999999999999,1.463,1.879,1.577,1.5710000000000002,1.381,1.354,1.77,1.442,1.485483336542,1.4243700000000001,1.57761,1.55988286019,1.4760600000000001,1.4852600000000002
1989,1.203,0.937,0.9570000000000001,1.071,1.112,0.815,0.962,1.055,0.913,1.017,1.192,0.861,0.866,1.052,1.025487779762,0.9371799999999999,1.0181099999999998,1.0076871448940001,1.0476999999999999,1.0227099999999998
1990,0.974,0.85,0.958,0.604,0.809,0.902,1.071,0.587,0.637,0.545,1.227,0.884,0.762,1.358,0.9832077793820001,0.9897,0.836322,0.8250528589980001,1.01277,0.8679300000000001
1991,1.173,0.756,0.845,0.8160000000000001,0.841,1.025,0.821,0.9410000000000001,1.012,0.778,1.01,0.843,1.044,1.434,0.897416668662,0.8405799999999999,0.865734,0.875414287768,0.9677299999999999,0.88259
1992,0.981,1.027,0.983,0.9259999999999999,0.884,1.252,1.134,1.149,0.843,0.808,1.319,1.03,0.949,1.206,1.085296668698,1.1040299999999998,1.00484,1.004191430696,1.10689,1.03863
1993,1.237,1.073,0.979,0.995,1.026,1.083,0.9670000000000001,1.283,1.23,1.2650000000000001,0.8200000000000001,1.092,1.154,0.964,0.9911266689520002,1.0057300000000002,1.020848,1.0448800021920004,1.01015,1.01421
