Year,Dakar_VHI_Cumulative,Diourbel_VHI_Cumulative,Fatick_VHI_Cumulative,Kaffrine_VHI_Cumulative,Kaolack_VHI_Cumulative,Kedougou_VHI_Cumulative,Kolda_VHI_Cumulative,Louga_VHI_Cumulative,Matam_VHI_Cumulative,Saint louis_VHI_Cumulative,Sedhiou_VHI_Cumulative,Tambacounda_VHI_Cumulative,Thies_VHI_Cumulative,Ziguinchor_VHI_Cumulative,Corn_Weighted_VHI_Cumulative,Cotton_Weighted_VHI_Cumulative,Millet_Weighted_VHI_Cumulative,Peanut_Weighted_VHI_Cumulative,Rice_Weighted_VHI_Cumulative,Sorghum_Weighted_VHI_Cumulative
1984,8.281,9.821,9.513,10.292,9.195,7.682,8.106,10.172,11.013,10.075,7.603,9.693,9.232,8.126,8.730331129932,8.59247,9.413984000000001,9.380440017886002,8.55497,9.217770000000002
1985,7.309,7.152,7.067,6.268,6.846,5.782,5.151,6.979,6.369,7.231,5.326,5.872,6.959,5.716,5.982608902170001,5.4436599999999995,6.470663999999999,6.36206572711,5.89368,6.05729
1986,5.882,5.615,5.234,4.941,5.211,7.338,6.916,5.5809999999999995,6.264,6.215,5.851,6.184,5.338,5.698,5.989576678416,6.631870000000001,5.4666440000000005,5.651391440818,6.18493,5.77048
1987,6.484,7.009,7.695,8.866999999999999,9.041,7.293,7.867,8.006,7.6240000000000006,8.394,8.493,7.447,6.739,7.422,8.061788903964,7.795559999999999,8.131174,8.106571443634,8.04359,8.183380000000001
1988,8.698,9.606,8.762,8.591,8.983,7.971,8.761,10.27,8.911,9.249,8.551,8.478,9.633,8.265,8.757418906932003,8.634469999999999,8.926758,8.917785731786,8.759429999999998,8.71613
1989,6.95,6.266,6.937,7.538,7.92,5.992,7.093,7.607,6.848,6.586,7.666,6.683,6.215,6.959,7.225621124658,6.9606900000000005,7.214140000000001,7.208167156361999,7.08353,7.234919999999999
1990,7.271,5.439,5.949,4.43,5.176,5.541,6.159,4.276,4.2540000000000004,4.307,7.31,5.758,5.801,7.461,6.05206001084,5.9369,5.457158,5.3760571547380005,6.170680000000001,5.58015
1991,7.998,5.896,6.371,5.093,6.0969999999999995,5.016,4.509,6.6,6.365,6.349,4.943,5.069,7.006,7.097,5.41258001276,4.72884,5.722840000000001,5.689168583904001,5.60059,5.34948
1992,7.648,6.491,7.292,7.568,7.061,8.496,7.429,6.825,6.409,6.303,7.301,8.143,6.749,7.571,7.372564458680001,7.67351,7.258334,7.312595728634001,7.15592,7.467859999999999
1993,8.538,8.017,7.688,8.096,8.227,8.597,8.17,8.465,8.25,8.547,7.6770000000000005,8.09,8.439,8.55,8.051994461222,8.16756,8.059924,8.151934302336,8.19756,8.110560000000001
1994,9.534,11.445,11.359,11.749,11.552999999999999,9.612,10.089,11.733,11.358,11.857,10.768,10.144,10.893,10.401,10.738308910796,10.178560000000001,11.237333999999999,11.09893859285,10.782530000000003,10.92708
1995,8.193999999999999,8.348,8.538,8.68,9.265,9.641,11.119,8.597,8.64,7.606,10.872,9.385,8.475,9.756,9.893476683986002,10.453859999999999,9.117904,9.228375732302,9.83204,9.508509999999998
1996,7.049,5.9879999999999995,6.448,6.237,6.116,9.583,8.552,6.021,6.07,5.177,6.728,7.634,6.4959999999999996,8.321,7.1645533468760005,8.226009999999999,6.56644,6.821080013975999,7.13776,6.97266
1997,8.154,8.126,8.697,8.549,8.768,12.103,10.864,8.486,8.09,7.874,10.147,10.49,8.045,8.736,9.764074461814001,10.700960000000002,8.971523999999999,9.14341430378,9.495150000000002,9.485450000000002
1998,8.269,7.146,7.623,8.011,7.763,9.823,8.023,8.253,8.198,8.332,8.169,8.276,7.469,8.723,8.040807794272,8.19251,7.845750000000001,7.96596001676,8.245490000000002,8.08585
1999,9.877,9.49,10.472000000000001,10.325000000000001,10.919,11.806000000000001,11.225,10.398,11.208,10.803,11.665,11.393,9.938,11.279,11.110073354472,11.258199999999999,10.610716,10.700267164608,11.18656,10.92802
2000,9.49,9.986,10.009,10.862,10.993,10.175,12.025,9.769,9.554,9.109,12.429,10.689,9.569,11.233,11.240942242166,11.515569999999999,10.708532,10.714641449136,11.166220000000001,11.047880000000001
2001,9.366999999999999,9.701,9.953,9.638,10.711,9.146,8.582,9.261,8.72,8.231,9.866999999999999,8.323,9.741,10.421,9.420151129828,8.63803,9.71051,9.513747161558,9.20768,9.35983
2002,9.618,6.927,7.372,5.939,6.886,7.928,6.378,7.219,6.098,7.595,8.641,7.201,8.641,9.324,7.3522244598420015,6.68251,7.0465160000000004,6.950618587466001,7.78334,7.02024
2003,6.725,8.43,8.817,8.778,9.093,7.811,6.93,9.041,8.693,9.545,6.208,7.984,8.786,7.487,7.679975572287999,7.35317,8.416512,8.379298587114,7.562499999999999,7.993030000000001
2004,7.915,9.717,9.672,10.566,10.294,10.145,10.964,9.802,10.49,11.192,11.022,11.119,9.553,10.491,10.603396686638,10.92759,10.279196000000002,10.336334305992,10.84931,10.626730000000004
2005,7.886,8.413,9.144,10.185,9.445,11.824,11.771,9.818,9.427,8.455,11.389,11.122,7.697,9.802,10.572758907446,11.50555,9.810148,10.005947162055998,10.403450000000001,10.473330000000002
2006,8.616,9.193,9.336,10.819,10.695,9.658,10.825,9.485,9.043000000000001,9.744,11.358,10.769,8.654,10.850999999999999,10.557958908014001,10.74471,10.206734,10.232617162418,10.60477,10.612010000000001
2007,7.069,6.836,6.806,7.92,7.109,8.045,8.257,7.158,7.899,7.039,7.482,8.21,6.734,7.361,7.612657792458002,8.196449999999999,7.385806,7.528855729066,7.564089999999999,7.74704
2008,8.745000000000001,9.343,8.925,10.014,9.51,9.549,11.321,9.345,10.44,9.459,10.125,10.427,8.74,9.524,10.126837796702,10.89576,9.688514000000001,9.85945430491,10.14312,10.11813
2009,10.672,12.029,11.546,12.186,11.644,9.757,12.104,11.544,11.699,10.616,11.626,11.556000000000001,11.273,12.08,11.677113355968,11.820899999999998,11.766578,11.740971450994001,11.581959999999999,11.76502
2010,9.917,10.718,10.625,11.293,11.11,10.493,11.106,10.94,11.704,10.822,11.288,11.267,10.201,10.943,11.065725577118,11.12068,10.976128,10.99066859311,11.03502,11.134269999999999
2011,10.442,11.077,11.154,13.005,11.924,11.243,12.016,12.153,12.787,12.125,12.172,12.188,10.836,11.953,11.925346690138,12.06271,11.94005,12.011772880514002,12.03539,12.225060000000003
2012,9.555,10.147,10.169,11.33,10.512,10.327,9.540000000000001,11.388,12.478,11.454,10.51,11.024000000000001,10.086,10.112,10.350897799306,10.067140000000002,10.578102,10.573928592738001,10.41126,10.68782
2013,9.175,10.338,10.208,10.777,10.347,10.72,11.804,10.119,11.244,10.255,12.827,11.069,9.797,11.455,11.31089779864,11.499520000000002,10.725358,10.721355736004002,11.52067,11.12625
2014,9.609,9.569,10.068999999999999,10.703,10.306000000000001,11.37,10.79,10.256,10.519,10.223,11.575,10.703,9.74,11.077,10.722106687347999,10.80171,10.421876,10.457265735412001,10.85687,10.70784
2015,8.61,8.662,9.0,9.29,9.195,9.621,9.129,9.488,10.487,9.734,9.993,9.7,8.858,10.629,9.439538907862,9.31862,9.227202,9.267502876496,9.73431,9.446069999999999
2016,9.645,9.741,9.597999999999999,10.123000000000001,10.276,11.132,11.183,9.905,10.18,10.71,11.978,10.721,10.195,11.71,10.856385576297999,11.01032,10.295704,10.353910021456,11.25887,10.675820000000002
2017,9.184,10.474,10.207,11.233,10.359,10.824,11.372,11.022,11.936,10.982,12.291,11.366999999999999,10.344,11.373000000000001,11.197297799416,11.329979999999999,10.873747999999999,10.897795736304,11.448409999999999,11.223010000000002
