Year,Dakar_VHI_Cumulative,Diourbel_VHI_Cumulative,Fatick_VHI_Cumulative,Kaffrine_VHI_Cumulative,Kaolack_VHI_Cumulative,Kedougou_VHI_Cumulative,Kolda_VHI_Cumulative,Louga_VHI_Cumulative,Matam_VHI_Cumulative,Saint louis_VHI_Cumulative,Sedhiou_VHI_Cumulative,Tambacounda_VHI_Cumulative,Thies_VHI_Cumulative,Ziguinchor_VHI_Cumulative,Corn_Weighted_VHI_Cumulative,Cotton_Weighted_VHI_Cumulative,Millet_Weighted_VHI_Cumulative,Peanut_Weighted_VHI_Cumulative,Rice_Weighted_VHI_Cumulative,Sorghum_Weighted_VHI_Cumulative
1984,3.949,4.457,4.383,4.984,4.133,4.259,3.999,4.9190000000000005,5.583,4.9350000000000005,3.5180000000000002,5.006,4.3260000000000005,3.61,4.178180009116001,4.31213,4.446952,4.489125722946,4.082520000000001,4.4671
1985,4.242,4.249,4.275,3.835,4.09,4.175,3.837,4.153,4.1129999999999995,4.21,3.793,4.047,3.903,3.765,3.97688667481,3.9117699999999997,4.0175,4.002575722442,3.92366,3.94533
1986,2.899,2.888,2.5869999999999997,2.715,2.938,3.372,3.558,2.931,3.5909999999999997,3.254,3.215,3.5100000000000002,2.632,2.844,3.196390006028,3.4830599999999996,2.90382,2.9902942920180005,3.23596,3.11739
1987,3.722,4.022,4.279,4.663,4.784,3.835,4.267,4.383,4.163,4.056,4.444,4.12,3.886,4.052,4.340162230396001,4.23107,4.403456,4.380800008083999,4.222300000000001,4.3847499999999995
1988,4.506,5.333,4.927,4.947,5.247,4.29,4.449,5.602,4.942,4.905,4.444,4.439,5.064,4.598,4.6958366764860004,4.46979,4.946982,4.904454295148001,4.61998,4.74643
1989,3.629,2.822,3.146,3.49,3.572,2.841,3.128,3.321,3.098,3.178,3.781,2.971,2.868,3.4539999999999997,3.327320006378,3.1006,3.29691,3.2770828636580003,3.35919,3.33326
1990,3.1550000000000002,2.7110000000000003,3.1550000000000002,2.449,2.791,3.06,3.5100000000000002,2.059,2.267,1.9540000000000002,4.043,3.039,2.655,4.086,3.2822666720880003,3.31034,2.898474,2.8619171489360005,3.3155000000000006,3.01451
1991,3.766,3.039,3.365,2.774,3.122,3.209,2.919,3.38,3.5140000000000002,3.125,3.0300000000000002,2.987,3.491,4.042,3.1005677845200004,2.94929,3.0947020000000003,3.1089414353500002,3.20632,3.02282
1992,3.59,3.267,3.211,3.003,2.774,3.892,3.39,3.582,3.023,2.95,3.767,3.551,3.159,3.776,3.368875562276,3.43863,3.1931019999999997,3.20805714979,3.4407300000000003,3.2968
1993,4.228,3.76,3.614,3.948,3.831,4.183,4.023,4.088,4.1290000000000004,3.886,3.476,4.013,3.903,3.846,3.8310144524379997,4.01896,3.832604,3.9103685792879994,3.82246,3.8981699999999995
