Year,Dakar_Temperature,Diourbel_Temperature,Fatick_Temperature,Kaffrine_Temperature,Kaolack_Temperature,Kedougou_Temperature,Kolda_Temperature,Louga_Temperature,Matam_Temperature,Saint louis_Temperature,Sedhiou_Temperature,Tambacounda_Temperature,Thies_Temperature,Ziguinchor_Temperature,Corn_Weighted_Temperature,Cotton_Weighted_Temperature,Millet_Weighted_Temperature,Peanut_Weighted_Temperature,Rice_Weighted_Temperature,Sorghum_Weighted_Temperature
1973,23.6198756,27.840609844444444,28.569375861111112,28.569375861111112,28.569375861111112,29.665438888888886,28.28672098,25.215470565555556,30.813801907777776,25.215470565555556,28.28672098,29.57226434666667,27.840609844444444,26.596384036666663,28.363715022073908,28.707789189066666,28.293442405375558,28.14731413358396,27.3146818657,28.425776624233333
1974,22.65784310777778,27.480188787777777,28.01040293,28.01040293,28.01040293,28.591960877777776,28.22416787,24.165889673333332,29.713175282222224,24.165889673333332,28.22416787,28.94423474,27.480188787777777,25.586261722222222,27.974807331773242,28.413426271566664,27.81020367686,27.615739963448423,26.817511796555557,27.944172010344445
1975,23.07950158888889,28.39104295111111,28.025409263333334,28.025409263333334,28.025409263333334,29.177272004444447,28.466323053333333,24.685212675555555,30.097101096666663,24.685212675555555,28.466323053333333,28.78980203777778,28.39104295111111,25.862137897777778,28.148351578655443,28.56339490911111,28.01520261787111,27.811376488138965,27.138048870955554,28.082116890877778
1976,22.994575689999998,28.37337862444444,28.12016131888889,28.12016131888889,28.12016131888889,28.960749794444446,28.068029616666667,24.54857119333333,30.54925319777778,24.54857119333333,28.068029616666667,28.589133203333333,28.37337862444444,26.012044842222224,27.96921036479818,28.254996626133334,27.984290425402225,27.760868175473316,26.925483480800004,27.9732743148
1977,23.69088781888889,28.920062942222224,29.085946868888886,29.085946868888886,29.085946868888886,29.881109986666665,28.34594080777778,25.267978713333335,31.701688682222223,25.267978713333335,28.34594080777778,29.93566365,28.920062942222224,26.57302602,28.641811304873553,28.879882032733335,28.78611782295333,28.55767636394369,27.4062816536,28.77390144192222
1978,23.90604331111111,28.405107303333335,28.603525991111113,28.603525991111113,28.603525991111113,29.755776174444446,28.23785062111111,24.997476643333332,30.80212358888889,24.997476643333332,28.23785062111111,29.385096243333333,28.405107303333335,26.231555427777778,28.33919774594168,28.637678082066667,28.367197566868892,28.169731841216617,27.194849138366667,28.407452999722224
1979,24.051249357777778,29.100439942222224,28.813654207777777,28.813654207777777,28.813654207777777,29.71012518111111,29.60505477333333,25.50029271,31.606841406666668,25.50029271,29.60505477333333,29.520244921111114,29.100439942222224,26.572772656666665,29.095120781569257,29.542672500811108,28.84676954689111,28.665464309067332,28.10664246424444,28.968031192288887
1980,23.56978371111111,28.483260825555558,28.769243044444448,28.769243044444448,28.769243044444448,30.034536755555557,29.067943634444443,24.620523214444447,31.66450212111111,24.620523214444447,29.067943634444443,29.96220492,28.483260825555558,26.477506283333334,28.841853676959463,29.331582507700002,28.623320800771115,28.434280200543256,27.59950481748889,28.8116817804
1981,23.884716673333333,28.938268328888892,28.875955146666666,28.875955146666666,28.875955146666666,29.624291085555555,29.284551247777774,25.213321384444445,30.952903225555556,25.213321384444445,29.284551247777774,29.474460660000002,28.938268328888892,26.55840193,28.929910962593702,29.327897225033336,28.78716385999778,28.578052356179626,27.860782613488887,28.858425015599998
1982,23.294652672222224,28.365094585555553,28.735520594444445,28.735520594444445,28.735520594444445,29.470579836666666,28.971044556666666,24.67173323111111,30.50571681888889,24.67173323111111,28.971044556666666,29.288829152222224,28.365094585555553,26.295818075555555,28.66021446925885,29.066331384622224,28.52877146769111,28.312809871786406,27.501737999055557,28.61065492431111
