Year,Dakar_Temperature,Diourbel_Temperature,Fatick_Temperature,Kaffrine_Temperature,Kaolack_Temperature,Kedougou_Temperature,Kolda_Temperature,Louga_Temperature,Matam_Temperature,Saint louis_Temperature,Sedhiou_Temperature,Tambacounda_Temperature,Thies_Temperature,Ziguinchor_Temperature,Corn_Weighted_Temperature,Cotton_Weighted_Temperature,Millet_Weighted_Temperature,Peanut_Weighted_Temperature,Rice_Weighted_Temperature,Sorghum_Weighted_Temperature
1973,20.293706139999998,26.4349583325,27.86138889,27.86138889,27.86138889,31.5098161775,28.3875180375,22.893790255,29.079318182500003,22.893790255,28.3875180375,30.0560606075,26.4349583325,25.7899244275,28.071261510048142,28.96042381955,27.59542456274,27.439989034654015,26.627398890975,28.030582262925
1974,19.504003345,26.0858730175,27.2016666675,27.2016666675,27.2016666675,29.445562770000002,28.279675325,21.9866800125,27.082799145,21.9866800125,28.279675325,28.88214674,26.0858730175,24.903759615,27.540217868773972,28.435565906,27.020687419900003,26.801033810150244,26.13388169065,27.378548655825004
1975,20.4821428575,27.7410714275,27.6066452575,27.6066452575,27.6066452575,30.634583335000002,28.3807291675,22.832065005,28.420921475,22.832065005,28.3807291675,28.7553409075,27.7410714275,25.5257585475,27.84398491714807,28.56316831795,27.56057982484,27.301060689315648,26.559426157874995,27.725797353199997
1976,19.77845622,26.873096014999998,27.1575981875,27.1575981875,27.1575981875,29.627261905,27.8791559225,22.1263728225,28.3172275625,22.1263728225,27.8791559225,28.50488035,26.873096014999998,25.3788711,27.370156459432412,28.097179924225003,27.03852815807,26.793087904808697,26.061314331175005,27.265471700175002
1977,20.948333335,28.4728571425,29.058386615,29.058386615,29.058386615,31.12171104,27.57906242,23.878320107500002,30.520378095,23.878320107500002,27.57906242,30.3444444425,28.4728571425,26.1282870375,28.22128222915377,28.571726294525,28.52663566028,28.2095941794247,26.58420941955,28.481885092825
1978,21.088448475,27.34167095,27.883957375,27.883957375,27.883957375,31.290873374999997,28.72285512,22.66598105,29.428183134999998,22.66598105,28.72285512,29.98673835,27.34167095,25.5861969675,28.256375773998432,29.142573158099996,27.783385884955003,27.57594024578906,26.744146392300003,28.1630684484
1979,21.0639132075,28.3134324,28.408571430000002,28.408571430000002,28.408571430000002,30.839649469999998,29.6666337725,23.5452822575,29.9178125175,23.5452822575,29.6666337725,29.956249999999997,28.3134324,25.491964285,28.887225704411517,29.733935030675003,28.422918335050003,28.177578954607487,27.457080809374997,28.699178189900003
1980,21.094459585,27.4219911025,28.25001728,28.25001728,28.25001728,31.45375417,29.205501385,22.797010565,30.379914720000002,22.797010565,29.205501385,30.332246015,27.4219911025,25.5788515025,28.647472161243336,29.5647536633,28.11108200681,27.909710391612567,27.0513334759,28.5304286158
1981,20.985881335000002,27.9275918325,28.59730845,28.59730845,28.59730845,30.9602682325,29.366869095,23.052123655,29.28593318,23.052123655,29.366869095,29.811326805,27.9275918325,25.726932705,28.74836613611461,29.52741383205,28.38961171584,28.1202899365266,27.215974788525,28.621968127500004
1982,20.460092165,26.58908218,27.5459688,27.5459688,27.5459688,30.11954327,28.872203732499997,22.3458352525,28.140599015,22.3458352525,28.872203732499997,29.004650537499998,26.58908218,25.1421294175,28.001104500139594,28.900581710049998,27.419104333315,27.215293390223426,26.61123831325,27.792579443125
1983,21.8818183575,28.771136362500002,28.53485229,28.53485229,28.53485229,30.931875,30.2799242425,24.02185213,30.011250804999996,24.02185213,30.2799242425,30.30742556,28.771136362500002,26.2087548325,29.307740050603783,30.221212300175,28.710973380825,28.491079010416176,28.026779362375,29.0516270458
1984,20.484471635,26.812571375,27.6241675925,27.6241675925,27.6241675925,30.95532619,28.299621922500002,22.45570078,28.876490545,22.45570078,28.299621922500002,29.383089542500002,26.812571375,25.776758435,27.86587084166751,28.689303823750006,27.438468648295,27.2392724017567,26.4668661631,27.785036543900006
1985,19.5352688175,26.90233191,27.75253059,27.75253059,27.75253059,30.431096619999998,29.6716605375,22.360497775,29.3253236175,22.360497775,29.6716605375,29.9373116775,26.90233191,26.028681045,28.577063499216347,29.6684916906,27.77138323395,27.583496031497813,27.199679498175,28.297815455175
1986,19.429147465,27.749000000000002,27.664473885,27.664473885,27.664473885,30.40393258,29.155988265,22.9284403325,29.467992725000002,22.9284403325,29.155988265,29.1740710875,27.749000000000002,26.06161034,28.27237900343212,29.145894766725,27.74950676561,27.517869815734603,27.074178483800004,28.046764889725004
1987,21.094339905,28.820363247499998,28.7990307425,28.7990307425,28.7990307425,31.2712143525,29.152530482499998,24.123988605,30.204894375000002,24.123988605,29.152530482499998,30.08748432,28.820363247499998,26.792712067500002,28.856442306408535,29.492179989674998,28.68132967561,28.417571845224302,27.5616246776,28.814240147175
1988,20.838902485,28.5341453,28.658644395,28.658644395,28.658644395,31.187947455,28.9059949675,24.1495893075,29.419093635,24.1495893075,28.9059949675,29.8321190225,28.5341453,26.727153935,28.642884558066488,29.259602096149997,28.502560275310003,28.242934326132236,27.405090417250005,28.612821473274998
1989,20.129176264999998,27.72236367,28.13299923,28.13299923,28.13299923,30.0031071425,28.91036354,22.997263825,29.09015361,22.997263825,28.91036354,29.1683422925,27.72236367,25.4758928575,28.28093832679624,28.993780985675,27.9751771942,27.699979892854522,26.88124762115,28.148141377925
1990,20.9091762675,28.0830555575,28.560687405,28.560687405,28.560687405,30.96152008,30.02235663,24.189485405,29.823630952499997,24.189485405,30.02235663,29.7992396325,28.0830555575,25.98625192,29.090386610977518,29.935227034125003,28.556795992725004,28.356392800917998,27.866424800575004,28.855311904775
1991,20.364473885,27.2442199125,28.06016129,28.06016129,28.06016129,30.816925884999996,29.239439519999998,22.716182794999998,28.8116052225,22.716182794999998,29.239439519999998,29.63846006,27.2442199125,25.8030933175,28.46242629052824,29.363087143099996,27.930376550935,27.70694670352027,27.040729411525,28.283382253400003
1992,21.215900075,27.2235545925,28.211381165,28.211381165,28.211381165,30.809142854999997,30.18724569,23.0338316375,28.805952382500003,23.0338316375,30.18724569,29.538815352500002,27.2235545925,25.959273265,28.94622432849532,29.943900064025,28.17764846678,27.99585755254926,27.643143391275004,28.622566878224998
1993,21.1334831,28.2708755475,28.35940476,28.35940476,28.35940476,30.950833335,28.9522550775,22.9256202,29.8313844075,22.9256202,28.9522550775,30.157580645,28.2708755475,25.859381720000002,28.562934071642218,29.337930145774997,28.25499011195,27.978716156717525,27.002498830125,28.4969494689
1994,20.5495046075,28.228278019999998,28.5367044725,28.5367044725,28.5367044725,30.860064102499997,29.2688928575,22.9303936275,28.940535715,22.9303936275,29.2688928575,29.8163997725,28.228278019999998,25.9913748075,28.683486340749003,29.45730855785,28.37723352297,28.07656512693758,27.174766525975,28.566569156249997
