Year,Dakar_Temperature,Diourbel_Temperature,Fatick_Temperature,Kaffrine_Temperature,Kaolack_Temperature,Kedougou_Temperature,Kolda_Temperature,Louga_Temperature,Matam_Temperature,Saint louis_Temperature,Sedhiou_Temperature,Tambacounda_Temperature,Thies_Temperature,Ziguinchor_Temperature,Corn_Weighted_Temperature,Cotton_Weighted_Temperature,Millet_Weighted_Temperature,Peanut_Weighted_Temperature,Rice_Weighted_Temperature,Sorghum_Weighted_Temperature
1973,24.012025971,28.214644097999997,28.752438274999996,28.752438274999996,28.752438274999996,29.582704524,28.355191739,25.459785578,30.994421717,25.459785578,28.355191739,29.532537912,28.214644097999997,26.740207170999998,28.473467453327917,28.747013841509997,28.476436953231996,28.31418564499828,27.44696646603,28.54700043391
1974,23.035507072999998,27.658836576,28.054747252,28.054747252,28.054747252,28.538098122999997,28.15341775,24.496542084999998,29.742810135000003,24.496542084999998,28.15341775,28.727477933,27.658836576,25.745413328,27.954330381658295,28.314093388249997,27.856170781758003,27.66461561627875,26.88850612375,27.93543136651
1975,23.534218097,28.585827545,28.106535004,28.106535004,28.106535004,29.045259090000002,28.417547890999998,25.050358075,30.162218573,25.050358075,28.417547890999998,28.693580455,28.585827545,25.976995537,28.165274010557244,28.50555793072,28.097077576384002,27.895690293816408,27.224291909660003,28.11619198913
1976,23.402260977999997,28.459570174,28.199014752,28.199014752,28.199014752,28.818885340999998,27.975726655,24.841571217000002,30.604712493,24.841571217000002,27.975726655,28.481944020999997,28.459570174,26.083697501,27.95611100888241,28.166267803479997,28.03698765671,27.817256464054694,26.962570715040002,27.98298648215
1977,24.061153876,29.058856648,29.196995039,29.196995039,29.196995039,29.698356131000004,28.338013394,25.504180842,31.740229491,25.504180842,28.338013394,29.795000511,29.058856648,26.642820192,28.6693971654668,28.835419636170002,28.873400366294,28.641035344002457,27.47461417348,28.811994595800005
1978,24.29027769,28.564981188,28.668334682,28.668334682,28.668334682,29.515967788,28.171022081,25.382890269,30.859975745999996,25.382890269,28.171022081,29.215941457999996,28.564981188,26.309367627,28.32950457959882,28.542787423730005,28.42787943907,28.23287882279271,27.26666635535,28.412673391820004
1979,24.434834099,29.216202399999997,28.899385561000003,28.899385561000003,28.899385561000003,29.575564276,29.565418861,25.693489245000002,31.708737911000004,25.693489245000002,29.565418861,29.379510751999998,29.216202399999997,26.671624423000004,29.101784601272122,29.479588560650004,28.909160754808003,28.726599651021683,28.15327232696,28.987797357690006
1980,23.874095663,28.661268076,28.896111843,28.896111843,28.896111843,29.887379376000002,29.007549271,24.889761216,31.699342232,24.889761216,29.007549271,29.869210234,28.661268076,26.639110494,28.860016493429576,29.269068072369997,28.721801898072,28.526573117321004,27.664237371500004,28.85340288141
1981,24.279148232,29.088108162999998,28.981026299,28.981026299,28.981026299,29.544361977,29.193368850000002,25.461021504,31.106923247999998,25.461021504,29.193368850000002,29.368304917,29.088108162999998,26.652884318,28.92840879773947,29.24542190131,28.862578279658,28.651622230315947,27.89522857477,28.882986912679996
1982,23.693897082,28.530727984,28.715416811,28.715416811,28.715416811,29.381021853,28.809654387000002,24.998430876,30.686524447,24.998430876,28.809654387000002,29.213494624,28.530727984,26.377526591000002,28.59988861418171,28.93924223965,28.529947504728,28.32197063809508,27.51289008135,28.575955624590005
