Year,Dakar_Temperature,Diourbel_Temperature,Fatick_Temperature,Kaffrine_Temperature,Kaolack_Temperature,Kedougou_Temperature,Kolda_Temperature,Louga_Temperature,Matam_Temperature,Saint louis_Temperature,Sedhiou_Temperature,Tambacounda_Temperature,Thies_Temperature,Ziguinchor_Temperature,Corn_Weighted_Temperature,Cotton_Weighted_Temperature,Millet_Weighted_Temperature,Peanut_Weighted_Temperature,Rice_Weighted_Temperature,Sorghum_Weighted_Temperature
1973,20.94210777,26.830188888,28.165632851999998,28.165632851999998,28.165632851999998,31.632398395999996,28.877014429999996,23.126365537999998,30.230121212,23.126365537999998,28.877014429999996,30.665538142000003,26.830188888,26.080215404,28.516926992556346,29.446785501279994,27.9595343497,27.81657982218526,27.024220460499997,28.4592613695
1974,19.909566312,26.493698414,27.729904762,27.729904762,27.729904762,29.916450215999998,28.870406925999998,22.086735314000002,28.67957265,22.086735314000002,28.870406925999998,29.750934784000002,26.493698414,25.050833778,28.13036339726604,29.08487135806,27.54004475388,27.32138461584493,26.545030478979996,27.970381517979998
1975,20.581428572,27.926974789999996,27.93264954,27.93264954,27.93264954,31.135901962000002,29.056805556,22.744985338,29.653100816,22.744985338,29.056805556,29.559272726,27.926974789999996,25.537940172,28.379600288674432,29.2397187719,27.92985768944,27.682487219956325,26.93277196714,28.219761075260003
1976,19.972764976,27.360545778,27.561411884,27.561411884,27.561411884,30.210380952,28.334753310000004,22.14174342,29.661608136,22.14174342,28.334753310000004,29.246570946,27.360545778,25.56309688,27.842639753407518,28.62884489196,27.464627786668004,27.211014312724256,26.381734730780007,27.742847209180006
1977,21.223182798,28.589590062000003,29.137743774,29.137743774,29.137743774,31.640847092,28.243249936,23.635759533999998,31.379780735999997,23.635759533999998,28.243249936,31.00126984,28.589590062000003,26.223274792,28.65420593492345,29.19028037164,28.725942307243997,28.4328632928902,26.916813545380002,28.840401618940007
1978,21.483662006,27.85609538,28.400069125999998,28.400069125999998,28.400069125999998,31.608254256,29.347913726,22.955365485999998,30.634689365999996,22.955365485999998,29.347913726,30.653906810000002,27.85609538,25.958634994,28.83706675878405,29.753161752800004,28.314403800096002,28.10458186763275,27.246959904100002,28.7307702072
1979,21.518872502,28.859412586,28.763631338,28.763631338,28.763631338,31.221719575999998,30.325449876,23.706548386,30.974895176,23.706548386,30.325449876,30.591451611999997,28.859412586,25.967764976,29.43217523153751,30.352017379720003,28.863847847971996,28.621399844621337,27.959749040980004,29.20579244462
1980,21.313567668,27.896302560000002,28.576788018000002,28.576788018000002,28.576788018000002,31.876574763999997,29.711067774000004,22.940834258,31.426512422000002,22.940834258,29.711067774000004,31.057409716000002,27.896302560000002,25.839855396,29.116654422288356,30.10952689354,28.504266382976002,28.302804846915635,27.43249432262,28.98642163318
1981,21.362898616000003,28.514073466000003,28.943008049999996,28.943008049999996,28.943008049999996,31.086279102000002,29.864404366000002,23.272021504,30.644230414000003,23.272021504,29.864404366000002,30.307771122,28.514073466000003,26.064126809999998,29.200578498278382,29.993274760200002,28.799856762372002,28.526155630442297,27.6248990092,29.05672195036
1982,20.692589862,27.23609333,28.131257798,28.131257798,28.131257798,30.683134616,29.543477272,22.466345622,29.355059857999997,22.466345622,29.543477272,29.775978494000004,27.23609333,25.473703534000002,28.634957919544586,29.5852488497,28.014404965604,27.790393401428688,27.099387468779998,28.417467836840004
1983,21.953841782,29.353751196,29.062497215999997,29.062497215999997,29.062497215999997,31.343681818000004,30.848225108,24.011030092,31.263000643999998,24.011030092,30.848225108,30.983273782000005,29.353751196,26.480552254000003,29.853920866427362,30.80457100558,29.234054254500002,28.988199533444025,28.414890258619998,29.5944462689
1984,21.094674082,27.592057099999998,28.309011494000003,28.309011494000003,28.309011494000003,31.230186878,28.988268966,22.91746385,30.436676306,22.91746385,28.988268966,30.183245827999997,27.592057099999998,26.183342232,28.564849285142873,29.3807728079,28.133660780016,27.92142178595505,27.0648106227,28.487660011860005
1985,19.794021506,27.318019374,28.058798666,28.058798666,28.058798666,31.057377296,30.318439542,22.402591768,30.560258894000004,22.402591768,30.318439542,30.631784826,27.318019374,26.016944836,29.097226388548584,30.30553367568,28.159867539,27.978148008965043,27.58945461492,28.776894468240002
1986,20.05686636,28.276342858,28.174159753999998,28.174159753999998,28.174159753999998,30.723146064,29.704790612,23.082752266,30.726118317999997,23.082752266,29.704790612,30.043772999999998,28.276342858,26.554288272,28.846177081491728,29.75879968464,28.272539322260002,28.037875986772658,27.530460950140004,28.628277270659996
1987,21.74321386,29.446690597999996,29.138557928,29.138557928,29.138557928,31.642804816,29.912459167999998,24.442524218,31.543915500000004,24.442524218,29.912459167999998,30.790632618,29.446690597999996,27.186836319999998,29.466680792445278,30.18938919498,29.154657832947997,28.90513005435384,28.146449366439995,29.37183770658
1988,21.303380052,29.218744812,29.115302612,29.115302612,29.115302612,31.72591352,29.515907086,24.283542414,30.858500714,24.283542414,29.515907086,30.576017798,29.218744812,26.987056482000003,29.218036620127716,29.889498881599994,29.020134319343995,28.75056305023801,27.8538875725,29.17493353282
1989,20.671082948,28.206278032,28.5044639,28.5044639,28.5044639,30.634098618000003,29.528980488000002,23.28813364,30.466789554,23.28813364,29.528980488000002,29.980480286,28.206278032,25.824585254,28.847150432675523,29.64669153002,28.428127885068,28.17231022298856,27.3800582233,28.693244700620003
1990,21.128631336,28.745154124,28.96661444,28.96661444,28.96661444,31.493831448,30.673218638,24.152878645999998,31.148582181999995,24.152878645999998,30.673218638,30.563907836,28.745154124,26.252872504,29.65933794702147,30.59273145422,29.040290326172,28.823828869307192,28.292946424679997,29.397744842559998
1991,20.528998461999997,27.532795284000002,28.277161290000002,28.277161290000002,28.277161290000002,31.392250386,29.750906454,22.643913978,30.00025192,22.643913978,29.750906454,30.388187402,27.532795284000002,25.8050553,28.892338892386032,29.92028261708,28.224274143652,28.011067972946908,27.3294480451,28.6859380604
1992,21.573365222,27.726843673999998,28.551685578,28.551685578,28.551685578,31.092314283999997,30.467653694,23.209000793999998,30.054761906,23.209000793999998,30.467653694,30.112987766000003,27.726843673999998,26.164192806,29.302935475019567,30.30150876044,28.539728497284,28.35109431592518,27.90694268506,29.00043479304
1993,21.512592932,28.967668179999997,28.885588324000004,28.885588324000004,28.885588324000004,31.400666668000003,29.803094384,23.197270354,31.172204299999997,23.197270354,29.803094384,31.047354838,28.967668179999997,26.312021506,29.288698523191766,30.15496347094,28.86832499262,28.58904021834158,27.64015390276,29.182843445820005
1994,20.864764976,28.748829311999998,28.970008739999997,28.970008739999997,28.970008739999997,31.409384616,29.962257144,22.988831032,30.261460829999997,22.988831032,29.962257144,30.621506913999998,28.748829311999998,26.276970814000002,29.28504346254842,30.154362330579996,28.869525312616002,28.567385994383567,27.64776820428,29.139149622779996
1995,21.276892474,28.128570436,28.384117698,28.384117698,28.384117698,32.113794016,30.294934867999995,22.968172044,30.254585322000004,22.968172044,30.294934867999995,30.187669742000004,28.128570436,26.199027649999998,29.21115556076709,30.262601105179996,28.470715961872003,28.26692518562171,27.780314480679998,28.92504720984
1996,21.44633148,29.615380296,29.373926586,29.373926586,29.373926586,32.698493887999994,31.400319284,23.59904338,31.655750836,23.59904338,31.400319284,30.859799778000003,29.615380296,26.40593993,30.18819266213762,31.221496321860002,29.512647558568002,29.23910920314322,28.6210255572,29.866794000040002
1997,22.385660522000002,30.12568205,29.681089096,29.681089096,29.681089096,31.411241002000004,31.06080825,24.817623656000002,31.144453931999998,24.817623656000002,31.06080825,31.171367127999996,30.12568205,27.665933947999996,30.229835591907772,31.026690785379998,29.79281544882,29.518121680700403,28.94029670228,30.02166148552
1998,22.984596008,29.688326882000002,30.152523298,30.152523298,30.152523298,32.256112164,30.882635518,24.296625192,31.63084349,24.296625192,30.882635518,32.0498894,29.688326882000002,27.394948626,30.39024198949309,31.213050854059997,29.9963598696,29.720964851455456,28.71794269088,30.29983131798
1999,20.395262674,27.082697602000003,27.810955454,27.810955454,27.810955454,31.005551484,29.52294687,22.286946238,29.677230414,22.286946238,29.52294687,29.959026166,27.082697602000003,26.153082948,28.566961219142527,29.618203485880002,27.809245777656002,27.625056397349635,27.14877660186,28.32514050288
2000,21.657326660000003,30.187929043999997,29.915909062000004,29.915909062000004,29.915909062000004,32.170303762,30.986701540000002,23.99568797,31.513315969999997,23.99568797,30.986701540000002,31.855857143999998,30.187929043999997,26.7787194,30.315019024720627,31.210759025639998,29.921496303004,29.588685102508574,28.589892026,30.168714676260006
2001,21.717436252,31.184170176,28.962992594000003,28.962992594000003,28.962992594000003,25.639944056,32.056241451999995,26.07402411,31.855174257999998,26.07402411,32.056241451999995,32.768361992,31.184170176,28.632200951999998,30.683558494809805,31.66369881176,29.853170421576003,29.591872443325485,29.859805599579992,30.28915913866
2002,21.403863288,29.970282228000002,29.355546956,29.355546956,29.355546956,31.867021646,24.184259739999998,23.571366322,29.807088959999998,23.571366322,24.184259739999998,31.676995929999997,29.970282228000002,27.333775057999997,27.021823604124574,26.828686734819996,28.444839959968,27.946565363890763,24.99825507962,27.955246269179998
2003,21.301105992,28.496199999999998,28.505897437999998,28.505897437999998,28.505897437999998,24.573872548,30.668680654000003,23.723677770000002,30.767835248,23.723677770000002,30.668680654000003,31.890475363999997,28.496199999999998,27.155963959999998,29.566991357683207,30.478673852180002,28.784437765676,28.525244120444953,28.259547875440003,29.290682061579997
2004,21.676723024,28.002933796,28.40485799,28.40485799,28.40485799,31.051114048,29.975814448,23.380602152,30.450588802,23.380602152,29.975814448,31.386408092,28.002933796,27.028206896,29.24578713181746,30.298723447519997,28.506728498344,28.336342202821708,27.84732786656,29.0662861305
2005,22.355013826,28.656020106,28.775725039999998,28.775725039999998,28.775725039999998,30.995183348,30.152737931999997,24.19807066,30.909798772,24.19807066,30.152737931999997,31.123834102,28.656020106,28.240580168,29.48735431569655,30.363437925939998,28.875735230488,28.70652269013354,28.353703257119996,29.32052633682
2006,21.41914593,28.079054218,28.374037636000004,28.374037636000004,28.374037636000004,31.017018819999997,30.175982316,23.794855912,30.391599462,23.794855912,30.175982316,30.54987794,28.079054218,27.232226092,29.233381092689303,30.211801731440005,28.503661920212004,28.34341917669997,28.068062473759998,28.9847851876
2007,22.29616897,23.1,29.410322257999997,29.410322257999997,29.410322257999997,22.98,24.119999999999997,24.925940092,31.068358606000004,24.925940092,24.119999999999997,31.636470046,23.1,27.781996925999998,26.69500231197305,26.248136846979996,27.490673823608,27.401185162134986,25.14460537328,27.60539368216
2008,23.200671114,0.0,29.454907201999998,29.454907201999998,29.454907201999998,0.0,0.0,25.43777441,31.171450549999996,25.43777441,0.0,31.845738146000002,0.0,28.331337347999998,14.696602579445313,9.72872896862,20.188212581244,20.691039494406066,12.129527904139998,19.57276945024
2009,20.648073732,26.943377880000003,27.470878646,27.470878646,27.470878646,30.71740585,28.865035327999998,22.686659496,30.014505376,22.686659496,28.865035327999998,30.984301074,26.943377880000003,26.513556066,28.33075566037655,29.422344594899997,27.57286460298,27.44132959848532,26.9565558025,28.206256061879998
2010,23.097416283999998,29.23848848,29.711972350000003,29.711972350000003,29.711972350000003,31.664835636,30.175101382,24.924305684,32.035910904000005,24.924305684,30.175101382,32.656417818,29.23848848,28.486838708,30.052755022600575,30.85702680432,29.635632700332,29.449272602352256,28.652211965760003,30.06050042972001
2011,21.830112136,27.656741936000003,27.905528416,27.905528416,27.905528416,30.58099539,29.251926265999998,22.93912914,30.261751154000002,22.93912914,29.251926265999998,31.112669738,27.656741936000003,26.510778801999997,28.699556358751313,29.71607241044,28.012932864603997,27.845074851414697,27.256881944219998,28.570356884859997
2012,21.785119764,28.214964774,28.348167433999997,28.348167433999997,28.348167433999997,31.246760102000003,29.660411676000003,23.818119816,29.507838338,23.818119816,29.660411676000003,30.814938489999996,28.214964774,26.854036336,29.022461353879578,29.96548963054,28.442592070552,28.25669622579921,27.7465183284,28.86843858624
2013,22.306411676,28.540723504,28.449778803999997,28.449778803999997,28.449778803999997,31.744601938,29.265662642000002,23.87102304,30.184457757999997,23.87102304,29.265662642000002,31.70364482,28.540723504,26.905547434,29.033107504596508,29.974941513980006,28.545782391491997,28.356843600556694,27.597066458600008,28.998709130599995
2014,21.020262672,0.0,28.561944701999998,28.561944701999998,28.561944701999998,30.625429048,30.027898618000002,23.695569889999998,30.213723502,23.695569889999998,30.027898618000002,31.690804916,0.0,27.025118278,28.344466778232803,30.391519783340005,24.436159255259998,26.05498570082229,27.38086782298,28.05992034814
2015,21.439952377999997,28.219732378000003,28.484781874,28.484781874,28.484781874,32.111354756000004,29.825735962,23.223149004,30.403948114000002,23.223149004,29.825735962,31.791190475999997,28.219732378000003,26.524344085999996,29.26003740082226,30.373779472859997,28.577437654236,28.384568887508063,27.67100458594,29.132080623100002
2016,22.205959954,27.794231368,29.624850576,29.624850576,29.624850576,32.39998481,29.341190951999998,23.936218017999998,30.509587688,23.936218017999998,29.341190951999998,31.837054504,27.794231368,26.864474774,29.40153877945461,30.16570404892,29.128756707468,28.923184004911896,27.675221417219998,29.49034257684
2017,22.315308754,28.215741936,29.450382488000002,29.450382488000002,29.450382488000002,32.086573478000005,29.776138248000002,24.36977573,31.265304148000002,24.36977573,29.776138248000002,32.186233484,28.215741936,27.287319508000003,29.641921821225765,30.497742825200003,29.207572787016,29.034109110938907,28.080971940140003,29.657138396440008
2018,20.508261135999998,26.472889400000003,28.709119814,28.709119814,28.709119814,31.660093702,29.03271275,22.964344086,30.56982028,22.964344086,29.03271275,31.667460827999996,26.472889400000003,26.807313364,28.86148985423979,29.829627050459997,28.293650263095998,28.15162143091298,27.2027676499,28.877583747299997
2019,21.953589862,27.503346942,29.13767742,29.13767742,29.13767742,31.822703532000002,29.462995392,23.775122888,30.464917972000002,23.775122888,29.462995392,31.797870968,27.503346942,27.343322582000003,29.292830020444264,30.16877769608,28.815405149572,28.65290876757314,27.74855556598,29.30180044028
2020,23.211600298,29.342430106000002,30.224241752,30.224241752,30.224241752,32.052870596,30.262157952000003,25.227942157999998,31.630063034,25.227942157999998,30.262157952000003,32.52715165,29.342430106000002,27.978002224,30.22458188148612,30.93357416314,29.96435475038,29.744016351955736,28.703021897680003,30.270739903940004
2021,21.491115206,28.150517666000002,29.199245775999998,29.199245775999998,29.199245775999998,32.273732718000005,29.697268817999998,23.73502765,31.538989246,23.73502765,29.697268817999998,32.04580338,28.150517666000002,27.167741934000002,29.48494119512709,30.40910890998,28.999623551908,28.8101295071784,27.860958986400004,29.475581091
2022,22.713963134,28.198685098,29.114772658,29.114772658,29.114772658,31.665465438000002,30.320321044000003,24.245517666,31.248373272,24.245517666,30.320321044000003,32.097941629999994,28.198685098,27.164092166,29.774185777774463,30.773101950980003,29.088701751252003,28.94527566944755,28.303965069060002,29.654707296799998
2023,22.909863288,28.858975422000004,29.402073734,29.402073734,29.402073734,32.185367126,30.112854069999997,24.77575269,31.414612904000002,24.77575269,30.112854069999997,32.377798774,28.858975422000004,27.306533026,29.857555732881753,30.760794209199997,29.364724811888,29.1934330153897,28.37427066064,29.824350338800002
2024,23.64577234,28.724160175999998,30.102855025999997,30.102855025999997,30.102855025999997,33.116104562,30.865218389999995,24.999124954,32.019818318,24.999124954,30.865218389999995,32.94069781,28.724160175999998,27.86037968,30.517341357353665,31.473399613479998,29.915366849627997,29.777179555877307,28.95216583562,30.46406614024
