Crop,Production,Year,Dakar_VHI,Diourbel_VHI,Fatick_VHI,Kaffrine_VHI,Kaolack_VHI,Kedougou_VHI,Kolda_VHI,Louga_VHI,Matam_VHI,Saint louis_VHI,Sedhiou_VHI,Tambacounda_VHI,Thies_VHI,Ziguinchor_VHI,Corn_Weighted_VHI,Cotton_Weighted_VHI,Millet_Weighted_VHI,Peanut_Weighted_VHI,Rice_Weighted_VHI,Sorghum_Weighted_VHI,Dakar_VHI_Cumulative,Diourbel_VHI_Cumulative,Fatick_VHI_Cumulative,Kaffrine_VHI_Cumulative,Kaolack_VHI_Cumulative,Kedougou_VHI_Cumulative,Kolda_VHI_Cumulative,Louga_VHI_Cumulative,Matam_VHI_Cumulative,Saint louis_VHI_Cumulative,Sedhiou_VHI_Cumulative,Tambacounda_VHI_Cumulative,Thies_VHI_Cumulative,Ziguinchor_VHI_Cumulative,Corn_Weighted_VHI_Cumulative,Cotton_Weighted_VHI_Cumulative,Millet_Weighted_VHI_Cumulative,Peanut_Weighted_VHI_Cumulative,Rice_Weighted_VHI_Cumulative,Sorghum_Weighted_VHI_Cumulative,Dakar_Rainfall,Diourbel_Rainfall,Fatick_Rainfall,Kaffrine_Rainfall,Kaolack_Rainfall,Kedougou_Rainfall,Kolda_Rainfall,Louga_Rainfall,Matam_Rainfall,Saint louis_Rainfall,Sedhiou_Rainfall,Tambacounda_Rainfall,Thies_Rainfall,Ziguinchor_Rainfall,Corn_Weighted_Rainfall,Cotton_Weighted_Rainfall,Millet_Weighted_Rainfall,Peanut_Weighted_Rainfall,Rice_Weighted_Rainfall,Sorghum_Weighted_Rainfall,Dakar_Temperature,Diourbel_Temperature,Fatick_Temperature,Kaffrine_Temperature,Kaolack_Temperature,Kedougou_Temperature,Kolda_Temperature,Louga_Temperature,Matam_Temperature,Saint louis_Temperature,Sedhiou_Temperature,Tambacounda_Temperature,Thies_Temperature,Ziguinchor_Temperature,Corn_Weighted_Temperature,Cotton_Weighted_Temperature,Millet_Weighted_Temperature,Peanut_Weighted_Temperature,Rice_Weighted_Temperature,Sorghum_Weighted_Temperature
Peanut,646394.0,1996,0.4026666666666667,0.3196666666666666,0.3699999999999999,0.3333333333333333,0.3293333333333333,0.4906666666666666,0.4656666666666667,0.3136666666666666,0.314,0.262,0.3386666666666666,0.4146666666666667,0.363,0.4439999999999999,0.3841333340539999,0.4451666666666666,0.3561133333333333,0.3699385721633333,0.3755866666666667,0.3728566666666666,2.377,1.557,1.939,1.627,1.724,2.662,2.64,1.448,1.524,1.138,2.025,2.212,1.98,2.574,2.116363337086,2.46836,1.86533,1.944442861102,2.07175,1.99193,1.763,6.536,10.802,2.15,4.582,0.98,4.004,3.319,1.445,2.269,7.714,3.625,4.169,7.254,5.39675889553,3.67799,5.311332,4.495727150846,5.06311,4.0534300000000005,20.73453838,28.774404765,28.43926585,28.43926585,28.43926585,31.446296295000003,29.5795977,23.361179085,28.48848721,23.361179085,29.5795977,28.462958845,28.774404765,25.479477195,28.6515991467965,29.34401999095,28.39413432253,28.07582263421828,27.35116722285,28.42070337675
Corn,88634.0,1996,0.4026666666666667,0.3196666666666666,0.3699999999999999,0.3333333333333333,0.3293333333333333,0.4906666666666666,0.4656666666666667,0.3136666666666666,0.314,0.262,0.3386666666666666,0.4146666666666667,0.363,0.4439999999999999,0.3841333340539999,0.4451666666666666,0.3561133333333333,0.3699385721633333,0.3755866666666667,0.3728566666666666,2.377,1.557,1.939,1.627,1.724,2.662,2.64,1.448,1.524,1.138,2.025,2.212,1.98,2.574,2.116363337086,2.46836,1.86533,1.944442861102,2.07175,1.99193,1.763,6.536,10.802,2.15,4.582,0.98,4.004,3.319,1.445,2.269,7.714,3.625,4.169,7.254,5.39675889553,3.67799,5.311332,4.495727150846,5.06311,4.0534300000000005,20.73453838,28.774404765,28.43926585,28.43926585,28.43926585,31.446296295000003,29.5795977,23.361179085,28.48848721,23.361179085,29.5795977,28.462958845,28.774404765,25.479477195,28.6515991467965,29.34401999095,28.39413432253,28.07582263421828,27.35116722285,28.42070337675
Millet,601359.0,1996,0.4026666666666667,0.3196666666666666,0.3699999999999999,0.3333333333333333,0.3293333333333333,0.4906666666666666,0.4656666666666667,0.3136666666666666,0.314,0.262,0.3386666666666666,0.4146666666666667,0.363,0.4439999999999999,0.3841333340539999,0.4451666666666666,0.3561133333333333,0.3699385721633333,0.3755866666666667,0.3728566666666666,2.377,1.557,1.939,1.627,1.724,2.662,2.64,1.448,1.524,1.138,2.025,2.212,1.98,2.574,2.116363337086,2.46836,1.86533,1.944442861102,2.07175,1.99193,1.763,6.536,10.802,2.15,4.582,0.98,4.004,3.319,1.445,2.269,7.714,3.625,4.169,7.254,5.39675889553,3.67799,5.311332,4.495727150846,5.06311,4.0534300000000005,20.73453838,28.774404765,28.43926585,28.43926585,28.43926585,31.446296295000003,29.5795977,23.361179085,28.48848721,23.361179085,29.5795977,28.462958845,28.774404765,25.479477195,28.6515991467965,29.34401999095,28.39413432253,28.07582263421828,27.35116722285,28.42070337675
Rice,148780.0,1996,0.4026666666666667,0.3196666666666666,0.3699999999999999,0.3333333333333333,0.3293333333333333,0.4906666666666666,0.4656666666666667,0.3136666666666666,0.314,0.262,0.3386666666666666,0.4146666666666667,0.363,0.4439999999999999,0.3841333340539999,0.4451666666666666,0.3561133333333333,0.3699385721633333,0.3755866666666667,0.3728566666666666,2.377,1.557,1.939,1.627,1.724,2.662,2.64,1.448,1.524,1.138,2.025,2.212,1.98,2.574,2.116363337086,2.46836,1.86533,1.944442861102,2.07175,1.99193,1.763,6.536,10.802,2.15,4.582,0.98,4.004,3.319,1.445,2.269,7.714,3.625,4.169,7.254,5.39675889553,3.67799,5.311332,4.495727150846,5.06311,4.0534300000000005,20.73453838,28.774404765,28.43926585,28.43926585,28.43926585,31.446296295000003,29.5795977,23.361179085,28.48848721,23.361179085,29.5795977,28.462958845,28.774404765,25.479477195,28.6515991467965,29.34401999095,28.39413432253,28.07582263421828,27.35116722285,28.42070337675
Sorghum,133009.0,1996,0.4026666666666667,0.3196666666666666,0.3699999999999999,0.3333333333333333,0.3293333333333333,0.4906666666666666,0.4656666666666667,0.3136666666666666,0.314,0.262,0.3386666666666666,0.4146666666666667,0.363,0.4439999999999999,0.3841333340539999,0.4451666666666666,0.3561133333333333,0.3699385721633333,0.3755866666666667,0.3728566666666666,2.377,1.557,1.939,1.627,1.724,2.662,2.64,1.448,1.524,1.138,2.025,2.212,1.98,2.574,2.116363337086,2.46836,1.86533,1.944442861102,2.07175,1.99193,1.763,6.536,10.802,2.15,4.582,0.98,4.004,3.319,1.445,2.269,7.714,3.625,4.169,7.254,5.39675889553,3.67799,5.311332,4.495727150846,5.06311,4.0534300000000005,20.73453838,28.774404765,28.43926585,28.43926585,28.43926585,31.446296295000003,29.5795977,23.361179085,28.48848721,23.361179085,29.5795977,28.462958845,28.774404765,25.479477195,28.6515991467965,29.34401999095,28.39413432253,28.07582263421828,27.35116722285,28.42070337675
Peanut,544825.0,1997,0.4466666666666667,0.4533333333333333,0.4133333333333333,0.4026666666666667,0.3916666666666666,0.4766666666666666,0.3786666666666667,0.4639999999999999,0.4123333333333334,0.399,0.349,0.4643333333333333,0.463,0.344,0.3971851860433333,0.4069966666666667,0.411884,0.4127495246326667,0.37619,0.4063299999999999,2.274,2.152,1.987,1.984,1.835,2.656,2.192,2.262,2.002,2.022,2.025,2.456,2.225,2.039,2.111638893248,2.2702,2.056026,2.08969571862,2.0875,2.11964,0.44,1.893,6.438,18.218,15.631,2.362,30.391,7.189,11.512,10.329,32.171,12.508,2.2030000000000003,10.745,19.974167792198,23.50006,14.344356,15.052298591272,21.02384,18.38555,22.567108295,28.995,28.829550695,28.829550695,28.829550695,30.108952255,29.020833335,24.940833335,28.33866995,24.940833335,29.020833335,29.12547619,28.995,26.80074885,28.6883336376426,29.10080422555,28.68551009327,28.40986507794204,27.661533405,28.63443197755
Corn,80281.0,1997,0.4466666666666667,0.4533333333333333,0.4133333333333333,0.4026666666666667,0.3916666666666666,0.4766666666666666,0.3786666666666667,0.4639999999999999,0.4123333333333334,0.399,0.349,0.4643333333333333,0.463,0.344,0.3971851860433333,0.4069966666666667,0.411884,0.4127495246326667,0.37619,0.4063299999999999,2.274,2.152,1.987,1.984,1.835,2.656,2.192,2.262,2.002,2.022,2.025,2.456,2.225,2.039,2.111638893248,2.2702,2.056026,2.08969571862,2.0875,2.11964,0.44,1.893,6.438,18.218,15.631,2.362,30.391,7.189,11.512,10.329,32.171,12.508,2.2030000000000003,10.745,19.974167792198,23.50006,14.344356,15.052298591272,21.02384,18.38555,22.567108295,28.995,28.829550695,28.829550695,28.829550695,30.108952255,29.020833335,24.940833335,28.33866995,24.940833335,29.020833335,29.12547619,28.995,26.80074885,28.6883336376426,29.10080422555,28.68551009327,28.40986507794204,27.661533405,28.63443197755
Millet,426481.0,1997,0.4466666666666667,0.4533333333333333,0.4133333333333333,0.4026666666666667,0.3916666666666666,0.4766666666666666,0.3786666666666667,0.4639999999999999,0.4123333333333334,0.399,0.349,0.4643333333333333,0.463,0.344,0.3971851860433333,0.4069966666666667,0.411884,0.4127495246326667,0.37619,0.4063299999999999,2.274,2.152,1.987,1.984,1.835,2.656,2.192,2.262,2.002,2.022,2.025,2.456,2.225,2.039,2.111638893248,2.2702,2.056026,2.08969571862,2.0875,2.11964,0.44,1.893,6.438,18.218,15.631,2.362,30.391,7.189,11.512,10.329,32.171,12.508,2.2030000000000003,10.745,19.974167792198,23.50006,14.344356,15.052298591272,21.02384,18.38555,22.567108295,28.995,28.829550695,28.829550695,28.829550695,30.108952255,29.020833335,24.940833335,28.33866995,24.940833335,29.020833335,29.12547619,28.995,26.80074885,28.6883336376426,29.10080422555,28.68551009327,28.40986507794204,27.661533405,28.63443197755
Rice,173702.0,1997,0.4466666666666667,0.4533333333333333,0.4133333333333333,0.4026666666666667,0.3916666666666666,0.4766666666666666,0.3786666666666667,0.4639999999999999,0.4123333333333334,0.399,0.349,0.4643333333333333,0.463,0.344,0.3971851860433333,0.4069966666666667,0.411884,0.4127495246326667,0.37619,0.4063299999999999,2.274,2.152,1.987,1.984,1.835,2.656,2.192,2.262,2.002,2.022,2.025,2.456,2.225,2.039,2.111638893248,2.2702,2.056026,2.08969571862,2.0875,2.11964,0.44,1.893,6.438,18.218,15.631,2.362,30.391,7.189,11.512,10.329,32.171,12.508,2.2030000000000003,10.745,19.974167792198,23.50006,14.344356,15.052298591272,21.02384,18.38555,22.567108295,28.995,28.829550695,28.829550695,28.829550695,30.108952255,29.020833335,24.940833335,28.33866995,24.940833335,29.020833335,29.12547619,28.995,26.80074885,28.6883336376426,29.10080422555,28.68551009327,28.40986507794204,27.661533405,28.63443197755
Sorghum,118297.0,1997,0.4466666666666667,0.4533333333333333,0.4133333333333333,0.4026666666666667,0.3916666666666666,0.4766666666666666,0.3786666666666667,0.4639999999999999,0.4123333333333334,0.399,0.349,0.4643333333333333,0.463,0.344,0.3971851860433333,0.4069966666666667,0.411884,0.4127495246326667,0.37619,0.4063299999999999,2.274,2.152,1.987,1.984,1.835,2.656,2.192,2.262,2.002,2.022,2.025,2.456,2.225,2.039,2.111638893248,2.2702,2.056026,2.08969571862,2.0875,2.11964,0.44,1.893,6.438,18.218,15.631,2.362,30.391,7.189,11.512,10.329,32.171,12.508,2.2030000000000003,10.745,19.974167792198,23.50006,14.344356,15.052298591272,21.02384,18.38555,22.567108295,28.995,28.829550695,28.829550695,28.829550695,30.108952255,29.020833335,24.940833335,28.33866995,24.940833335,29.020833335,29.12547619,28.995,26.80074885,28.6883336376426,29.10080422555,28.68551009327,28.40986507794204,27.661533405,28.63443197755
