Crop,Production,Year,Dakar_VHI,Diourbel_VHI,Fatick_VHI,Kaffrine_VHI,Kaolack_VHI,Kedougou_VHI,Kolda_VHI,Louga_VHI,Matam_VHI,Saint louis_VHI,Sedhiou_VHI,Tambacounda_VHI,Thies_VHI,Ziguinchor_VHI,Corn_Weighted_VHI,Cotton_Weighted_VHI,Millet_Weighted_VHI,Peanut_Weighted_VHI,Rice_Weighted_VHI,Sorghum_Weighted_VHI,Dakar_VHI_Cumulative,Diourbel_VHI_Cumulative,Fatick_VHI_Cumulative,Kaffrine_VHI_Cumulative,Kaolack_VHI_Cumulative,Kedougou_VHI_Cumulative,Kolda_VHI_Cumulative,Louga_VHI_Cumulative,Matam_VHI_Cumulative,Saint louis_VHI_Cumulative,Sedhiou_VHI_Cumulative,Tambacounda_VHI_Cumulative,Thies_VHI_Cumulative,Ziguinchor_VHI_Cumulative,Corn_Weighted_VHI_Cumulative,Cotton_Weighted_VHI_Cumulative,Millet_Weighted_VHI_Cumulative,Peanut_Weighted_VHI_Cumulative,Rice_Weighted_VHI_Cumulative,Sorghum_Weighted_VHI_Cumulative,Dakar_Rainfall,Diourbel_Rainfall,Fatick_Rainfall,Kaffrine_Rainfall,Kaolack_Rainfall,Kedougou_Rainfall,Kolda_Rainfall,Louga_Rainfall,Matam_Rainfall,Saint louis_Rainfall,Sedhiou_Rainfall,Tambacounda_Rainfall,Thies_Rainfall,Ziguinchor_Rainfall,Corn_Weighted_Rainfall,Cotton_Weighted_Rainfall,Millet_Weighted_Rainfall,Peanut_Weighted_Rainfall,Rice_Weighted_Rainfall,Sorghum_Weighted_Rainfall,Dakar_Temperature,Diourbel_Temperature,Fatick_Temperature,Kaffrine_Temperature,Kaolack_Temperature,Kedougou_Temperature,Kolda_Temperature,Louga_Temperature,Matam_Temperature,Saint louis_Temperature,Sedhiou_Temperature,Tambacounda_Temperature,Thies_Temperature,Ziguinchor_Temperature,Corn_Weighted_Temperature,Cotton_Weighted_Temperature,Millet_Weighted_Temperature,Peanut_Weighted_Temperature,Rice_Weighted_Temperature,Sorghum_Weighted_Temperature
Peanut,646394.0,1996,0.3896666666666666,0.1993333333333333,0.2763333333333333,0.209,0.2453333333333333,0.3966666666666666,0.4143333333333333,0.169,0.1939999999999999,0.1173333333333333,0.3363333333333333,0.3226666666666666,0.297,0.414,0.3213211116413333,0.3776199999999999,0.2656633333333333,0.278209048204,0.3149966666666666,0.29112,1.169,0.598,0.829,0.627,0.736,1.19,1.243,0.507,0.582,0.352,1.009,0.968,0.891,1.242,0.963963334924,1.13286,0.79699,0.8346271446119999,0.94499,0.8733599999999999,1.763,3.821,9.31,1.663,4.429,0.0,1.077,0.868,0.538,0.159,4.769,1.807,3.485,7.146000000000001,3.480173337654,1.29462,3.951912,3.149417148056,2.9382200000000003,2.55008,21.2483871,28.61666667,27.96129032,27.96129032,27.96129032,30.29259259,28.57586207,23.22580645,27.28387097,23.22580645,28.57586207,27.17419355,28.61666667,25.04516129,27.848674157603607,28.2915744662,27.8485069864,27.497926236725245,26.679772051400004,27.6768566717
Corn,88634.0,1996,0.3896666666666666,0.1993333333333333,0.2763333333333333,0.209,0.2453333333333333,0.3966666666666666,0.4143333333333333,0.169,0.1939999999999999,0.1173333333333333,0.3363333333333333,0.3226666666666666,0.297,0.414,0.3213211116413333,0.3776199999999999,0.2656633333333333,0.278209048204,0.3149966666666666,0.29112,1.169,0.598,0.829,0.627,0.736,1.19,1.243,0.507,0.582,0.352,1.009,0.968,0.891,1.242,0.963963334924,1.13286,0.79699,0.8346271446119999,0.94499,0.8733599999999999,1.763,3.821,9.31,1.663,4.429,0.0,1.077,0.868,0.538,0.159,4.769,1.807,3.485,7.146000000000001,3.480173337654,1.29462,3.951912,3.149417148056,2.9382200000000003,2.55008,21.2483871,28.61666667,27.96129032,27.96129032,27.96129032,30.29259259,28.57586207,23.22580645,27.28387097,23.22580645,28.57586207,27.17419355,28.61666667,25.04516129,27.848674157603607,28.2915744662,27.8485069864,27.497926236725245,26.679772051400004,27.6768566717
Millet,601359.0,1996,0.3896666666666666,0.1993333333333333,0.2763333333333333,0.209,0.2453333333333333,0.3966666666666666,0.4143333333333333,0.169,0.1939999999999999,0.1173333333333333,0.3363333333333333,0.3226666666666666,0.297,0.414,0.3213211116413333,0.3776199999999999,0.2656633333333333,0.278209048204,0.3149966666666666,0.29112,1.169,0.598,0.829,0.627,0.736,1.19,1.243,0.507,0.582,0.352,1.009,0.968,0.891,1.242,0.963963334924,1.13286,0.79699,0.8346271446119999,0.94499,0.8733599999999999,1.763,3.821,9.31,1.663,4.429,0.0,1.077,0.868,0.538,0.159,4.769,1.807,3.485,7.146000000000001,3.480173337654,1.29462,3.951912,3.149417148056,2.9382200000000003,2.55008,21.2483871,28.61666667,27.96129032,27.96129032,27.96129032,30.29259259,28.57586207,23.22580645,27.28387097,23.22580645,28.57586207,27.17419355,28.61666667,25.04516129,27.848674157603607,28.2915744662,27.8485069864,27.497926236725245,26.679772051400004,27.6768566717
Rice,148780.0,1996,0.3896666666666666,0.1993333333333333,0.2763333333333333,0.209,0.2453333333333333,0.3966666666666666,0.4143333333333333,0.169,0.1939999999999999,0.1173333333333333,0.3363333333333333,0.3226666666666666,0.297,0.414,0.3213211116413333,0.3776199999999999,0.2656633333333333,0.278209048204,0.3149966666666666,0.29112,1.169,0.598,0.829,0.627,0.736,1.19,1.243,0.507,0.582,0.352,1.009,0.968,0.891,1.242,0.963963334924,1.13286,0.79699,0.8346271446119999,0.94499,0.8733599999999999,1.763,3.821,9.31,1.663,4.429,0.0,1.077,0.868,0.538,0.159,4.769,1.807,3.485,7.146000000000001,3.480173337654,1.29462,3.951912,3.149417148056,2.9382200000000003,2.55008,21.2483871,28.61666667,27.96129032,27.96129032,27.96129032,30.29259259,28.57586207,23.22580645,27.28387097,23.22580645,28.57586207,27.17419355,28.61666667,25.04516129,27.848674157603607,28.2915744662,27.8485069864,27.497926236725245,26.679772051400004,27.6768566717
Sorghum,133009.0,1996,0.3896666666666666,0.1993333333333333,0.2763333333333333,0.209,0.2453333333333333,0.3966666666666666,0.4143333333333333,0.169,0.1939999999999999,0.1173333333333333,0.3363333333333333,0.3226666666666666,0.297,0.414,0.3213211116413333,0.3776199999999999,0.2656633333333333,0.278209048204,0.3149966666666666,0.29112,1.169,0.598,0.829,0.627,0.736,1.19,1.243,0.507,0.582,0.352,1.009,0.968,0.891,1.242,0.963963334924,1.13286,0.79699,0.8346271446119999,0.94499,0.8733599999999999,1.763,3.821,9.31,1.663,4.429,0.0,1.077,0.868,0.538,0.159,4.769,1.807,3.485,7.146000000000001,3.480173337654,1.29462,3.951912,3.149417148056,2.9382200000000003,2.55008,21.2483871,28.61666667,27.96129032,27.96129032,27.96129032,30.29259259,28.57586207,23.22580645,27.28387097,23.22580645,28.57586207,27.17419355,28.61666667,25.04516129,27.848674157603607,28.2915744662,27.8485069864,27.497926236725245,26.679772051400004,27.6768566717
Peanut,544825.0,1997,0.3113333333333333,0.264,0.249,0.2586666666666666,0.2199999999999999,0.4086666666666667,0.352,0.29,0.255,0.2749999999999999,0.326,0.3543333333333333,0.2786666666666667,0.3356666666666667,0.3066944450393333,0.3497366666666667,0.273458,0.2838157149073333,0.3196433333333333,0.3002166666666667,0.934,0.792,0.747,0.776,0.6599999999999999,1.226,1.056,0.8700000000000001,0.765,0.825,0.978,1.063,0.8360000000000001,1.007,0.920083335118,1.04921,0.8203739999999999,0.851447144722,0.95893,0.9006500000000002,0.0,1.6509999999999998,5.045,17.889,15.362,1.276,26.796000000000003,1.442,10.89,0.348,26.783,11.85,0.076,9.812,17.329661120752,20.96848,12.716212,13.19888715736,16.231960000000004,16.467450000000003,21.78064516,27.54,27.6483871,27.6483871,27.6483871,29.84482759,28.05,22.95666667,27.23448276,22.95666667,28.05,28.28666667,27.54,26.21935484,27.643387912415783,28.192759548900003,27.47968593474,27.22264467042171,26.5128479433,27.5670571767
Corn,80281.0,1997,0.3113333333333333,0.264,0.249,0.2586666666666666,0.2199999999999999,0.4086666666666667,0.352,0.29,0.255,0.2749999999999999,0.326,0.3543333333333333,0.2786666666666667,0.3356666666666667,0.3066944450393333,0.3497366666666667,0.273458,0.2838157149073333,0.3196433333333333,0.3002166666666667,0.934,0.792,0.747,0.776,0.6599999999999999,1.226,1.056,0.8700000000000001,0.765,0.825,0.978,1.063,0.8360000000000001,1.007,0.920083335118,1.04921,0.8203739999999999,0.851447144722,0.95893,0.9006500000000002,0.0,1.6509999999999998,5.045,17.889,15.362,1.276,26.796000000000003,1.442,10.89,0.348,26.783,11.85,0.076,9.812,17.329661120752,20.96848,12.716212,13.19888715736,16.231960000000004,16.467450000000003,21.78064516,27.54,27.6483871,27.6483871,27.6483871,29.84482759,28.05,22.95666667,27.23448276,22.95666667,28.05,28.28666667,27.54,26.21935484,27.643387912415783,28.192759548900003,27.47968593474,27.22264467042171,26.5128479433,27.5670571767
Millet,426481.0,1997,0.3113333333333333,0.264,0.249,0.2586666666666666,0.2199999999999999,0.4086666666666667,0.352,0.29,0.255,0.2749999999999999,0.326,0.3543333333333333,0.2786666666666667,0.3356666666666667,0.3066944450393333,0.3497366666666667,0.273458,0.2838157149073333,0.3196433333333333,0.3002166666666667,0.934,0.792,0.747,0.776,0.6599999999999999,1.226,1.056,0.8700000000000001,0.765,0.825,0.978,1.063,0.8360000000000001,1.007,0.920083335118,1.04921,0.8203739999999999,0.851447144722,0.95893,0.9006500000000002,0.0,1.6509999999999998,5.045,17.889,15.362,1.276,26.796000000000003,1.442,10.89,0.348,26.783,11.85,0.076,9.812,17.329661120752,20.96848,12.716212,13.19888715736,16.231960000000004,16.467450000000003,21.78064516,27.54,27.6483871,27.6483871,27.6483871,29.84482759,28.05,22.95666667,27.23448276,22.95666667,28.05,28.28666667,27.54,26.21935484,27.643387912415783,28.192759548900003,27.47968593474,27.22264467042171,26.5128479433,27.5670571767
Rice,173702.0,1997,0.3113333333333333,0.264,0.249,0.2586666666666666,0.2199999999999999,0.4086666666666667,0.352,0.29,0.255,0.2749999999999999,0.326,0.3543333333333333,0.2786666666666667,0.3356666666666667,0.3066944450393333,0.3497366666666667,0.273458,0.2838157149073333,0.3196433333333333,0.3002166666666667,0.934,0.792,0.747,0.776,0.6599999999999999,1.226,1.056,0.8700000000000001,0.765,0.825,0.978,1.063,0.8360000000000001,1.007,0.920083335118,1.04921,0.8203739999999999,0.851447144722,0.95893,0.9006500000000002,0.0,1.6509999999999998,5.045,17.889,15.362,1.276,26.796000000000003,1.442,10.89,0.348,26.783,11.85,0.076,9.812,17.329661120752,20.96848,12.716212,13.19888715736,16.231960000000004,16.467450000000003,21.78064516,27.54,27.6483871,27.6483871,27.6483871,29.84482759,28.05,22.95666667,27.23448276,22.95666667,28.05,28.28666667,27.54,26.21935484,27.643387912415783,28.192759548900003,27.47968593474,27.22264467042171,26.5128479433,27.5670571767
Sorghum,118297.0,1997,0.3113333333333333,0.264,0.249,0.2586666666666666,0.2199999999999999,0.4086666666666667,0.352,0.29,0.255,0.2749999999999999,0.326,0.3543333333333333,0.2786666666666667,0.3356666666666667,0.3066944450393333,0.3497366666666667,0.273458,0.2838157149073333,0.3196433333333333,0.3002166666666667,0.934,0.792,0.747,0.776,0.6599999999999999,1.226,1.056,0.8700000000000001,0.765,0.825,0.978,1.063,0.8360000000000001,1.007,0.920083335118,1.04921,0.8203739999999999,0.851447144722,0.95893,0.9006500000000002,0.0,1.6509999999999998,5.045,17.889,15.362,1.276,26.796000000000003,1.442,10.89,0.348,26.783,11.85,0.076,9.812,17.329661120752,20.96848,12.716212,13.19888715736,16.231960000000004,16.467450000000003,21.78064516,27.54,27.6483871,27.6483871,27.6483871,29.84482759,28.05,22.95666667,27.23448276,22.95666667,28.05,28.28666667,27.54,26.21935484,27.643387912415783,28.192759548900003,27.47968593474,27.22264467042171,26.5128479433,27.5670571767
