Crop,Production,Year,Dakar_VHI,Diourbel_VHI,Fatick_VHI,Kaffrine_VHI,Kaolack_VHI,Kedougou_VHI,Kolda_VHI,Louga_VHI,Matam_VHI,Saint louis_VHI,Sedhiou_VHI,Tambacounda_VHI,Thies_VHI,Ziguinchor_VHI,Corn_Weighted_VHI,Cotton_Weighted_VHI,Millet_Weighted_VHI,Peanut_Weighted_VHI,Rice_Weighted_VHI,Sorghum_Weighted_VHI,Dakar_VHI_Cumulative,Diourbel_VHI_Cumulative,Fatick_VHI_Cumulative,Kaffrine_VHI_Cumulative,Kaolack_VHI_Cumulative,Kedougou_VHI_Cumulative,Kolda_VHI_Cumulative,Louga_VHI_Cumulative,Matam_VHI_Cumulative,Saint louis_VHI_Cumulative,Sedhiou_VHI_Cumulative,Tambacounda_VHI_Cumulative,Thies_VHI_Cumulative,Ziguinchor_VHI_Cumulative,Corn_Weighted_VHI_Cumulative,Cotton_Weighted_VHI_Cumulative,Millet_Weighted_VHI_Cumulative,Peanut_Weighted_VHI_Cumulative,Rice_Weighted_VHI_Cumulative,Sorghum_Weighted_VHI_Cumulative,Dakar_Rainfall,Diourbel_Rainfall,Fatick_Rainfall,Kaffrine_Rainfall,Kaolack_Rainfall,Kedougou_Rainfall,Kolda_Rainfall,Louga_Rainfall,Matam_Rainfall,Saint louis_Rainfall,Sedhiou_Rainfall,Tambacounda_Rainfall,Thies_Rainfall,Ziguinchor_Rainfall,Corn_Weighted_Rainfall,Cotton_Weighted_Rainfall,Millet_Weighted_Rainfall,Peanut_Weighted_Rainfall,Rice_Weighted_Rainfall,Sorghum_Weighted_Rainfall,Dakar_Temperature,Diourbel_Temperature,Fatick_Temperature,Kaffrine_Temperature,Kaolack_Temperature,Kedougou_Temperature,Kolda_Temperature,Louga_Temperature,Matam_Temperature,Saint louis_Temperature,Sedhiou_Temperature,Tambacounda_Temperature,Thies_Temperature,Ziguinchor_Temperature,Corn_Weighted_Temperature,Cotton_Weighted_Temperature,Millet_Weighted_Temperature,Peanut_Weighted_Temperature,Rice_Weighted_Temperature,Sorghum_Weighted_Temperature
Peanut,646394.0,1996,0.38,0.397,0.4096666666666667,0.3736666666666666,0.363,0.6920000000000001,0.4676666666666667,0.42,0.3653333333333333,0.3349999999999999,0.3796666666666666,0.4676666666666667,0.4393333333333333,0.4906666666666666,0.4210222230873333,0.4745,0.4020726666666667,0.4142728580113333,0.41647,0.4146733333333334,5.894,4.951,5.394,5.18,5.027,7.837,7.188,4.964,5.061,4.176,5.446,6.292,5.469,6.899,5.927011122318,6.86351,5.446904,5.669940011504,5.885509999999999,5.768489999999999,3.411,14.606000000000002,15.815,18.635,13.784,73.894,17.761,16.607999999999997,9.936,12.972,16.736,16.234,9.795,15.185,16.786417816676,20.74091,15.939206,16.69920432764,16.19009,17.40539,21.44633148,29.615380296,29.373926586,29.373926586,29.373926586,32.698493887999994,31.400319284,23.59904338,31.655750836,23.59904338,31.400319284,30.859799778000003,29.615380296,26.40593993,30.18819266213762,31.22149632186,29.512647558568,29.23910920314322,28.6210255572,29.86679400004
Corn,88634.0,1996,0.38,0.397,0.4096666666666667,0.3736666666666666,0.363,0.6920000000000001,0.4676666666666667,0.42,0.3653333333333333,0.3349999999999999,0.3796666666666666,0.4676666666666667,0.4393333333333333,0.4906666666666666,0.4210222230873333,0.4745,0.4020726666666667,0.4142728580113333,0.41647,0.4146733333333334,5.894,4.951,5.394,5.18,5.027,7.837,7.188,4.964,5.061,4.176,5.446,6.292,5.469,6.899,5.927011122318,6.86351,5.446904,5.669940011504,5.885509999999999,5.768489999999999,3.411,14.606000000000002,15.815,18.635,13.784,73.894,17.761,16.607999999999997,9.936,12.972,16.736,16.234,9.795,15.185,16.786417816676,20.74091,15.939206,16.69920432764,16.19009,17.40539,21.44633148,29.615380296,29.373926586,29.373926586,29.373926586,32.698493887999994,31.400319284,23.59904338,31.655750836,23.59904338,31.400319284,30.859799778000003,29.615380296,26.40593993,30.18819266213762,31.22149632186,29.512647558568,29.23910920314322,28.6210255572,29.86679400004
Millet,601359.0,1996,0.38,0.397,0.4096666666666667,0.3736666666666666,0.363,0.6920000000000001,0.4676666666666667,0.42,0.3653333333333333,0.3349999999999999,0.3796666666666666,0.4676666666666667,0.4393333333333333,0.4906666666666666,0.4210222230873333,0.4745,0.4020726666666667,0.4142728580113333,0.41647,0.4146733333333334,5.894,4.951,5.394,5.18,5.027,7.837,7.188,4.964,5.061,4.176,5.446,6.292,5.469,6.899,5.927011122318,6.86351,5.446904,5.669940011504,5.885509999999999,5.768489999999999,3.411,14.606000000000002,15.815,18.635,13.784,73.894,17.761,16.607999999999997,9.936,12.972,16.736,16.234,9.795,15.185,16.786417816676,20.74091,15.939206,16.69920432764,16.19009,17.40539,21.44633148,29.615380296,29.373926586,29.373926586,29.373926586,32.698493887999994,31.400319284,23.59904338,31.655750836,23.59904338,31.400319284,30.859799778000003,29.615380296,26.40593993,30.18819266213762,31.22149632186,29.512647558568,29.23910920314322,28.6210255572,29.86679400004
Rice,148780.0,1996,0.38,0.397,0.4096666666666667,0.3736666666666666,0.363,0.6920000000000001,0.4676666666666667,0.42,0.3653333333333333,0.3349999999999999,0.3796666666666666,0.4676666666666667,0.4393333333333333,0.4906666666666666,0.4210222230873333,0.4745,0.4020726666666667,0.4142728580113333,0.41647,0.4146733333333334,5.894,4.951,5.394,5.18,5.027,7.837,7.188,4.964,5.061,4.176,5.446,6.292,5.469,6.899,5.927011122318,6.86351,5.446904,5.669940011504,5.885509999999999,5.768489999999999,3.411,14.606000000000002,15.815,18.635,13.784,73.894,17.761,16.607999999999997,9.936,12.972,16.736,16.234,9.795,15.185,16.786417816676,20.74091,15.939206,16.69920432764,16.19009,17.40539,21.44633148,29.615380296,29.373926586,29.373926586,29.373926586,32.698493887999994,31.400319284,23.59904338,31.655750836,23.59904338,31.400319284,30.859799778000003,29.615380296,26.40593993,30.18819266213762,31.22149632186,29.512647558568,29.23910920314322,28.6210255572,29.86679400004
Sorghum,133009.0,1996,0.38,0.397,0.4096666666666667,0.3736666666666666,0.363,0.6920000000000001,0.4676666666666667,0.42,0.3653333333333333,0.3349999999999999,0.3796666666666666,0.4676666666666667,0.4393333333333333,0.4906666666666666,0.4210222230873333,0.4745,0.4020726666666667,0.4142728580113333,0.41647,0.4146733333333334,5.894,4.951,5.394,5.18,5.027,7.837,7.188,4.964,5.061,4.176,5.446,6.292,5.469,6.899,5.927011122318,6.86351,5.446904,5.669940011504,5.885509999999999,5.768489999999999,3.411,14.606000000000002,15.815,18.635,13.784,73.894,17.761,16.607999999999997,9.936,12.972,16.736,16.234,9.795,15.185,16.786417816676,20.74091,15.939206,16.69920432764,16.19009,17.40539,21.44633148,29.615380296,29.373926586,29.373926586,29.373926586,32.698493887999994,31.400319284,23.59904338,31.655750836,23.59904338,31.400319284,30.859799778000003,29.615380296,26.40593993,30.18819266213762,31.22149632186,29.512647558568,29.23910920314322,28.6210255572,29.86679400004
Peanut,544825.0,1997,0.432,0.5153333333333333,0.5653333333333334,0.625,0.6166666666666667,0.955,0.9073333333333332,0.5579999999999999,0.6013333333333333,0.4746666666666666,0.7896666666666667,0.8126666666666668,0.475,0.5630000000000001,0.7368692604146667,0.8683266666666667,0.636722,0.6605752393326668,0.6984666666666667,0.7100366666666668,6.699,6.113,6.381,6.415,6.437,9.564,8.201,6.705,6.332,6.064,7.46,8.105,6.444,6.768,7.342803346912002,8.14443,6.742664000000001,6.925380014,7.188180000000001,7.175170000000001,15.897,14.76,13.573,32.204,22.14,140.118,82.328,23.448,29.636,14.018,54.629000000000005,54.187,13.806,21.757,48.608491179032,75.37508,31.353172,37.37143008309001,46.04858,45.21146,22.385660522,30.12568205,29.681089096,29.681089096,29.681089096,31.411241002000004,31.06080825,24.817623656,31.144453932,24.817623656,31.06080825,31.171367128,30.12568205,27.665933948,30.22983559190777,31.02669078538,29.79281544882,29.518121680700403,28.94029670228,30.02166148552
Corn,80281.0,1997,0.432,0.5153333333333333,0.5653333333333334,0.625,0.6166666666666667,0.955,0.9073333333333332,0.5579999999999999,0.6013333333333333,0.4746666666666666,0.7896666666666667,0.8126666666666668,0.475,0.5630000000000001,0.7368692604146667,0.8683266666666667,0.636722,0.6605752393326668,0.6984666666666667,0.7100366666666668,6.699,6.113,6.381,6.415,6.437,9.564,8.201,6.705,6.332,6.064,7.46,8.105,6.444,6.768,7.342803346912002,8.14443,6.742664000000001,6.925380014,7.188180000000001,7.175170000000001,15.897,14.76,13.573,32.204,22.14,140.118,82.328,23.448,29.636,14.018,54.629000000000005,54.187,13.806,21.757,48.608491179032,75.37508,31.353172,37.37143008309001,46.04858,45.21146,22.385660522,30.12568205,29.681089096,29.681089096,29.681089096,31.411241002000004,31.06080825,24.817623656,31.144453932,24.817623656,31.06080825,31.171367128,30.12568205,27.665933948,30.22983559190777,31.02669078538,29.79281544882,29.518121680700403,28.94029670228,30.02166148552
Millet,426481.0,1997,0.432,0.5153333333333333,0.5653333333333334,0.625,0.6166666666666667,0.955,0.9073333333333332,0.5579999999999999,0.6013333333333333,0.4746666666666666,0.7896666666666667,0.8126666666666668,0.475,0.5630000000000001,0.7368692604146667,0.8683266666666667,0.636722,0.6605752393326668,0.6984666666666667,0.7100366666666668,6.699,6.113,6.381,6.415,6.437,9.564,8.201,6.705,6.332,6.064,7.46,8.105,6.444,6.768,7.342803346912002,8.14443,6.742664000000001,6.925380014,7.188180000000001,7.175170000000001,15.897,14.76,13.573,32.204,22.14,140.118,82.328,23.448,29.636,14.018,54.629000000000005,54.187,13.806,21.757,48.608491179032,75.37508,31.353172,37.37143008309001,46.04858,45.21146,22.385660522,30.12568205,29.681089096,29.681089096,29.681089096,31.411241002000004,31.06080825,24.817623656,31.144453932,24.817623656,31.06080825,31.171367128,30.12568205,27.665933948,30.22983559190777,31.02669078538,29.79281544882,29.518121680700403,28.94029670228,30.02166148552
Rice,173702.0,1997,0.432,0.5153333333333333,0.5653333333333334,0.625,0.6166666666666667,0.955,0.9073333333333332,0.5579999999999999,0.6013333333333333,0.4746666666666666,0.7896666666666667,0.8126666666666668,0.475,0.5630000000000001,0.7368692604146667,0.8683266666666667,0.636722,0.6605752393326668,0.6984666666666667,0.7100366666666668,6.699,6.113,6.381,6.415,6.437,9.564,8.201,6.705,6.332,6.064,7.46,8.105,6.444,6.768,7.342803346912002,8.14443,6.742664000000001,6.925380014,7.188180000000001,7.175170000000001,15.897,14.76,13.573,32.204,22.14,140.118,82.328,23.448,29.636,14.018,54.629000000000005,54.187,13.806,21.757,48.608491179032,75.37508,31.353172,37.37143008309001,46.04858,45.21146,22.385660522,30.12568205,29.681089096,29.681089096,29.681089096,31.411241002000004,31.06080825,24.817623656,31.144453932,24.817623656,31.06080825,31.171367128,30.12568205,27.665933948,30.22983559190777,31.02669078538,29.79281544882,29.518121680700403,28.94029670228,30.02166148552
Sorghum,118297.0,1997,0.432,0.5153333333333333,0.5653333333333334,0.625,0.6166666666666667,0.955,0.9073333333333332,0.5579999999999999,0.6013333333333333,0.4746666666666666,0.7896666666666667,0.8126666666666668,0.475,0.5630000000000001,0.7368692604146667,0.8683266666666667,0.636722,0.6605752393326668,0.6984666666666667,0.7100366666666668,6.699,6.113,6.381,6.415,6.437,9.564,8.201,6.705,6.332,6.064,7.46,8.105,6.444,6.768,7.342803346912002,8.14443,6.742664000000001,6.925380014,7.188180000000001,7.175170000000001,15.897,14.76,13.573,32.204,22.14,140.118,82.328,23.448,29.636,14.018,54.629000000000005,54.187,13.806,21.757,48.608491179032,75.37508,31.353172,37.37143008309001,46.04858,45.21146,22.385660522,30.12568205,29.681089096,29.681089096,29.681089096,31.411241002000004,31.06080825,24.817623656,31.144453932,24.817623656,31.06080825,31.171367128,30.12568205,27.665933948,30.22983559190777,31.02669078538,29.79281544882,29.518121680700403,28.94029670228,30.02166148552
