Crop,Production,Year,Dakar_VHI,Diourbel_VHI,Fatick_VHI,Kaffrine_VHI,Kaolack_VHI,Kedougou_VHI,Kolda_VHI,Louga_VHI,Matam_VHI,Saint louis_VHI,Sedhiou_VHI,Tambacounda_VHI,Thies_VHI,Ziguinchor_VHI,Corn_Weighted_VHI,Cotton_Weighted_VHI,Millet_Weighted_VHI,Peanut_Weighted_VHI,Rice_Weighted_VHI,Sorghum_Weighted_VHI,Dakar_VHI_Cumulative,Diourbel_VHI_Cumulative,Fatick_VHI_Cumulative,Kaffrine_VHI_Cumulative,Kaolack_VHI_Cumulative,Kedougou_VHI_Cumulative,Kolda_VHI_Cumulative,Louga_VHI_Cumulative,Matam_VHI_Cumulative,Saint louis_VHI_Cumulative,Sedhiou_VHI_Cumulative,Tambacounda_VHI_Cumulative,Thies_VHI_Cumulative,Ziguinchor_VHI_Cumulative,Corn_Weighted_VHI_Cumulative,Cotton_Weighted_VHI_Cumulative,Millet_Weighted_VHI_Cumulative,Peanut_Weighted_VHI_Cumulative,Rice_Weighted_VHI_Cumulative,Sorghum_Weighted_VHI_Cumulative,Dakar_Rainfall,Diourbel_Rainfall,Fatick_Rainfall,Kaffrine_Rainfall,Kaolack_Rainfall,Kedougou_Rainfall,Kolda_Rainfall,Louga_Rainfall,Matam_Rainfall,Saint louis_Rainfall,Sedhiou_Rainfall,Tambacounda_Rainfall,Thies_Rainfall,Ziguinchor_Rainfall,Corn_Weighted_Rainfall,Cotton_Weighted_Rainfall,Millet_Weighted_Rainfall,Peanut_Weighted_Rainfall,Rice_Weighted_Rainfall,Sorghum_Weighted_Rainfall,Dakar_Temperature,Diourbel_Temperature,Fatick_Temperature,Kaffrine_Temperature,Kaolack_Temperature,Kedougou_Temperature,Kolda_Temperature,Louga_Temperature,Matam_Temperature,Saint louis_Temperature,Sedhiou_Temperature,Tambacounda_Temperature,Thies_Temperature,Ziguinchor_Temperature,Corn_Weighted_Temperature,Cotton_Weighted_Temperature,Millet_Weighted_Temperature,Peanut_Weighted_Temperature,Rice_Weighted_Temperature,Sorghum_Weighted_Temperature
Peanut,646394.0,1996,0.3699999999999999,0.3796666666666666,0.3393333333333333,0.3823333333333333,0.371,0.5219999999999999,0.492,0.3896666666666666,0.4043333333333334,0.3356666666666666,0.3323333333333333,0.426,0.3653333333333333,0.4186666666666667,0.3999685193113333,0.46901,0.3792713333333333,0.397496667456,0.3962533333333333,0.4001333333333333,4.754,3.76,4.165,4.059,3.938,5.761,5.785,3.704,3.965,3.171,4.307,4.889,4.151,5.427,4.663944453056001,5.44001,4.240686000000001,4.42712143747,4.6361,4.52447,3.411,11.597,14.055,13.608,12.424,14.896,13.642,13.666999999999998,6.913,11.048,11.949,11.398,9.743,12.311,12.386343354932,13.12543,12.750478,12.71027287775,12.18803,12.39487,20.9611401575,29.048535715,28.8924082325,28.8924082325,28.8924082325,32.5632959325,30.684019795,23.1673526125,30.4188820925,23.1673526125,30.684019795,30.11829811,29.048535715,25.9969410425,29.559915085225438,30.54784924825,28.967076957875,28.68789960013648,28.032051085275,29.267116149575003
Corn,88634.0,1996,0.3699999999999999,0.3796666666666666,0.3393333333333333,0.3823333333333333,0.371,0.5219999999999999,0.492,0.3896666666666666,0.4043333333333334,0.3356666666666666,0.3323333333333333,0.426,0.3653333333333333,0.4186666666666667,0.3999685193113333,0.46901,0.3792713333333333,0.397496667456,0.3962533333333333,0.4001333333333333,4.754,3.76,4.165,4.059,3.938,5.761,5.785,3.704,3.965,3.171,4.307,4.889,4.151,5.427,4.663944453056001,5.44001,4.240686000000001,4.42712143747,4.6361,4.52447,3.411,11.597,14.055,13.608,12.424,14.896,13.642,13.666999999999998,6.913,11.048,11.949,11.398,9.743,12.311,12.386343354932,13.12543,12.750478,12.71027287775,12.18803,12.39487,20.9611401575,29.048535715,28.8924082325,28.8924082325,28.8924082325,32.5632959325,30.684019795,23.1673526125,30.4188820925,23.1673526125,30.684019795,30.11829811,29.048535715,25.9969410425,29.559915085225438,30.54784924825,28.967076957875,28.68789960013648,28.032051085275,29.267116149575003
Millet,601359.0,1996,0.3699999999999999,0.3796666666666666,0.3393333333333333,0.3823333333333333,0.371,0.5219999999999999,0.492,0.3896666666666666,0.4043333333333334,0.3356666666666666,0.3323333333333333,0.426,0.3653333333333333,0.4186666666666667,0.3999685193113333,0.46901,0.3792713333333333,0.397496667456,0.3962533333333333,0.4001333333333333,4.754,3.76,4.165,4.059,3.938,5.761,5.785,3.704,3.965,3.171,4.307,4.889,4.151,5.427,4.663944453056001,5.44001,4.240686000000001,4.42712143747,4.6361,4.52447,3.411,11.597,14.055,13.608,12.424,14.896,13.642,13.666999999999998,6.913,11.048,11.949,11.398,9.743,12.311,12.386343354932,13.12543,12.750478,12.71027287775,12.18803,12.39487,20.9611401575,29.048535715,28.8924082325,28.8924082325,28.8924082325,32.5632959325,30.684019795,23.1673526125,30.4188820925,23.1673526125,30.684019795,30.11829811,29.048535715,25.9969410425,29.559915085225438,30.54784924825,28.967076957875,28.68789960013648,28.032051085275,29.267116149575003
Rice,148780.0,1996,0.3699999999999999,0.3796666666666666,0.3393333333333333,0.3823333333333333,0.371,0.5219999999999999,0.492,0.3896666666666666,0.4043333333333334,0.3356666666666666,0.3323333333333333,0.426,0.3653333333333333,0.4186666666666667,0.3999685193113333,0.46901,0.3792713333333333,0.397496667456,0.3962533333333333,0.4001333333333333,4.754,3.76,4.165,4.059,3.938,5.761,5.785,3.704,3.965,3.171,4.307,4.889,4.151,5.427,4.663944453056001,5.44001,4.240686000000001,4.42712143747,4.6361,4.52447,3.411,11.597,14.055,13.608,12.424,14.896,13.642,13.666999999999998,6.913,11.048,11.949,11.398,9.743,12.311,12.386343354932,13.12543,12.750478,12.71027287775,12.18803,12.39487,20.9611401575,29.048535715,28.8924082325,28.8924082325,28.8924082325,32.5632959325,30.684019795,23.1673526125,30.4188820925,23.1673526125,30.684019795,30.11829811,29.048535715,25.9969410425,29.559915085225438,30.54784924825,28.967076957875,28.68789960013648,28.032051085275,29.267116149575003
Sorghum,133009.0,1996,0.3699999999999999,0.3796666666666666,0.3393333333333333,0.3823333333333333,0.371,0.5219999999999999,0.492,0.3896666666666666,0.4043333333333334,0.3356666666666666,0.3323333333333333,0.426,0.3653333333333333,0.4186666666666667,0.3999685193113333,0.46901,0.3792713333333333,0.397496667456,0.3962533333333333,0.4001333333333333,4.754,3.76,4.165,4.059,3.938,5.761,5.785,3.704,3.965,3.171,4.307,4.889,4.151,5.427,4.663944453056001,5.44001,4.240686000000001,4.42712143747,4.6361,4.52447,3.411,11.597,14.055,13.608,12.424,14.896,13.642,13.666999999999998,6.913,11.048,11.949,11.398,9.743,12.311,12.386343354932,13.12543,12.750478,12.71027287775,12.18803,12.39487,20.9611401575,29.048535715,28.8924082325,28.8924082325,28.8924082325,32.5632959325,30.684019795,23.1673526125,30.4188820925,23.1673526125,30.684019795,30.11829811,29.048535715,25.9969410425,29.559915085225438,30.54784924825,28.967076957875,28.68789960013648,28.032051085275,29.267116149575003
Peanut,544825.0,1997,0.4786666666666666,0.3899999999999999,0.4343333333333333,0.3953333333333333,0.4483333333333333,0.7290000000000001,0.5599999999999999,0.4546666666666666,0.43,0.419,0.5023333333333334,0.5363333333333333,0.44,0.4703333333333333,0.499571112046,0.5542966666666667,0.4482939999999999,0.4643357152626666,0.4915833333333333,0.4775033333333333,5.4030000000000005,4.567,4.685,4.54,4.587,6.699,5.479,5.031,4.5280000000000005,4.64,5.091,5.667,5.019,5.079,5.132195565668001,5.53945,4.832498,4.943654296002,5.09278,5.04506,12.122,12.473,10.821,23.273,17.981,32.306,42.72,13.308,18.25,11.66,37.507,18.595,9.972,15.874,27.158800033164,34.79204,20.228084000000003,21.753687182912,27.7072,25.20967,22.123204685,29.4513333325,29.308619435,29.308619435,29.308619435,31.386465045,30.4825320525,24.6228360225,29.860197045,24.6228360225,30.4825320525,30.6070660525,29.4513333325,27.2735464675,29.72697238779453,30.497466775000003,29.338916469030003,29.07768543401789,28.48599096525,29.544506822325
Corn,80281.0,1997,0.4786666666666666,0.3899999999999999,0.4343333333333333,0.3953333333333333,0.4483333333333333,0.7290000000000001,0.5599999999999999,0.4546666666666666,0.43,0.419,0.5023333333333334,0.5363333333333333,0.44,0.4703333333333333,0.499571112046,0.5542966666666667,0.4482939999999999,0.4643357152626666,0.4915833333333333,0.4775033333333333,5.4030000000000005,4.567,4.685,4.54,4.587,6.699,5.479,5.031,4.5280000000000005,4.64,5.091,5.667,5.019,5.079,5.132195565668001,5.53945,4.832498,4.943654296002,5.09278,5.04506,12.122,12.473,10.821,23.273,17.981,32.306,42.72,13.308,18.25,11.66,37.507,18.595,9.972,15.874,27.158800033164,34.79204,20.228084000000003,21.753687182912,27.7072,25.20967,22.123204685,29.4513333325,29.308619435,29.308619435,29.308619435,31.386465045,30.4825320525,24.6228360225,29.860197045,24.6228360225,30.4825320525,30.6070660525,29.4513333325,27.2735464675,29.72697238779453,30.497466775000003,29.338916469030003,29.07768543401789,28.48599096525,29.544506822325
Millet,426481.0,1997,0.4786666666666666,0.3899999999999999,0.4343333333333333,0.3953333333333333,0.4483333333333333,0.7290000000000001,0.5599999999999999,0.4546666666666666,0.43,0.419,0.5023333333333334,0.5363333333333333,0.44,0.4703333333333333,0.499571112046,0.5542966666666667,0.4482939999999999,0.4643357152626666,0.4915833333333333,0.4775033333333333,5.4030000000000005,4.567,4.685,4.54,4.587,6.699,5.479,5.031,4.5280000000000005,4.64,5.091,5.667,5.019,5.079,5.132195565668001,5.53945,4.832498,4.943654296002,5.09278,5.04506,12.122,12.473,10.821,23.273,17.981,32.306,42.72,13.308,18.25,11.66,37.507,18.595,9.972,15.874,27.158800033164,34.79204,20.228084000000003,21.753687182912,27.7072,25.20967,22.123204685,29.4513333325,29.308619435,29.308619435,29.308619435,31.386465045,30.4825320525,24.6228360225,29.860197045,24.6228360225,30.4825320525,30.6070660525,29.4513333325,27.2735464675,29.72697238779453,30.497466775000003,29.338916469030003,29.07768543401789,28.48599096525,29.544506822325
Rice,173702.0,1997,0.4786666666666666,0.3899999999999999,0.4343333333333333,0.3953333333333333,0.4483333333333333,0.7290000000000001,0.5599999999999999,0.4546666666666666,0.43,0.419,0.5023333333333334,0.5363333333333333,0.44,0.4703333333333333,0.499571112046,0.5542966666666667,0.4482939999999999,0.4643357152626666,0.4915833333333333,0.4775033333333333,5.4030000000000005,4.567,4.685,4.54,4.587,6.699,5.479,5.031,4.5280000000000005,4.64,5.091,5.667,5.019,5.079,5.132195565668001,5.53945,4.832498,4.943654296002,5.09278,5.04506,12.122,12.473,10.821,23.273,17.981,32.306,42.72,13.308,18.25,11.66,37.507,18.595,9.972,15.874,27.158800033164,34.79204,20.228084000000003,21.753687182912,27.7072,25.20967,22.123204685,29.4513333325,29.308619435,29.308619435,29.308619435,31.386465045,30.4825320525,24.6228360225,29.860197045,24.6228360225,30.4825320525,30.6070660525,29.4513333325,27.2735464675,29.72697238779453,30.497466775000003,29.338916469030003,29.07768543401789,28.48599096525,29.544506822325
Sorghum,118297.0,1997,0.4786666666666666,0.3899999999999999,0.4343333333333333,0.3953333333333333,0.4483333333333333,0.7290000000000001,0.5599999999999999,0.4546666666666666,0.43,0.419,0.5023333333333334,0.5363333333333333,0.44,0.4703333333333333,0.499571112046,0.5542966666666667,0.4482939999999999,0.4643357152626666,0.4915833333333333,0.4775033333333333,5.4030000000000005,4.567,4.685,4.54,4.587,6.699,5.479,5.031,4.5280000000000005,4.64,5.091,5.667,5.019,5.079,5.132195565668001,5.53945,4.832498,4.943654296002,5.09278,5.04506,12.122,12.473,10.821,23.273,17.981,32.306,42.72,13.308,18.25,11.66,37.507,18.595,9.972,15.874,27.158800033164,34.79204,20.228084000000003,21.753687182912,27.7072,25.20967,22.123204685,29.4513333325,29.308619435,29.308619435,29.308619435,31.386465045,30.4825320525,24.6228360225,29.860197045,24.6228360225,30.4825320525,30.6070660525,29.4513333325,27.2735464675,29.72697238779453,30.497466775000003,29.338916469030003,29.07768543401789,28.48599096525,29.544506822325
