Year,Dakar_Rainfall,Diourbel_Rainfall,Fatick_Rainfall,Kaffrine_Rainfall,Kaolack_Rainfall,Kedougou_Rainfall,Kolda_Rainfall,Louga_Rainfall,Matam_Rainfall,Saint louis_Rainfall,Sedhiou_Rainfall,Tambacounda_Rainfall,Thies_Rainfall,Ziguinchor_Rainfall,Corn_Weighted_Rainfall,Cotton_Weighted_Rainfall,Millet_Weighted_Rainfall,Peanut_Weighted_Rainfall,Rice_Weighted_Rainfall,Sorghum_Weighted_Rainfall
1996,1.763,6.536,10.802,2.15,4.582,0.98,4.004,3.319,1.445,2.269,7.714,3.625,4.169,7.2540000000000004,5.39675889553,3.67799,5.311332,4.495727150846,5.06311,4.0534300000000005
1997,0.44000000000000006,1.8929999999999998,6.438,18.218,15.631,2.362,30.391000000000002,7.189,11.511999999999999,10.328999999999999,32.171,12.508,2.2030000000000003,10.745,19.974167792197996,23.500059999999998,14.344356000000001,15.052298591272,21.02384,18.385550000000002
1998,17.292,3.9130000000000003,6.034,20.343999999999998,12.905,1.867,3.0300000000000002,12.718,17.459,13.318,6.476999999999999,11.653,13.129999999999999,5.42,8.145322245658,6.114890000000001,11.360702,11.496351447356,7.40766,11.809529999999999
1999,0.016,0.01,1.121,4.622000000000001,4.292,6.014000000000001,3.633,4.308999999999999,1.814,3.3920000000000003,4.708,4.939,1.416,5.608,3.785063339378,4.16915,3.2782980000000004,3.552381434732,4.08696,4.1444600000000005
2000,0.827,4.6240000000000006,4.917,6.428,3.465,1.154,1.2489999999999999,6.082000000000001,4.97,3.23,3.3,4.909,3.991,2.91,3.285314452048001,2.45992,4.549602,4.22524572029,2.7520999999999995,4.15741
2001,0.0,0.35,0.434,1.3820000000000001,1.056,0.133,0.671,1.802,0.752,0.788,0.31,0.781,0.863,0.132,0.6502877791559999,0.70201,0.8775300000000001,0.9309057149900001,0.5286800000000001,0.8542800000000002
2002,30.364,55.562,35.833,40.929,37.077,5.746,6.72,71.679,29.649999999999995,71.343,6.09,11.305,50.885000000000005,4.958,20.296810080248,9.815529999999999,35.327242,33.655444343918,23.515939999999997,25.561960000000003
2003,0.0,0.5,0.086,1.4969999999999999,2.041,8.423,3.192,0.957,1.046,0.471,0.113,0.777,0.334,0.0,1.461144447384,2.77506,1.1268200000000002,1.509472860158,1.15032,1.47565
2004,0.0,7.448,4.059,6.529,4.183,6.625,15.688,7.64,6.627000000000001,4.454,9.292,13.106,1.926,2.415,9.271648898592,13.86176,6.784012000000001,7.501144296246001,8.506469999999998,8.77073
2005,5.703,9.028,8.135,14.543000000000001,13.857000000000001,60.826,7.093999999999999,10.100000000000001,14.35,9.411000000000001,5.626,10.716,5.082,2.721,9.650191140392,11.648819999999999,10.416412000000001,11.147278602190003,7.351060000000001,11.429770000000001
