Year,Dakar_Rainfall,Diourbel_Rainfall,Fatick_Rainfall,Kaffrine_Rainfall,Kaolack_Rainfall,Kedougou_Rainfall,Kolda_Rainfall,Louga_Rainfall,Matam_Rainfall,Saint louis_Rainfall,Sedhiou_Rainfall,Tambacounda_Rainfall,Thies_Rainfall,Ziguinchor_Rainfall,Corn_Weighted_Rainfall,Cotton_Weighted_Rainfall,Millet_Weighted_Rainfall,Peanut_Weighted_Rainfall,Rice_Weighted_Rainfall,Sorghum_Weighted_Rainfall
1995,430.125,403.533,416.412,282.378,335.388,687.969,478.979,334.833,277.295,216.24200000000002,528.934,356.959,417.61899999999997,698.229,434.374126388494,450.24699,378.63196,379.94930378352205,460.27282,389.24739999999997
1996,392.86,380.78,422.15000000000003,419.165,434.735,890.466,592.881,332.454,320.553,240.639,718.806,450.955,392.541,773.944,537.297930920756,566.24659,453.862314,457.16332963372804,560.91758,498.77076999999997
1997,314.367,364.92499999999995,498.036,494.049,620.806,1117.786,814.872,254.515,297.24,186.184,975.793,516.497,344.892,988.976,694.3262520806521,742.0804899999999,548.520696,552.454432641506,711.3914600000002,620.9682
1998,377.324,367.319,418.603,463.39,487.984,1034.122,745.077,351.822,370.51,281.743,825.064,579.222,370.812,844.282,626.6309476580719,705.1005399999999,499.15463200000005,515.3073126001041,652.7164500000001,579.97799
1999,522.172,558.397,679.134,694.407,774.081,1041.246,890.861,421.59499999999997,447.06,285.44,1178.626,691.55,526.704,1378.436,847.4385301945458,841.9434999999999,722.515218,712.6567858318219,882.0989900000001,787.3124399999999
2000,456.46,346.943,486.681,400.459,549.0740000000001,648.232,439.276,273.761,361.484,200.72,744.457,396.964,423.287,922.717,521.6041464520139,443.44429999999994,463.092716,445.5704710517181,539.94534,477.07786999999996
2001,317.59,343.174,382.62800000000004,388.587,421.759,627.309,425.727,232.802,283.731,182.979,545.874,352.034,332.505,581.7479999999999,426.81312517565,418.70345999999995,390.829004,382.70504653783,421.57104,407.78388
2002,260.082,322.821,382.591,408.95,429.073,617.903,395.118,277.609,275.188,230.609,474.686,339.827,310.489,529.161,403.072884051736,396.48918000000003,386.693426,381.5604664887,396.99843,396.40156
2003,294.76,386.135,469.933,630.459,584.995,1200.417,1015.734,353.958,526.346,279.881,962.998,795.277,347.926,887.392,777.224677757172,947.6022300000001,608.146912,639.8674641536941,774.45628,735.95068
2004,236.725,428.961,449.143,582.096,560.836,836.1379999999999,714.276,330.459,372.595,166.743,767.237,621.459,302.629,744.654,619.1126297779999,690.7696799999999,535.74441,538.958601015158,587.7022800000001,602.9281000000001
2005,674.396,683.323,770.587,812.072,887.679,970.442,1005.788,485.824,571.768,289.802,1258.671,752.373,631.648,1225.195,935.39643918766,931.9754300000001,823.9288160000001,807.871875906742,918.41927,877.2419500000002
2006,427.096,499.12100000000004,581.869,559.076,662.468,820.5799999999999,748.605,378.44800000000004,352.048,280.043,924.486,534.352,461.272,1089.005,693.9737166370421,690.78124,601.927354,594.265359826394,721.85841,639.33465
2007,297.518,386.809,442.365,462.097,493.25100000000003,727.644,643.9929999999999,355.421,425.06,281.775,742.895,504.13399999999996,355.245,777.281,571.5954620153,604.4341099999999,484.313086,488.40946389685195,590.45276,534.26327
2008,568.216,570.8530000000001,685.398,722.684,771.203,976.324,899.924,414.619,467.48400000000004,255.485,1227.99,713.025,528.389,1436.556,864.09603576458,850.9146999999999,736.3659700000001,723.3025201436881,900.2145900000002,806.6382
2009,550.635,548.094,729.539,755.896,844.643,1064.642,969.475,470.67699999999996,571.371,343.204,1044.08,809.832,539.876,1202.892,872.813065788286,924.09305,762.546298,768.4553943785479,859.5979,828.6853800000001
2010,583.631,618.068,646.1510000000001,524.838,579.809,1218.497,753.632,565.954,555.794,482.218,888.513,669.259,588.447,1046.429,721.7831947075279,748.6015299999999,627.727858,632.6180215409,764.62997,668.6661700000001
2011,329.49399999999997,421.355,420.93600000000004,441.90999999999997,420.139,1062.964,580.2330000000001,351.793,376.593,245.475,727.992,494.898,348.568,830.203,544.15757653519,580.8236100000001,459.64129799999995,463.55245256973603,572.1843900000001,514.66608
2012,597.985,620.286,636.146,459.79699999999997,542.8870000000001,1177.227,723.481,491.283,511.86,341.61400000000003,949.583,577.676,626.345,1136.696,704.632813547354,701.5253899999999,601.249724,595.702910095786,752.1769800000001,632.22649
2013,503.83,528.141,597.5169999999999,519.912,580.398,1173.8519999999999,703.5409999999999,427.321,418.03000000000003,267.822,739.972,623.459,526.513,1039.721,654.000424534476,701.6905899999999,580.14855,586.810452763248,659.2149999999999,616.3913799999999
2014,228.11800000000002,383.56800000000004,410.345,425.98199999999997,484.176,994.244,634.876,304.60200000000003,342.122,169.057,785.525,525.009,311.438,976.764,577.6113431413099,618.52612,466.85425,471.497629679828,605.3685899999999,533.0210199999999
2015,628.622,591.521,693.065,580.177,716.005,1368.28,921.158,420.47900000000004,471.53,309.863,1108.433,692.778,580.95,1336.017,839.5539847305421,873.6624900000002,693.8222139999999,695.901318804076,875.1875600000001,757.65536
2016,396.979,442.221,515.868,497.214,500.341,1204.009,723.46,359.24,518.865,254.049,869.889,591.181,420.729,940.639,654.29433667421,707.14399,539.413672,546.766687036186,673.66594,607.47047
