Year,Dakar_Rainfall,Diourbel_Rainfall,Fatick_Rainfall,Kaffrine_Rainfall,Kaolack_Rainfall,Kedougou_Rainfall,Kolda_Rainfall,Louga_Rainfall,Matam_Rainfall,Saint louis_Rainfall,Sedhiou_Rainfall,Tambacounda_Rainfall,Thies_Rainfall,Ziguinchor_Rainfall,Corn_Weighted_Rainfall,Cotton_Weighted_Rainfall,Millet_Weighted_Rainfall,Peanut_Weighted_Rainfall,Rice_Weighted_Rainfall,Sorghum_Weighted_Rainfall
1995,430.125,400.007,409.78499999999997,277.636,329.002,687.969,475.75600000000003,332.29200000000003,274.806,214.971,524.825,355.457,416.413,696.16,430.540769717862,447.53118000000006,374.16799199999997,375.934326636818,457.47451000000007,385.64448000000004
1996,392.86,374.109,409.769,415.534,428.706,889.871,589.0179999999999,330.423,311.811,233.832,710.5840000000001,448.483,389.771,768.314,531.46449980145,562.87377,447.885176,452.08830390896594,554.96751,494.18243000000007
1997,313.919,363.74899999999997,490.973,483.825,610.054,1102.908,813.745,251.351,294.01,184.62,974.304,509.681,343.115,985.78,689.725368738506,738.1514599999999,542.129964,546.21966977694,709.2642,614.87598
1998,374.77,367.30899999999997,418.494,463.35900000000004,487.984,1033.271,744.569,351.669,370.51,281.33299999999997,824.793,579.221,369.585,843.478,626.333709878952,704.7300099999999,498.949754,515.024762598704,652.24334,579.73597
1999,504.602,555.921,676.119,693.049,773.001,1031.473,887.026,417.346,444.736,280.887,1165.709,690.49,519.023,1360.68,841.989193512826,838.5065500000001,718.979416,709.141680098288,873.4858100000001,783.0179599999999
2000,448.479,343.419,480.717,387.43600000000004,531.902,641.842,432.062,268.471,352.347,191.359,725.866,384.641,417.093,895.235,509.4515308768181,434.49869000000007,452.34520399999997,435.1126267424421,526.02329,464.58267000000006
2001,311.96,333.635,375.04,383.034,416.981,617.935,423.902,228.10399999999998,279.903,179.848,544.854,348.125,325.78700000000003,581.386,423.261332942576,415.69663999999995,385.47463400000004,377.833517957006,419.46040000000005,403.72628
2002,259.98,320.351,379.157,407.238,426.678,617.867,394.21299999999997,276.214,273.42199999999997,230.199,473.552,338.845,309.658,527.467,401.578110716088,395.55953,384.75916,379.866179343668,395.95811000000003,395.00012
2003,294.76,383.629,469.113,627.149,583.109,1185.537,1012.1990000000001,350.986,520.853,278.495,959.81,787.044,347.087,886.227,773.674063305494,942.24324,605.467444,636.8263027169461,771.80412,731.9371
2004,218.099,375.11,414.656,573.9159999999999,547.021,826.8489999999999,708.306,305.233,368.475,159.87,762.8340000000001,615.535,265.456,742.36,607.381410852304,684.4387599999999,516.172556,522.990790986742,581.00362,592.9679
2005,674.396,682.237,770.124,809.421,887.508,970.03,1005.148,482.96799999999996,568.531,286.696,1258.546,750.319,631.1949999999999,1224.286,934.6143980732801,930.9049000000001,822.7535580000001,806.5505816184921,917.2526300000001,875.8220100000001
2006,427.096,498.69100000000003,581.732,558.739,662.468,818.2189999999999,747.956,378.101,351.781,279.45,923.265,534.211,461.212,1088.685,693.4456944137719,690.17289,601.607792,593.939661253482,721.1554699999999,638.87668
2007,297.518,385.43,440.99399999999997,458.158,489.491,724.224,642.7529999999999,353.459,420.714,279.853,740.703,501.39599999999996,354.305,773.341,569.354493121556,602.51914,481.82281,485.905163891938,588.27817,531.50351
2008,568.216,570.758,685.075,722.252,770.6659999999999,976.035,898.3589999999999,413.671,466.338,254.897,1227.1109999999999,712.39,528.325,1436.1390000000001,863.2643379859179,849.73255,735.8248799999999,722.6404715712839,899.33152,805.93244
2009,550.064,544.4,724.869,741.352,832.191,1051.423,947.804,466.57099999999997,564.049,339.501,1019.737,794.861,536.941,1189.258,856.9615035519021,905.0259899999999,751.0133,756.470064359552,843.88004,813.4968299999999
2010,583.631,617.744,645.962,524.337,579.809,1207.153,748.9739999999999,565.792,554.3149999999999,481.982,882.289,667.745,588.447,1045.24,718.871670259698,744.56714,626.5579319999999,631.245637249244,761.41902,666.4722500000001
2011,329.49399999999997,420.526,420.228,440.441,419.207,1060.754,579.931,351.149,374.87,244.826,727.7810000000001,494.576,348.247,828.808,543.61473986647,580.33839,458.838644,462.73929542487406,571.5925400000001,513.88457
2012,597.917,619.702,635.043,458.99699999999996,541.299,1140.796,717.974,490.682,510.658,341.18,942.437,573.678,626.112,1127.862,700.051917980868,694.7983499999999,599.177476,593.005324365872,746.9285900000001,628.41932
