Year,Dakar_Rainfall,Diourbel_Rainfall,Fatick_Rainfall,Kaffrine_Rainfall,Kaolack_Rainfall,Kedougou_Rainfall,Kolda_Rainfall,Louga_Rainfall,Matam_Rainfall,Saint louis_Rainfall,Sedhiou_Rainfall,Tambacounda_Rainfall,Thies_Rainfall,Ziguinchor_Rainfall,Corn_Weighted_Rainfall,Cotton_Weighted_Rainfall,Millet_Weighted_Rainfall,Peanut_Weighted_Rainfall,Rice_Weighted_Rainfall,Sorghum_Weighted_Rainfall
1996,1.763,3.821,9.31,1.663,4.429,0.0,1.077,0.868,0.538,0.159,4.769,1.807,3.485,7.146000000000001,3.480173337654,1.29462,3.951912,3.149417148056,2.9382200000000003,2.55008
1997,0.0,1.6509999999999998,5.045,17.889,15.362,1.276,26.796000000000003,1.442,10.89,0.34800000000000003,26.783,11.85,0.076,9.812,17.329661120752,20.96848,12.716212,13.19888715736,16.231960000000004,16.467450000000003
1998,0.742,0.794,5.585,20.191,12.747,0.41600000000000004,1.943,1.9889999999999999,17.253999999999998,5.749,4.193,10.883000000000001,1.206,4.676,6.3021844562260005,5.12932,9.141794,8.947300009664,4.30387,10.1067
1999,0.016,0.01,0.176,0.089,0.355,0.77,1.723,4.213,0.7150000000000001,1.868,1.016,0.935,1.137,0.552,0.9894077798600001,1.3663699999999999,0.6943220000000001,0.9484385728420001,1.30265,0.80081
2000,0.213,0.292,0.259,4.212,2.378,0.7889999999999999,1.109,0.426,2.0869999999999997,0.681,3.3,3.7409999999999997,0.002,2.91,2.058305558136,1.9375499999999999,2.0282999999999998,1.9630471457919998,1.88384,2.7411999999999996
2001,0.0,0.201,0.109,0.486,0.401,0.0,0.012,0.1,0.671,0.012,0.0,0.262,0.0,0.11,0.14008888924000001,0.10125,0.23289600000000002,0.22524000028399999,0.04578,0.24087
2002,30.296,55.059,35.78,39.373999999999995,36.84,5.746,6.719,70.011,27.117999999999995,69.982,6.045999999999999,9.588000000000001,50.484,4.867,19.875495633986002,9.3051,34.656718,32.916764342604004,23.10335,24.70029
2003,0.0,0.0,0.086,0.25,1.724,8.423,0.321,0.0,0.018,0.077,0.0,0.026999999999999996,0.0,0.0,0.520865557504,0.7408899999999999,0.393156,0.5150942881480001,0.20889000000000002,0.47946
2004,0.0,5.457,3.356,5.737,3.9699999999999998,6.514,15.678,5.123,5.9270000000000005,3.3369999999999997,7.219,12.88,1.909,2.415,8.571358896982,13.729940000000003,5.990596,6.8893342945340015,7.667080000000001,8.08885
2005,0.0,3.756,3.231,7.504,7.626,0.6819999999999999,1.74,2.698,2.456,2.22,0.772,3.883,0.498,0.274,2.9848900044640003,2.5496499999999997,4.4105240000000006,4.19277714576,1.51838,4.127670000000001
2006,14.374,20.332,16.483999999999998,4.952,5.0040000000000004,2.8569999999999998,3.181,20.206,6.82,17.230999999999998,0.52,6.5600000000000005,14.429,0.32,5.979297800338001,4.08648,9.267464,8.590860017844001,5.951069999999999,5.758970000000001
2007,0.0,0.117,0.16,0.9640000000000001,0.135,0.361,0.0,3.308,1.37,2.971,0.0,0.61,0.652,0.006,0.29021555772200003,0.22371,0.5438860000000001,0.6819314299500001,0.73135,0.5480900000000001
2008,0.0,3.8520000000000003,1.252,0.93,1.043,0.326,0.013,4.05,0.384,5.119,0.0,0.016,0.167,15.547,0.8372800067499999,0.08855000000000002,1.1363920000000003,1.2592700072080003,3.73741,0.97514
2009,0.0,1.737,1.866,2.093,2.4749999999999996,0.046,1.008,1.4029999999999998,0.5409999999999999,0.703,0.222,0.236,0.506,0.243,1.031100001616,0.8183400000000001,1.5611160000000002,1.4647042867119997,0.63023,1.1775099999999998
2010,0.203,0.546,0.387,3.508,1.458,0.6910000000000001,1.3519999999999999,0.583,2.155,0.531,0.92,1.755,0.018,0.626,1.1753388908579998,1.51763,1.474062,1.5304914301919998,0.92506,1.80801
2011,0.10200000000000001,4.624,1.631,3.458,2.78,2.914,0.927,4.266,3.1109999999999998,2.11,0.942,3.919,0.69,0.8560000000000001,1.9311100049180001,1.93945,2.5287460000000004,2.441645718474,1.3618999999999999,2.5387
2012,0.068,0.10300000000000001,0.153,0.487,0.139,0.037,0.082,0.658,0.699,10.527999999999999,0.183,0.514,0.009,3.86,0.454896670322,0.20913,0.285044,0.49429571870800004,3.0303199999999992,0.58768
2013,0.0,1.619,1.32,1.99,0.977,2.0980000000000003,0.9309999999999999,4.715,3.203,8.112,1.804,2.883,1.2730000000000001,4.268,1.750332228284,1.5511599999999999,1.729682,1.9139742917440001,3.37067,2.0213099999999997
2014,0.0,0.101,0.053,0.0,0.0,0.047,0.027,0.293,0.026,5.041,0.22,0.067,0.0,1.317,0.18802333485000003,0.03851,0.067902,0.145712859072,1.3879000000000001,0.1816
2015,0.537,1.952,0.427,0.29800000000000004,0.11299999999999999,0.0,0.974,1.282,0.298,12.148,4.129,0.286,2.068,5.056,1.6190588941419999,0.7327,0.9911380000000001,0.94996857832,4.84936,1.2967600000000001
