Year,Dakar_Rainfall,Diourbel_Rainfall,Fatick_Rainfall,Kaffrine_Rainfall,Kaolack_Rainfall,Kedougou_Rainfall,Kolda_Rainfall,Louga_Rainfall,Matam_Rainfall,Saint louis_Rainfall,Sedhiou_Rainfall,Tambacounda_Rainfall,Thies_Rainfall,Ziguinchor_Rainfall,Corn_Weighted_Rainfall,Cotton_Weighted_Rainfall,Millet_Weighted_Rainfall,Peanut_Weighted_Rainfall,Rice_Weighted_Rainfall,Sorghum_Weighted_Rainfall
1995,415.166,382.439,389.983,251.47000000000003,304.663,652.053,450.189,321.345,261.447,211.77100000000002,482.89,319.704,400.11199999999997,637.891,401.579387451932,418.61539,349.813276,352.17638658390206,427.90953,356.99300000000005
1996,360.079,324.816,344.63,359.73199999999997,370.37,803.721,562.558,285.898,272.344,188.02,645.35,402.831,340.29,678.147,480.859597469566,525.86077,393.693302,401.44824950642203,501.74319,442.99039
1997,304.56600000000003,356.565,485.632,483.007,606.768,1022.2719999999999,787.634,248.172,288.269,180.07,907.8439999999999,499.697,334.952,906.706,663.611939805462,713.89012,530.7763859999999,534.913316847512,670.6095399999999,595.98369
1998,374.702,360.36899999999997,404.95300000000003,457.43100000000004,473.278,976.016,715.7620000000001,347.43399999999997,365.892,276.212,776.271,572.019,368.616,789.827,602.1198009592221,680.7051899999999,485.1610380000001,501.177948262654,621.46955,561.79582
1999,407.043,444.189,563.934,583.558,652.624,912.383,776.786,313.756,384.93399999999997,198.04399999999998,1018.033,594.133,415.474,1182.538,724.344661075982,730.76802,605.568634,598.869805584904,749.7365100000001,669.82442
2000,367.57099999999997,306.861,402.973,322.097,443.308,579.607,361.241,218.364,278.52,143.9,623.184,318.386,351.317,764.419,429.43045851836797,365.11211,380.175754,363.652876589732,443.18615,390.10543
2001,300.868,320.868,358.022,367.356,393.305,568.418,404.043,220.527,262.908,175.661,506.216,330.045,314.824,544.01,399.58701957232006,394.48600000000005,366.86482,359.92500076541404,395.70404,382.62041000000005
2002,243.375,278.068,347.239,330.146,374.378,541.438,340.632,239.473,241.808,200.61599999999999,418.489,282.414,289.822,468.613,351.343397296302,338.71759000000003,334.02747,328.64665782640196,347.3881,337.53733
2003,260.23,354.94800000000004,432.929,566.303,522.908,1037.729,898.7860000000001,311.40700000000004,475.885,243.236,854.147,711.037,317.17900000000003,789.6510000000001,691.922598745904,839.35601,546.143542,572.090768290236,685.9706000000001,655.95584
2004,217.10999999999999,364.33,402.319,529.788,515.662,787.958,650.4449999999999,294.949,349.818,158.497,688.125,573.419,262.832,685.992,562.8068785891721,632.4354,483.94118000000003,490.01345664338,535.26131,549.4480299999999
2005,610.3770000000001,594.3,681.277,726.828,787.363,889.1990000000001,903.771,438.075,543.7429999999999,273.091,1083.234,691.5550000000001,551.497,1077.922,829.814902378896,841.62608,730.645254,721.974082877676,812.51635,782.72525
2006,387.325,470.498,542.832,515.424,614.626,760.473,648.945,358.777,337.394,272.52299999999997,817.134,487.259,430.632,997.683,623.858264340162,609.87783,551.9543659999999,542.96384972658,648.13539,579.1850400000001
2007,296.37899999999996,383.117,432.638,437.685,473.266,673.367,606.877,349.44,398.94800000000004,277.104,699.77,467.594,350.009,740.168,541.819618645826,567.17887,463.91519200000005,466.39058813395803,560.81348,505.37339
2008,553.172,550.878,656.45,675.469,721.777,864.84,818.962,405.201,446.308,249.034,1143.498,641.405,512.488,1331.508,800.555617908644,772.4242899999999,691.194564,675.379815754068,835.10288,746.95288
2009,529.465,539.499,705.325,716.682,799.956,981.192,893.0849999999999,458.377,551.372,332.293,966.8340000000001,760.551,525.14,1137.058,817.3695735046841,856.2239699999999,723.97264,727.0127328679181,803.55078,778.4717400000001
2010,557.269,574.867,604.234,488.082,546.987,1068.257,683.34,520.997,512.016,435.922,822.405,604.187,551.376,974.577,664.229845707414,676.9109900000001,582.7464219999999,584.425542841518,702.2209300000001,615.1856300000001
2011,320.743,400.299,401.85200000000003,414.897,398.325,1018.202,549.806,333.602,362.162,242.55599999999998,687.331,475.087,335.39,780.613,516.788598712992,552.345,435.948632,440.05680108911605,543.1463600000001,488.18607000000003
2012,594.878,605.003,617.769,445.89799999999997,525.5070000000001,1051.218,682.077,475.813,494.266,332.141,889.657,543.7090000000001,614.465,1041.021,667.5946945899341,658.3346100000001,578.522448,571.023925716624,705.89468,600.66822
2013,467.43,471.758,539.961,476.106,521.336,1029.154,646.948,393.583,389.067,260.649,660.35,578.64,490.451,928.416,593.802774423692,643.13916,527.501082,535.5500554876639,599.22766,561.8004
2014,217.869,341.894,372.698,365.039,439.5,881.262,572.578,266.901,311.676,148.157,715.062,454.687,288.683,906.4789999999999,520.5556952728799,551.3434,416.960186,420.762545292114,550.39483,474.10907
2015,485.096,499.242,554.438,442.479,553.476,1153.8600000000001,733.489,369.70000000000005,381.033,272.512,887.616,545.053,494.196,1027.142,668.4093044722802,696.7929,552.123656,553.419582773286,699.02712,598.7437199999999
2016,396.61,426.57,508.42,475.573,494.077,1120.625,708.878,344.553,505.466,247.65900000000002,842.699,569.569,409.265,912.742,637.063587742014,686.28052,524.444964,531.389921272106,655.1027899999999,588.1449499999999
2017,374.60900000000004,585.698,575.466,684.991,750.5,1103.932,835.87,428.47,533.597,225.975,882.167,711.383,446.647,976.4010000000001,751.26483896896,812.8972900000001,665.9208980000001,669.101442766394,714.11824,726.66588
2018,269.59799999999996,422.864,506.457,574.3340000000001,683.854,1038.931,741.748,354.003,432.438,296.805,799.078,600.243,340.08599999999996,891.471,666.06258658234,715.8263900000001,572.322376,580.2443283289101,660.202,632.7874900000002
2019,347.52500000000003,363.541,434.15200000000004,403.066,421.882,1044.815,582.092,288.477,324.254,175.098,637.062,464.19800000000004,339.226,617.806,514.148191978624,570.3781799999999,435.766656,441.828791002886,498.11222,478.9475799999999
2020,608.717,644.771,754.731,659.303,735.6709999999999,1257.309,988.332,540.163,499.771,354.958,1133.076,709.889,558.902,1224.372,873.469733632948,917.3292500000001,742.249144,743.489640206564,893.8011900000001,797.44728
2021,641.112,626.582,745.878,983.62,1029.229,1373.85,1123.271,503.28400000000005,459.149,259.49399999999997,1479.213,798.7529999999999,596.634,1277.241,1042.8059414935478,1052.81269,906.0685320000001,892.759416033326,1012.11457,995.19722
2022,615.425,628.7909999999999,679.806,725.6,827.126,1265.596,740.265,556.662,546.958,649.145,1113.434,790.9359999999999,524.375,1326.031,836.2019904085739,788.3196599999999,739.9501,731.09571889868,904.8196599999999,805.7409299999999
2023,516.245,560.427,605.834,605.403,639.063,1032.3709999999999,668.382,495.80400000000003,458.44100000000003,422.11,888.511,620.134,541.643,991.318,690.4278823608361,676.91849,626.49487,618.939685676978,714.81962,661.37208
2024,71.441,114.043,175.167,171.52,202.49699999999999,404.991,264.203,90.90299999999999,148.701,83.387,327.911,196.45,81.128,411.035,235.76295479492197,251.09789999999998,183.79280999999997,187.035869017574,253.99171,214.14117
