Year,Dakar_Rainfall,Diourbel_Rainfall,Fatick_Rainfall,Kaffrine_Rainfall,Kaolack_Rainfall,Kedougou_Rainfall,Kolda_Rainfall,Louga_Rainfall,Matam_Rainfall,Saint louis_Rainfall,Sedhiou_Rainfall,Tambacounda_Rainfall,Thies_Rainfall,Ziguinchor_Rainfall,Corn_Weighted_Rainfall,Cotton_Weighted_Rainfall,Millet_Weighted_Rainfall,Peanut_Weighted_Rainfall,Rice_Weighted_Rainfall,Sorghum_Weighted_Rainfall
1996,3.4109999999999996,14.606000000000002,15.815,18.635,13.783999999999999,73.894,17.761,16.607999999999997,9.936,12.972000000000001,16.736,16.234,9.795,15.185,16.786417816676,20.74091,15.939205999999999,16.69920432764,16.19009,17.40539
1997,15.897,14.76,13.573,32.204,22.14,140.118,82.328,23.448,29.636,14.018,54.629000000000005,54.187,13.806000000000001,21.756999999999998,48.608491179032,75.37508,31.353172,37.37143008309001,46.04858,45.211459999999995
1998,22.359,7.359,12.748,42.936,31.692999999999998,30.854000000000003,9.076,15.651000000000002,32.878,15.439,10.526,24.618000000000002,18.701999999999998,14.42,17.500906711243996,16.20185,23.311780000000002,23.78763146681,13.18378,24.972630000000002
1999,0.016,1.319,2.513,14.033000000000001,11.45,36.754999999999995,17.552,5.292999999999999,11.26,5.305,18.14,20.194,1.803,16.748,14.375413353896,19.133589999999998,10.220318,11.485624311298,14.167180000000002,14.952300000000003
2000,2.028,5.934,6.071000000000001,10.965,5.039,38.85,5.212999999999999,8.46,8.312,4.291,13.375,10.49,5.476,7.328,8.466136687032,8.91795,7.935488000000001,7.8970071657480005,7.88401,9.444189999999999
2001,0.10200000000000001,0.672,1.939,1.667,1.867,24.956,1.363,2.227,1.181,1.321,0.723,1.248,1.203,0.7579999999999999,1.7398011186859996,2.76367,1.584176,1.947218579918,1.3312800000000002,1.8365699999999998
2002,30.398,56.25,36.003,42.347,39.921,22.897,7.316,73.369,34.303,72.694,9.917,15.28,52.015,6.071,22.751918975632,12.34547,37.003026,35.46281292358,25.446440000000003,28.06574
2003,0.068,0.568,0.10799999999999998,2.631,2.577,26.465,4.53,1.516,1.7020000000000002,1.174,1.1700000000000002,2.075,0.372,1.183,2.660063341262,5.08427,1.8238940000000001,2.55012286638,2.34398,2.815
2004,0.0,9.249,6.084,15.987,9.744,42.106,44.884,9.658999999999999,11.132000000000001,5.127,23.164,26.588,2.919,6.202,23.080586689418006,38.12987,14.863323999999999,17.76212145628,21.364620000000002,21.3419
2005,5.737,13.176,11.607,26.061,21.132,111.17200000000001,38.475,13.372,23.741,10.549000000000001,18.753,40.315,5.418,7.946,26.815735603816,42.30547000000001,20.8042,24.226541483164,21.38595,28.21743
2006,15.631,33.547,25.22,10.515,10.513,43.708999999999996,14.754999999999999,31.296999999999997,18.477,23.110999999999997,5.292,18.987000000000002,20.953,5.455,14.92837671171,17.20119,17.185256,17.258820041492,13.552560000000001,14.36733
