Year,Dakar_Rainfall,Diourbel_Rainfall,Fatick_Rainfall,Kaffrine_Rainfall,Kaolack_Rainfall,Kedougou_Rainfall,Kolda_Rainfall,Louga_Rainfall,Matam_Rainfall,Saint louis_Rainfall,Sedhiou_Rainfall,Tambacounda_Rainfall,Thies_Rainfall,Ziguinchor_Rainfall,Corn_Weighted_Rainfall,Cotton_Weighted_Rainfall,Millet_Weighted_Rainfall,Peanut_Weighted_Rainfall,Rice_Weighted_Rainfall,Sorghum_Weighted_Rainfall
1996,3.4109999999999996,11.474,13.484,12.029,11.05,11.505,12.815999999999999,13.550999999999998,5.489,9.466000000000001,11.686,10.246,9.697,12.198,11.55730224196,12.026530000000001,11.877338000000002,11.740637161493998,11.43538,11.33194
1997,12.122,9.251,10.024000000000001,20.669,16.477,7.495,37.212,10.483,15.578,10.865,34.69,15.678,9.551,14.126999999999999,23.850702246698003,28.985760000000003,17.943524000000004,18.888857172608,24.64364,21.933090000000004
1998,22.262,6.453,11.072,36.397,26.021,11.129000000000001,5.76,14.750000000000002,28.528,14.123,9.667,20.348000000000003,18.701999999999998,9.982,14.214065591628,11.502669999999998,19.840087999999998,19.847670029184002,10.632750000000001,20.64542
1999,0.016,0.01,1.146,8.253,5.861,7.147000000000001,5.202,4.321,2.963,3.5050000000000003,5.481,7.468,1.508,9.402999999999999,5.082707786028,6.04713,4.728408,5.15038000815,5.4373000000000005,6.153260000000001
2000,0.827,4.6240000000000006,4.917,6.428,3.465,1.558,1.2489999999999999,6.082000000000001,5.287,3.23,3.3,5.354,3.991,2.91,3.3559822299860005,2.59541,4.577744,4.267725720496,2.7637599999999996,4.24748
2001,0.068,0.402,0.666,1.3820000000000001,1.3039999999999998,0.133,0.7090000000000001,1.819,0.759,0.8370000000000001,0.31,0.781,1.199,0.132,0.7316922237179999,0.7280500000000001,0.993628,1.0323714293260002,0.55932,0.9024800000000001
2002,30.398,56.15,35.833,41.036,37.077,6.079,6.751,73.213,31.039999999999996,72.54100000000001,6.09,11.45,52.015,5.2589999999999995,20.440700081718003,9.896329999999999,35.577804,33.95663005930199,23.888640000000002,25.74924
2003,0.0,0.5,0.086,1.4969999999999999,2.041,8.423,3.192,0.969,1.078,0.471,0.113,0.777,0.338,0.0,1.4619977807280002,2.77506,1.127804,1.51121571731,1.1508,1.47661
2004,0.0,7.628,5.101,7.472,7.038,6.638,15.688,7.699,6.91,4.702,9.368,13.233,1.972,2.454,9.897314454550001,13.970750000000002,7.679358000000001,8.302328582200001,8.641750000000002,9.399630000000002
2005,5.703,9.028,8.135,14.543000000000001,13.857000000000001,66.491,7.178999999999999,10.100000000000001,14.501,9.411000000000001,5.676,11.519,5.082,2.721,9.88887669724,12.242669999999999,10.487024,11.310118603866002,7.452700000000001,11.701850000000002
2006,15.631,33.492,25.115000000000002,10.132,10.49,4.5,8.722,31.238,17.306,23.017,4.656000000000001,12.644,20.953,5.409,11.778935591483998,9.4967,16.072646,15.035518601146,11.26313,11.384500000000001
2007,0.0,1.076,0.482,2.213,0.22399999999999998,4.668,1.045,5.819,4.386,6.588,0.112,1.81,0.746,0.011,1.047117783446,1.4944899999999999,1.2900060000000002,1.669854290526,1.97551,1.5545500000000003
