ID,Year,Month,Model,Features,Parameters,Predicted Production,Actual Production,Error,% Error,Crop,Feature Values,Abs_Error,Abs_Pct_Error
,2017,1,sarimax-112,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 0, 'ma': 0}",1110984.755825282,1011269.0,99715.75582528207,0.09860458080419955,Rice,"Rice_Weighted_Rainfall_Transformed          893.80119
Rice_Weighted_VHI_Transformed                 0.56472
Rice_Weighted_VHI_Cumulative_Transformed     14.95234
Name: 2020, dtype: float64",99715.75582528207,0.09860458080419955
,2017,1,sarimax-112,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 0, 'ma': 0}",347817.35125953995,410364.0,-62546.64874046005,-0.15241748481947745,Corn,"Rice_Weighted_Rainfall_Transformed          893.80119
Rice_Weighted_VHI_Transformed                 0.56472
Rice_Weighted_VHI_Cumulative_Transformed     14.95234
Name: 2020, dtype: float64",62546.64874046005,0.15241748481947745
,2017,1,sarimax-112,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 0, 'ma': 0}",641495.5281075343,875484.0,-233988.47189246572,-0.2672675593071555,Millet,"Rice_Weighted_Rainfall_Transformed          893.80119
Rice_Weighted_VHI_Transformed                 0.56472
Rice_Weighted_VHI_Cumulative_Transformed     14.95234
Name: 2020, dtype: float64",233988.47189246572,0.2672675593071555
,2017,1,sarimax-112,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 0, 'ma': 0}",166140.97320436122,215491.0,-49350.02679563878,-0.22901200883395958,Sorghum,"Rice_Weighted_Rainfall_Transformed          893.80119
Rice_Weighted_VHI_Transformed                 0.56472
Rice_Weighted_VHI_Cumulative_Transformed     14.95234
Name: 2020, dtype: float64",49350.02679563878,0.22901200883395958
,2017,1,sarimax-112,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 0, 'ma': 0}",668326.9150519322,1405223.0,-736896.0849480678,-0.5243979674030868,Peanut,"Rice_Weighted_Rainfall_Transformed          893.80119
Rice_Weighted_VHI_Transformed                 0.56472
Rice_Weighted_VHI_Cumulative_Transformed     14.95234
Name: 2020, dtype: float64",736896.0849480678,0.5243979674030868
,2018,1,sarimax-112,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 0, 'ma': 0}",990300.5899839655,1206587.27,-216286.68001603452,-0.1792548996609541,Rice,"Rice_Weighted_Rainfall_Transformed          893.80119
Rice_Weighted_VHI_Transformed                 0.56472
Rice_Weighted_VHI_Cumulative_Transformed     14.95234
Name: 2020, dtype: float64",216286.68001603452,0.1792548996609541
,2018,1,sarimax-112,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 0, 'ma': 0}",362239.1801288861,485672.51,-123433.32987111394,-0.2541493029348396,Corn,"Rice_Weighted_Rainfall_Transformed          893.80119
Rice_Weighted_VHI_Transformed                 0.56472
Rice_Weighted_VHI_Cumulative_Transformed     14.95234
Name: 2020, dtype: float64",123433.32987111394,0.2541493029348396
,2018,1,sarimax-112,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 0, 'ma': 0}",766530.3613010941,897574.18,-131043.81869890599,-0.14599775886925132,Millet,"Rice_Weighted_Rainfall_Transformed          893.80119
Rice_Weighted_VHI_Transformed                 0.56472
Rice_Weighted_VHI_Cumulative_Transformed     14.95234
Name: 2020, dtype: float64",131043.81869890599,0.14599775886925132
,2018,1,sarimax-112,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 0, 'ma': 0}",187769.2199038078,295463.11,-107693.89009619219,-0.36449183147159114,Sorghum,"Rice_Weighted_Rainfall_Transformed          893.80119
Rice_Weighted_VHI_Transformed                 0.56472
Rice_Weighted_VHI_Cumulative_Transformed     14.95234
Name: 2020, dtype: float64",107693.89009619219,0.36449183147159114
,2018,1,sarimax-112,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 20, 'differencing': 0, 'ma': 0}",1192736.1213149638,1500588.37,-307852.2486850363,-0.20515436134230222,Peanut,"Rice_Weighted_Rainfall_Transformed          893.80119
Rice_Weighted_VHI_Transformed                 0.56472
Rice_Weighted_VHI_Cumulative_Transformed     14.95234
Name: 2020, dtype: float64",307852.2486850363,0.20515436134230222
