Year,Dakar_VHI,Diourbel_VHI,Fatick_VHI,Kaffrine_VHI,Kaolack_VHI,Kedougou_VHI,Kolda_VHI,Louga_VHI,Matam_VHI,Saint louis_VHI,Sedhiou_VHI,Tambacounda_VHI,Thies_VHI,Ziguinchor_VHI,Corn_Weighted_VHI,Cotton_Weighted_VHI,Millet_Weighted_VHI,Peanut_Weighted_VHI,Rice_Weighted_VHI,Sorghum_Weighted_VHI
1984,0.4143333333333333,0.5433333333333333,0.509,0.6213333333333333,0.49700000000000005,0.5383333333333333,0.47433333333333333,0.605,0.6673333333333332,0.6106666666666667,0.4106666666666667,0.625,0.503,0.37033333333333335,0.4983929640459999,0.52278,0.536072,0.54127428673,0.4795733333333333,0.5422300000000001
1985,0.5,0.496,0.467,0.4183333333333333,0.4243333333333333,0.45,0.41566666666666663,0.49300000000000005,0.47733333333333333,0.496,0.432,0.45166666666666666,0.4756666666666667,0.4443333333333333,0.439357408352,0.42711,0.44524199999999997,0.4431990485606666,0.4469766666666667,0.43672333333333324
1986,0.3356666666666667,0.287,0.286,0.2703333333333333,0.296,0.3866666666666667,0.3906666666666667,0.2826666666666667,0.35433333333333333,0.3,0.35633333333333334,0.38833333333333336,0.29,0.33666666666666667,0.34558148211333334,0.38253666666666675,0.3049266666666667,0.31459666734,0.34620000000000006,0.3309666666666667
1987,0.39866666666666667,0.45566666666666666,0.511,0.49833333333333335,0.552,0.42766666666666664,0.4486666666666667,0.454,0.41566666666666663,0.383,0.5156666666666667,0.445,0.44566666666666666,0.49866666666666665,0.48394814903200006,0.4506766666666667,0.4932606666666666,0.4824390485033334,0.46014,0.4800733333333333
1988,0.535,0.5943333333333333,0.617,0.5973333333333333,0.651,0.5153333333333334,0.48533333333333334,0.649,0.5526666666666666,0.5623333333333332,0.503,0.5013333333333333,0.6146666666666666,0.5670000000000001,0.5453685196713334,0.4985666666666666,0.5904446666666667,0.5820004772846666,0.5295,0.5544800000000001
1989,0.4506666666666666,0.3416666666666666,0.36433333333333334,0.35766666666666663,0.39033333333333337,0.313,0.3136666666666667,0.36366666666666664,0.329,0.32466666666666666,0.41133333333333333,0.32033333333333336,0.35600000000000004,0.38033333333333336,0.35937518589999995,0.3192366666666667,0.361692,0.3544419054906667,0.35567,0.3553766666666666
1990,0.4223333333333333,0.32466666666666666,0.40399999999999997,0.29233333333333333,0.32466666666666666,0.359,0.38400000000000006,0.252,0.27066666666666667,0.21633333333333335,0.4686666666666666,0.35200000000000004,0.3403333333333333,0.48233333333333334,0.3813088895466667,0.37017000000000005,0.34729133333333334,0.3394138102506667,0.37903333333333333,0.35152000000000005
1991,0.42366666666666664,0.4163333333333333,0.442,0.353,0.38133333333333336,0.3983333333333334,0.37399999999999994,0.4343333333333333,0.4373333333333333,0.4073333333333333,0.357,0.3786666666666667,0.43766666666666665,0.47000000000000003,0.386334445284,0.37548,0.39311,0.3935185722600001,0.3960699999999999,0.37795
1992,0.397,0.38133333333333336,0.36800000000000005,0.30233333333333334,0.276,0.38766666666666666,0.33,0.3953333333333333,0.309,0.3036666666666667,0.39199999999999996,0.36466666666666664,0.36766666666666664,0.40166666666666667,0.3475874081286667,0.3408233333333333,0.339048,0.33516571502066667,0.35366333333333333,0.3376466666666667
1993,0.5343333333333334,0.3873333333333333,0.4246666666666667,0.458,0.41566666666666663,0.49300000000000005,0.48866666666666664,0.437,0.45366666666666666,0.4146666666666667,0.4186666666666667,0.4749999999999999,0.431,0.45166666666666666,0.4481129638653332,0.4825466666666666,0.43751133333333336,0.44932238185333334,0.4451966666666667,0.45382666666666666
