Year,Dakar_VHI,Diourbel_VHI,Fatick_VHI,Kaffrine_VHI,Kaolack_VHI,Kedougou_VHI,Kolda_VHI,Louga_VHI,Matam_VHI,Saint louis_VHI,Sedhiou_VHI,Tambacounda_VHI,Thies_VHI,Ziguinchor_VHI,Corn_Weighted_VHI,Cotton_Weighted_VHI,Millet_Weighted_VHI,Peanut_Weighted_VHI,Rice_Weighted_VHI,Sorghum_Weighted_VHI
1984,0.559,0.5686666666666667,0.5893333333333333,0.611,0.573,0.4343333333333333,0.458,0.6023333333333333,0.7079999999999999,0.6066666666666666,0.4466666666666667,0.5553333333333333,0.5626666666666666,0.48033333333333333,0.5177800011406667,0.4895999999999999,0.5644966666666666,0.5610619058486666,0.5032833333333333,0.5452899999999999
1985,0.3713333333333333,0.3693333333333333,0.3236666666666667,0.2396666666666667,0.29666666666666663,0.24933333333333332,0.18900000000000003,0.35533333333333333,0.2896666666666667,0.373,0.17566666666666664,0.21766666666666667,0.3933333333333333,0.20533333333333334,0.24098148211400003,0.20326333333333332,0.2811473333333333,0.2745876196286667,0.24092000000000002,0.24174333333333337
1986,0.37600000000000006,0.3276666666666667,0.3136666666666667,0.25133333333333335,0.2796666666666667,0.31466666666666665,0.2996666666666667,0.2916666666666667,0.33466666666666667,0.298,0.297,0.286,0.27699999999999997,0.2986666666666667,0.29682185246733334,0.2945066666666667,0.2868306666666667,0.28701142921333334,0.29903,0.28492999999999996
1987,0.34800000000000003,0.39766666666666667,0.39999999999999997,0.4413333333333333,0.462,0.3336666666666666,0.34766666666666673,0.47866666666666663,0.472,0.5163333333333333,0.36233333333333334,0.38366666666666666,0.341,0.35633333333333334,0.3888377785966667,0.3618,0.41034933333333334,0.41030190555800006,0.39564,0.4029166666666667
1988,0.5726666666666667,0.5893333333333334,0.4956666666666667,0.4816666666666667,0.492,0.428,0.49333333333333335,0.614,0.5153333333333333,0.544,0.47866666666666663,0.4523333333333333,0.5793333333333334,0.438,0.490673704762,0.47841999999999996,0.5069193333333333,0.5054438105426666,0.49483,0.48800333333333334
1989,0.371,0.321,0.337,0.35133333333333333,0.38633333333333336,0.26666666666666666,0.311,0.41733333333333333,0.35533333333333333,0.39866666666666667,0.311,0.2873333333333334,0.3193333333333333,0.27899999999999997,0.3275662969806667,0.30519333333333337,0.3425046666666667,0.34396142922933337,0.32819333333333334,0.33107666666666663
1990,0.38766666666666666,0.29,0.2753333333333334,0.18966666666666665,0.19833333333333333,0.37399999999999994,0.38999999999999996,0.2213333333333333,0.20133333333333334,0.21466666666666667,0.41566666666666663,0.29733333333333334,0.32166666666666666,0.38033333333333336,0.3246885190919999,0.3541966666666666,0.267426,0.2701785720753333,0.3448633333333333,0.28754
1991,0.42333333333333334,0.3156666666666667,0.38833333333333336,0.26,0.39666666666666667,0.2786666666666667,0.24733333333333332,0.35799999999999993,0.33866666666666667,0.35200000000000004,0.27499999999999997,0.2743333333333333,0.4086666666666667,0.39799999999999996,0.3107711118073333,0.25836666666666663,0.32768466666666674,0.32310095306133335,0.3110733333333333,0.2959466666666667
1992,0.5219999999999999,0.309,0.37566666666666665,0.26866666666666666,0.30466666666666664,0.34600000000000003,0.23,0.3293333333333333,0.26033333333333336,0.33499999999999996,0.28633333333333333,0.295,0.35533333333333333,0.37266666666666665,0.2950748155033333,0.2564533333333333,0.307362,0.3028200006946667,0.30067,0.2893466666666666
1993,0.506,0.4703333333333333,0.458,0.4876666666666667,0.4856666666666667,0.5236666666666667,0.5006666666666667,0.5133333333333333,0.5013333333333333,0.5196666666666667,0.3953333333333333,0.457,0.4766666666666666,0.5156666666666667,0.46635148248466674,0.4892766666666667,0.47326599999999996,0.4851447628853333,0.4796433333333333,0.47409333333333337
1994,0.5916666666666667,0.6976666666666667,0.6756666666666667,0.731,0.7003333333333334,0.5843333333333334,0.6073333333333334,0.7130000000000001,0.7376666666666667,0.723,0.6503333333333333,0.6136666666666667,0.6453333333333333,0.6063333333333333,0.6489266680066667,0.61508,0.6818360000000001,0.6742676203593334,0.6495399999999999,0.6665566666666666
1995,0.45766666666666667,0.47700000000000004,0.4716666666666667,0.4956666666666667,0.4996666666666667,0.6076666666666667,0.6646666666666667,0.5386666666666667,0.5783333333333333,0.47333333333333333,0.6353333333333334,0.5830000000000001,0.486,0.5163333333333333,0.5781662973253334,0.6304366666666668,0.5223,0.5350904772606667,0.5769933333333334,0.5573733333333334
1996,0.36999999999999994,0.37966666666666665,0.3393333333333333,0.38233333333333336,0.371,0.5219999999999999,0.492,0.38966666666666666,0.4043333333333334,0.3356666666666666,0.33233333333333337,0.426,0.36533333333333334,0.4186666666666667,0.3999685193113333,0.46901,0.37927133333333335,0.39749666745600004,0.39625333333333335,0.40013333333333334
1997,0.47866666666666663,0.38999999999999996,0.4343333333333333,0.3953333333333333,0.4483333333333333,0.7290000000000001,0.5599999999999999,0.4546666666666666,0.43,0.419,0.5023333333333334,0.5363333333333333,0.44,0.4703333333333333,0.499571112046,0.5542966666666667,0.44829399999999997,0.46433571526266665,0.49158333333333337,0.47750333333333334
1998,0.5656666666666667,0.4066666666666667,0.4686666666666666,0.466,0.5013333333333333,0.669,0.49666666666666665,0.48933333333333334,0.49300000000000005,0.5016666666666667,0.5346666666666667,0.478,0.46599999999999997,0.5963333333333333,0.503431852886,0.5012333333333334,0.47880466666666666,0.4875023820286667,0.5235833333333334,0.4947
1999,0.5643333333333334,0.521,0.5990000000000001,0.5786666666666667,0.6113333333333334,0.6353333333333333,0.592,0.5896666666666667,0.6096666666666667,0.6083333333333333,0.5913333333333334,0.5933333333333333,0.5896666666666667,0.6063333333333333,0.5953822234006666,0.5944533333333333,0.588168,0.5924995249913335,0.59744,0.5907066666666666
2000,0.611,0.5223333333333334,0.538,0.6046666666666667,0.608,0.6196666666666667,0.7373333333333333,0.49833333333333335,0.49700000000000005,0.4583333333333333,0.701,0.643,0.5013333333333333,0.6463333333333333,0.6470000011020001,0.6983999999999999,0.5940913333333333,0.603215239254,0.6350100000000001,0.63298
2001,0.515,0.5743333333333333,0.5576666666666666,0.488,0.598,0.4526666666666667,0.418,0.556,0.5006666666666667,0.467,0.49066666666666664,0.40399999999999997,0.5866666666666666,0.5426666666666667,0.4905800010406667,0.4226066666666667,0.525126,0.5101190486313333,0.47742333333333337,0.48288
2002,0.5733333333333334,0.38566666666666666,0.38033333333333336,0.26299999999999996,0.3626666666666667,0.45966666666666667,0.3033333333333333,0.408,0.305,0.4013333333333333,0.446,0.3403333333333333,0.49933333333333335,0.455,0.3734359267593333,0.3219666666666666,0.3590753333333333,0.35223809610266665,0.39426666666666665,0.3469633333333333
2003,0.26166666666666666,0.45366666666666666,0.5133333333333333,0.45733333333333337,0.5603333333333333,0.45,0.3539999999999999,0.49766666666666665,0.47933333333333333,0.5466666666666667,0.355,0.39666666666666667,0.449,0.4606666666666666,0.42417000090133333,0.37766666666666665,0.46471666666666667,0.45783952466866673,0.42349333333333333,0.42946666666666666
2004,0.482,0.6166666666666667,0.6123333333333333,0.5996666666666667,0.664,0.5586666666666668,0.6066666666666666,0.5796666666666667,0.5786666666666666,0.639,0.583,0.591,0.6053333333333333,0.5736666666666667,0.6053703715333332,0.5998566666666666,0.6112573333333333,0.6077347630566667,0.6007966666666668,0.6011333333333334
2005,0.4506666666666667,0.4626666666666666,0.5216666666666666,0.5376666666666666,0.5166666666666667,0.6723333333333333,0.656,0.5133333333333333,0.49,0.439,0.569,0.5856666666666667,0.4543333333333333,0.496,0.5681844454480001,0.6312166666666666,0.532866,0.5452419057846666,0.5473600000000001,0.5585600000000001
