Year,Dakar_VHI,Diourbel_VHI,Fatick_VHI,Kaffrine_VHI,Kaolack_VHI,Kedougou_VHI,Kolda_VHI,Louga_VHI,Matam_VHI,Saint louis_VHI,Sedhiou_VHI,Tambacounda_VHI,Thies_VHI,Ziguinchor_VHI,Corn_Weighted_VHI,Cotton_Weighted_VHI,Millet_Weighted_VHI,Peanut_Weighted_VHI,Rice_Weighted_VHI,Sorghum_Weighted_VHI
1984,0.322,0.6146666666666667,0.5673333333333334,0.6203333333333333,0.6373333333333333,0.38166666666666665,0.501,0.47833333333333333,0.38566666666666666,0.37866666666666665,0.5670000000000001,0.4836666666666667,0.49433333333333335,0.48900000000000005,0.5349318527773333,0.49749666666666664,0.571634,0.5470452389920001,0.4884200000000001,0.5447100000000001
1985,0.22433333333333336,0.4046666666666667,0.381,0.341,0.3826666666666667,0.43733333333333335,0.40599999999999997,0.4526666666666667,0.325,0.30866666666666664,0.373,0.3486666666666667,0.2893333333333334,0.38033333333333336,0.37666037107333333,0.3897333333333333,0.36893466666666674,0.37039571498666674,0.36749666666666664,0.3634833333333333
1986,0.154,0.05933333333333333,0.13066666666666668,0.1376666666666667,0.09600000000000002,0.41133333333333333,0.32166666666666666,0.08333333333333333,0.03866666666666666,0.16133333333333333,0.22866666666666668,0.23633333333333337,0.10766666666666667,0.254,0.20938925957200002,0.2933266666666667,0.14772200000000002,0.16764714323066668,0.23470000000000002,0.19251333333333334
1987,0.17866666666666667,0.18166666666666664,0.26633333333333337,0.5063333333333334,0.37266666666666665,0.35000000000000003,0.5496666666666666,0.26333333333333336,0.3133333333333333,0.225,0.529,0.4013333333333333,0.18299999999999997,0.45,0.4285781487373334,0.49646000000000007,0.37795400000000007,0.3923361911126667,0.4323266666666667,0.4403133333333334
1988,0.319,0.3373333333333333,0.338,0.431,0.41733333333333333,0.4923333333333333,0.5716666666666667,0.38399999999999995,0.474,0.416,0.48,0.537,0.33899999999999997,0.4043333333333334,0.4723300007993333,0.5487466666666667,0.41724133333333335,0.43651619131133335,0.47125333333333336,0.4674866666666667
1989,0.5723333333333334,0.8516666666666667,0.7629999999999999,0.7833333333333333,0.7516666666666666,0.503,0.6626666666666666,0.767,0.7603333333333334,0.38199999999999995,0.614,0.7716666666666666,0.8056666666666666,0.519,0.6905403716913333,0.6867733333333332,0.7541,0.7347366678673334,0.5727966666666666,0.7152333333333334
1990,0.15633333333333335,0.24166666666666667,0.3173333333333333,0.2823333333333333,0.34099999999999997,0.5093333333333333,0.4023333333333334,0.40499999999999997,0.37233333333333335,0.476,0.4383333333333333,0.46466666666666673,0.2783333333333333,0.409,0.390960371066,0.4180833333333334,0.33502933333333335,0.3482276197913334,0.4220566666666667,0.37055000000000005
1991,0.23066666666666666,0.3176666666666667,0.30466666666666664,0.215,0.27699999999999997,0.4116666666666666,0.36033333333333334,0.325,0.272,0.2773333333333333,0.3016666666666667,0.3446666666666667,0.30033333333333334,0.307,0.3166529635533333,0.35081,0.28776066666666666,0.29414619108133333,0.3128266666666667,0.2931566666666666
1992,0.36333333333333334,0.25066666666666665,0.3303333333333333,0.3503333333333334,0.40599999999999997,0.5326666666666667,0.598,0.36333333333333334,0.27466666666666667,0.316,0.4483333333333333,0.4736666666666667,0.33899999999999997,0.3253333333333333,0.45262370439599997,0.5471966666666667,0.3835806666666667,0.40798857214600004,0.43195666666666666,0.42616000000000004
1993,0.3746666666666667,0.4956666666666667,0.4663333333333333,0.47433333333333333,0.48,0.6546666666666666,0.7153333333333333,0.498,0.5226666666666667,0.446,0.6916666666666668,0.631,0.4443333333333333,0.601,0.6025948158173333,0.67597,0.520598,0.533196191558,0.6107533333333335,0.5706800000000001
1994,0.4223333333333333,0.4586666666666666,0.5193333333333333,0.6,0.549,0.5626666666666666,0.5716666666666667,0.509,0.5876666666666667,0.49300000000000005,0.5633333333333334,0.5266666666666667,0.4756666666666667,0.462,0.545002223238,0.5609833333333334,0.5423853333333333,0.5457104772046667,0.5296733333333334,0.5547133333333334
1995,0.48733333333333334,0.531,0.5996666666666667,0.6226666666666666,0.6586666666666666,0.6446666666666667,0.6906666666666667,0.569,0.5493333333333333,0.645,0.6516666666666667,0.624,0.49500000000000005,0.57,0.6399988900253334,0.66713,0.6123793333333334,0.6191052392606666,0.6403099999999999,0.6305633333333333
1996,0.289,0.4243333333333334,0.47733333333333333,0.585,0.5559999999999999,0.48433333333333334,0.5313333333333333,0.5866666666666667,0.5419999999999999,0.5103333333333334,0.6036666666666667,0.4996666666666667,0.3173333333333333,0.5853333333333334,0.5328170379980001,0.52425,0.5194553333333334,0.5226447628873333,0.54792,0.5407133333333333
1997,0.17366666666666666,0.26699999999999996,0.4423333333333333,0.25366666666666665,0.42566666666666664,0.5743333333333334,0.622,0.17433333333333334,0.333,0.24966666666666668,0.6683333333333333,0.5443333333333333,0.22066666666666668,0.5936666666666667,0.5232222228533333,0.5798066666666666,0.3908653333333333,0.3953342865313333,0.5190266666666667,0.44607
1998,0.3223333333333333,0.43966666666666665,0.4346666666666667,0.5973333333333333,0.5093333333333333,0.57,0.6753333333333332,0.5913333333333334,0.5763333333333334,0.6793333333333332,0.6266666666666666,0.623,0.418,0.597,0.5848092603239999,0.6498833333333333,0.5379333333333333,0.5591957153746667,0.6347999999999998,0.5925833333333332
1999,0.6706666666666666,0.7206666666666667,0.7893333333333334,0.7883333333333334,0.8456666666666667,0.8450000000000001,0.8006666666666667,0.7683333333333334,0.8213333333333334,0.745,0.7626666666666666,0.8693333333333334,0.7559999999999999,0.61,0.7991348163093333,0.8199466666666667,0.7926573333333334,0.7955766681453333,0.7470933333333334,0.79955
2000,0.321,0.44766666666666666,0.43733333333333335,0.4466666666666666,0.4766666666666666,0.4493333333333333,0.4696666666666667,0.5086666666666667,0.564,0.5053333333333333,0.508,0.42766666666666664,0.41,0.453,0.4679862972086667,0.45725,0.4557486666666667,0.4568385723566667,0.4823533333333333,0.4596866666666667
2001,0.5893333333333334,0.4383333333333333,0.48100000000000004,0.544,0.5813333333333334,0.5923333333333334,0.5776666666666667,0.32066666666666666,0.47900000000000004,0.315,0.6263333333333333,0.521,0.3673333333333333,0.616,0.5547822231693332,0.56322,0.51358,0.5129066677113334,0.5295566666666666,0.54601
2002,0.19933333333333333,0.26133333333333336,0.18899999999999997,0.214,0.153,0.18566666666666667,0.24133333333333332,0.278,0.30233333333333334,0.295,0.327,0.13366666666666668,0.24433333333333332,0.3376666666666666,0.22854963014466664,0.20968333333333333,0.21558666666666665,0.21431476244999997,0.28744333333333333,0.2197566666666667
2003,0.3953333333333333,0.49066666666666664,0.49300000000000005,0.4703333333333333,0.4386666666666667,0.40233333333333327,0.42566666666666664,0.4696666666666667,0.4383333333333333,0.49833333333333335,0.47333333333333333,0.4996666666666667,0.4066666666666667,0.4503333333333333,0.4575055564493333,0.44560666666666665,0.46373600000000004,0.456222381852,0.4599966666666666,0.46176
2004,0.274,0.3196666666666667,0.40166666666666667,0.5033333333333333,0.44,0.5990000000000001,0.49766666666666665,0.38999999999999996,0.5133333333333333,0.47633333333333333,0.515,0.6303333333333333,0.2886666666666667,0.478,0.4884081490020001,0.5367933333333333,0.44695133333333337,0.45898142947866666,0.4879933333333333,0.5028366666666666
2005,0.375,0.7516666666666666,0.5973333333333334,0.649,0.5673333333333334,0.5596666666666666,0.498,0.7636666666666666,0.5546666666666666,0.7363333333333334,0.54,0.539,0.54,0.5046666666666667,0.5501129641706667,0.5206133333333334,0.6024039999999999,0.5900195249586667,0.5711733333333334,0.5753366666666667
2006,0.2956666666666667,0.26266666666666666,0.401,0.457,0.45566666666666666,0.583,0.515,0.312,0.39433333333333337,0.42366666666666664,0.5419999999999999,0.38933333333333336,0.319,0.5283333333333333,0.4646074082019999,0.48444000000000004,0.4220733333333333,0.430722381818,0.4909866666666667,0.4532333333333333
2007,0.317,0.4136666666666667,0.3583333333333334,0.4076666666666667,0.3423333333333334,0.466,0.5056666666666667,0.418,0.4146666666666667,0.38366666666666666,0.30866666666666664,0.446,0.36166666666666664,0.34600000000000003,0.39749259337666665,0.4798666666666667,0.387588,0.4051976198046667,0.3929166666666667,0.40502666666666665
2008,0.56,0.8876666666666667,0.7520000000000001,0.839,0.7296666666666667,0.6766666666666666,0.7360000000000001,0.7776666666666667,0.7913333333333333,0.7366666666666667,0.7913333333333333,0.834,0.7626666666666667,0.746,0.7636785200246665,0.76258,0.786358,0.7724419062446667,0.7540866666666667,0.7872700000000001
2009,0.5753333333333334,0.7493333333333334,0.6506666666666666,0.6296666666666667,0.6363333333333333,0.4296666666666667,0.66,0.576,0.7603333333333334,0.58,0.69,0.621,0.677,0.6826666666666666,0.65153222348,0.6349766666666667,0.650486,0.6379042869906667,0.65058,0.6416000000000001
2010,0.6773333333333333,0.6896666666666667,0.6593333333333334,0.75,0.7440000000000001,0.6356666666666667,0.6823333333333333,0.7216666666666667,0.8103333333333333,0.7963333333333334,0.6976666666666667,0.7826666666666666,0.685,0.6526666666666667,0.711099631056,0.70877,0.7138846666666667,0.7167176204646668,0.7098233333333335,0.7295000000000001
2011,0.529,0.6243333333333333,0.553,0.6023333333333333,0.543,0.5536666666666666,0.5093333333333333,0.6213333333333334,0.5796666666666667,0.637,0.527,0.5266666666666667,0.5903333333333333,0.568,0.5378796308086667,0.52149,0.5671946666666667,0.5634871440053333,0.5575233333333334,0.5559066666666667
2012,0.591,0.684,0.6326666666666667,0.6053333333333333,0.6393333333333334,0.6786666666666666,0.5296666666666666,0.632,0.6956666666666665,0.6,0.6113333333333334,0.6236666666666667,0.6073333333333334,0.6136666666666667,0.6036062975646667,0.5678033333333333,0.6185246666666667,0.6084042869926666,0.5899266666666667,0.6073599999999999
2013,0.576,0.597,0.615,0.5956666666666667,0.599,0.49333333333333335,0.6030000000000001,0.5503333333333333,0.494,0.6153333333333334,0.6416666666666667,0.516,0.608,0.665,0.596239630784,0.5746500000000001,0.5977106666666667,0.5902142868806667,0.6214433333333335,0.58663
2014,0.4446666666666667,0.49133333333333334,0.47900000000000004,0.45933333333333337,0.4363333333333333,0.5806666666666667,0.5156666666666666,0.518,0.4696666666666667,0.5666666666666667,0.48133333333333334,0.459,0.47533333333333333,0.6086666666666667,0.4842559269513333,0.5014466666666666,0.4726406666666667,0.48052714389800005,0.5297499999999999,0.47805666666666663
2015,0.4446666666666667,0.49833333333333335,0.44566666666666666,0.3893333333333333,0.4053333333333333,0.3486666666666667,0.4503333333333333,0.4573333333333333,0.451,0.543,0.466,0.4603333333333333,0.4403333333333334,0.574,0.4489218527733333,0.44338999999999995,0.433246,0.43284047714066665,0.49279999999999996,0.43626
2016,0.515,0.637,0.5630000000000001,0.5196666666666666,0.521,0.5876666666666667,0.48033333333333333,0.6606666666666666,0.6306666666666666,0.7546666666666667,0.6056666666666667,0.49133333333333334,0.6303333333333333,0.6373333333333333,0.5450788901273333,0.49315000000000003,0.5548839999999999,0.5473333345813334,0.60667,0.5390633333333333
2017,0.5830000000000001,0.7676666666666666,0.7200000000000001,0.6933333333333334,0.6946666666666667,0.648,0.629,0.7213333333333333,0.7173333333333334,0.7163333333333334,0.6503333333333333,0.6913333333333332,0.7746666666666666,0.6603333333333333,0.672230001396,0.64981,0.7024666666666666,0.692122858498,0.6657733333333334,0.6792733333333334
2018,0.521,0.5866666666666667,0.5746666666666667,0.4923333333333333,0.5493333333333333,0.618,0.5453333333333333,0.6103333333333333,0.669,0.6836666666666668,0.596,0.596,0.5923333333333333,0.6416666666666667,0.5751466678700001,0.5602566666666666,0.5568733333333333,0.5579595250426667,0.60741,0.5589799999999999
2019,0.422,0.4546666666666666,0.4046666666666667,0.452,0.37966666666666665,0.5083333333333333,0.4716666666666667,0.4546666666666666,0.39799999999999996,0.48466666666666663,0.42566666666666664,0.49666666666666665,0.443,0.48966666666666664,0.44138333424599996,0.4777533333333333,0.4337386666666667,0.44134857233800007,0.46287666666666666,0.4509966666666666
