Year,Dakar_VHI,Diourbel_VHI,Fatick_VHI,Kaffrine_VHI,Kaolack_VHI,Kedougou_VHI,Kolda_VHI,Louga_VHI,Matam_VHI,Saint louis_VHI,Sedhiou_VHI,Tambacounda_VHI,Thies_VHI,Ziguinchor_VHI,Corn_Weighted_VHI,Cotton_Weighted_VHI,Millet_Weighted_VHI,Peanut_Weighted_VHI,Rice_Weighted_VHI,Sorghum_Weighted_VHI
1984,0.44566666666666666,0.33866666666666667,0.3893333333333333,0.211,0.31833333333333336,0.5463333333333333,0.4346666666666666,0.20733333333333337,0.17800000000000002,0.244,0.49099999999999994,0.37666666666666665,0.39566666666666667,0.4076666666666666,0.3991403710313333,0.4150833333333333,0.3355666666666667,0.330990476948,0.39308666666666664,0.3459933333333333
1985,0.4623333333333333,0.539,0.49633333333333335,0.5776666666666667,0.4746666666666666,0.48500000000000004,0.476,0.618,0.533,0.44766666666666666,0.501,0.584,0.5493333333333333,0.4033333333333333,0.503000371396,0.50886,0.5285893333333334,0.5254814295346666,0.46998333333333336,0.5288966666666667
1986,0.6276666666666667,0.5703333333333332,0.5943333333333333,0.7096666666666667,0.633,0.578,0.5946666666666667,0.7156666666666668,0.6586666666666666,0.6156666666666667,0.606,0.6633333333333334,0.5353333333333333,0.48033333333333333,0.6145503715906667,0.61708,0.6317906666666666,0.63559809642,0.58722,0.64241
1987,0.5993333333333334,0.6113333333333334,0.5746666666666668,0.7273333333333333,0.6429999999999999,0.4726666666666666,0.609,0.7050000000000001,0.6793333333333332,0.44166666666666665,0.6573333333333333,0.6133333333333333,0.6546666666666666,0.5253333333333333,0.6205762975,0.6086433333333332,0.6475666666666666,0.642512858282,0.57279,0.6461866666666665
1988,0.5419999999999999,0.4223333333333333,0.4383333333333333,0.6013333333333333,0.482,0.38400000000000006,0.37233333333333335,0.718,0.8236666666666667,0.7613333333333333,0.37333333333333335,0.532,0.501,0.36033333333333334,0.4487888900253333,0.42550666666666664,0.497186,0.5122476200953333,0.4734566666666667,0.50321
1989,0.3466666666666667,0.40599999999999997,0.4486666666666667,0.5299999999999999,0.44933333333333336,0.44733333333333336,0.4936666666666667,0.4403333333333333,0.5439999999999999,0.5093333333333333,0.5193333333333333,0.5379999999999999,0.46900000000000003,0.433,0.48758518610199997,0.5035999999999999,0.48039066666666663,0.4823414294873334,0.49065000000000003,0.5011366666666666
1990,0.3383333333333333,0.35533333333333333,0.36866666666666664,0.295,0.4406666666666667,0.5193333333333333,0.5606666666666666,0.23900000000000002,0.28099999999999997,0.23633333333333337,0.5823333333333333,0.4123333333333334,0.3786666666666667,0.4116666666666666,0.4721318525306667,0.5068366666666667,0.3915866666666667,0.39154095315933335,0.45110666666666666,0.41764
1991,0.2906666666666667,0.38000000000000006,0.3016666666666667,0.2876666666666667,0.37166666666666665,0.2893333333333334,0.36800000000000005,0.4326666666666667,0.237,0.27666666666666667,0.434,0.2976666666666667,0.24266666666666667,0.3026666666666667,0.356489259868,0.3423766666666667,0.33238933333333337,0.3279838101553334,0.3484633333333334,0.3329666666666667
1992,0.37166666666666665,0.18100000000000002,0.27033333333333337,0.36400000000000005,0.38433333333333336,0.403,0.42300000000000004,0.274,0.289,0.2823333333333333,0.4673333333333333,0.3633333333333333,0.284,0.331,0.3848422228400001,0.40399,0.339344,0.348557619712,0.3779633333333334,0.3766133333333334
1993,0.3356666666666667,0.49933333333333335,0.46399999999999997,0.49466666666666664,0.47300000000000003,0.37633333333333335,0.47333333333333333,0.5136666666666667,0.4703333333333333,0.536,0.4223333333333333,0.36599999999999994,0.41566666666666663,0.3436666666666666,0.44280037125599997,0.4412333333333333,0.4646006666666667,0.463259524662,0.45037666666666665,0.44786000000000004
